standard_job,standard_category,month,month_index,skill,skill_stage,skill_trend_type,planned_jd_count,skill_probability,expected_skill_count
大模型算法工程师,AI算法,2025-02,3,计算机视觉,new,持续上升,1,0.2144,0
大模型算法工程师,AI算法,2025-03,4,计算机视觉,new,持续上升,1,0.2333,0
大模型算法工程师,AI算法,2025-04,5,计算机视觉,new,持续上升,2,0.2667,1
大模型算法工程师,AI算法,2025-05,6,计算机视觉,new,持续上升,2,0.2615,1
大模型算法工程师,AI算法,2025-06,7,计算机视觉,new,持续上升,2,0.2941,1
大模型算法工程师,AI算法,2025-07,8,计算机视觉,new,持续上升,2,0.3340,1
大模型算法工程师,AI算法,2025-08,9,计算机视觉,new,持续上升,2,0.3737,1
大模型算法工程师,AI算法,2025-09,10,计算机视觉,new,持续上升,2,0.3429,1
大模型算法工程师,AI算法,2025-10,11,计算机视觉,new,持续上升,3,0.4047,1
大模型算法工程师,AI算法,2025-11,12,计算机视觉,new,持续上升,3,0.4485,1
大模型算法工程师,AI算法,2025-12,13,计算机视觉,new,持续上升,3,0.4607,1
大模型算法工程师,AI算法,2026-01,14,计算机视觉,new,持续上升,3,0.4500,1
大模型算法工程师,AI算法,2026-02,15,计算机视觉,new,持续上升,3,0.4562,1
大模型算法工程师,AI算法,2026-03,16,计算机视觉,new,持续上升,3,0.4730,1
大模型算法工程师,AI算法,2026-04,17,计算机视觉,new,持续上升,3,0.4983,1
大模型算法工程师,AI算法,2026-05,18,计算机视觉,new,持续上升,4,0.5350,2
大模型算法工程师,AI算法,2026-06,19,计算机视觉,new,持续上升,4,0.5938,2
大模型算法工程师,AI算法,2026-07,20,计算机视觉,new,持续上升,4,0.6031,2
大模型算法工程师,AI算法,2024-12,1,多模态算法,new,先上升后稳定,2,0.1493,0
大模型算法工程师,AI算法,2025-01,2,多模态算法,new,先上升后稳定,1,0.1879,0
大模型算法工程师,AI算法,2025-02,3,多模态算法,new,先上升后稳定,1,0.2318,0
大模型算法工程师,AI算法,2025-03,4,多模态算法,new,先上升后稳定,1,0.2893,0
大模型算法工程师,AI算法,2025-04,5,多模态算法,new,先上升后稳定,2,0.2851,1
大模型算法工程师,AI算法,2025-05,6,多模态算法,new,先上升后稳定,2,0.3588,1
大模型算法工程师,AI算法,2025-06,7,多模态算法,new,先上升后稳定,2,0.4107,1
大模型算法工程师,AI算法,2025-07,8,多模态算法,new,先上升后稳定,2,0.4036,1
大模型算法工程师,AI算法,2025-08,9,多模态算法,new,先上升后稳定,2,0.4456,1
大模型算法工程师,AI算法,2025-09,10,多模态算法,new,先上升后稳定,2,0.5471,1
大模型算法工程师,AI算法,2025-10,11,多模态算法,new,先上升后稳定,3,0.5018,2
大模型算法工程师,AI算法,2025-11,12,多模态算法,new,先上升后稳定,3,0.4809,1
大模型算法工程师,AI算法,2025-12,13,多模态算法,new,先上升后稳定,3,0.5405,2
大模型算法工程师,AI算法,2026-01,14,多模态算法,new,先上升后稳定,3,0.4896,1
大模型算法工程师,AI算法,2026-02,15,多模态算法,new,先上升后稳定,3,0.5339,2
大模型算法工程师,AI算法,2026-03,16,多模态算法,new,先上升后稳定,3,0.5106,2
大模型算法工程师,AI算法,2026-04,17,多模态算法,new,先上升后稳定,3,0.4690,1
大模型算法工程师,AI算法,2026-05,18,多模态算法,new,先上升后稳定,4,0.4906,2
大模型算法工程师,AI算法,2026-06,19,多模态算法,new,先上升后稳定,4,0.4464,2
大模型算法工程师,AI算法,2026-07,20,多模态算法,new,先上升后稳定,4,0.5244,2
大模型算法工程师,AI算法,2024-12,1,LLaMA,new,先上升后下降,2,0.1357,0
大模型算法工程师,AI算法,2025-01,2,LLaMA,new,先上升后下降,1,0.1581,0
大模型算法工程师,AI算法,2025-02,3,LLaMA,new,先上升后下降,1,0.2166,0
大模型算法工程师,AI算法,2025-03,4,LLaMA,new,先上升后下降,1,0.2651,0
大模型算法工程师,AI算法,2025-04,5,LLaMA,new,先上升后下降,2,0.2707,1
大模型算法工程师,AI算法,2025-05,6,LLaMA,new,先上升后下降,2,0.3148,1
大模型算法工程师,AI算法,2025-06,7,LLaMA,new,先上升后下降,2,0.3676,1
大模型算法工程师,AI算法,2025-07,8,LLaMA,new,先上升后下降,2,0.4120,1
大模型算法工程师,AI算法,2025-08,9,LLaMA,new,先上升后下降,2,0.4595,1
大模型算法工程师,AI算法,2025-09,10,LLaMA,new,先上升后下降,2,0.4882,1
大模型算法工程师,AI算法,2025-10,11,LLaMA,new,先上升后下降,3,0.4898,1
大模型算法工程师,AI算法,2025-11,12,LLaMA,new,先上升后下降,3,0.5657,2
大模型算法工程师,AI算法,2025-12,13,LLaMA,new,先上升后下降,3,0.5938,2
大模型算法工程师,AI算法,2026-01,14,LLaMA,new,先上升后下降,3,0.5714,2
大模型算法工程师,AI算法,2026-02,15,LLaMA,new,先上升后下降,3,0.4732,1
大模型算法工程师,AI算法,2026-03,16,LLaMA,new,先上升后下降,3,0.4572,1
大模型算法工程师,AI算法,2026-04,17,LLaMA,new,先上升后下降,3,0.3678,1
大模型算法工程师,AI算法,2026-05,18,LLaMA,new,先上升后下降,4,0.3619,1
大模型算法工程师,AI算法,2026-06,19,LLaMA,new,先上升后下降,4,0.3135,1
大模型算法工程师,AI算法,2026-07,20,LLaMA,new,先上升后下降,4,0.2549,1
大模型算法工程师,AI算法,2024-12,1,深度学习框架,new,持续上升,2,0.1576,0
大模型算法工程师,AI算法,2025-01,2,深度学习框架,new,持续上升,1,0.1625,0
大模型算法工程师,AI算法,2025-02,3,深度学习框架,new,持续上升,1,0.1668,0
大模型算法工程师,AI算法,2025-03,4,深度学习框架,new,持续上升,1,0.1789,0
大模型算法工程师,AI算法,2025-04,5,深度学习框架,new,持续上升,2,0.2091,0
大模型算法工程师,AI算法,2025-05,6,深度学习框架,new,持续上升,2,0.2300,0
大模型算法工程师,AI算法,2025-06,7,深度学习框架,new,持续上升,2,0.2224,0
大模型算法工程师,AI算法,2025-07,8,深度学习框架,new,持续上升,2,0.2751,1
大模型算法工程师,AI算法,2025-08,9,深度学习框架,new,持续上升,2,0.2726,1
大模型算法工程师,AI算法,2025-09,10,深度学习框架,new,持续上升,2,0.2813,1
大模型算法工程师,AI算法,2025-10,11,深度学习框架,new,持续上升,3,0.3002,1
大模型算法工程师,AI算法,2025-11,12,深度学习框架,new,持续上升,3,0.3065,1
大模型算法工程师,AI算法,2025-12,13,深度学习框架,new,持续上升,3,0.3227,1
大模型算法工程师,AI算法,2026-01,14,深度学习框架,new,持续上升,3,0.3519,1
大模型算法工程师,AI算法,2026-02,15,深度学习框架,new,持续上升,3,0.3628,1
大模型算法工程师,AI算法,2026-03,16,深度学习框架,new,持续上升,3,0.3752,1
大模型算法工程师,AI算法,2026-04,17,深度学习框架,new,持续上升,3,0.4461,1
大模型算法工程师,AI算法,2026-05,18,深度学习框架,new,持续上升,4,0.4266,2
大模型算法工程师,AI算法,2026-06,19,深度学习框架,new,持续上升,4,0.4591,2
大模型算法工程师,AI算法,2026-07,20,深度学习框架,new,持续上升,4,0.4683,2
大模型算法工程师,AI算法,2024-12,1,大模型微调,new,持续上升,2,0.1167,0
大模型算法工程师,AI算法,2025-01,2,大模型微调,new,持续上升,1,0.1304,0
大模型算法工程师,AI算法,2025-02,3,大模型微调,new,持续上升,1,0.1429,0
大模型算法工程师,AI算法,2025-03,4,大模型微调,new,持续上升,1,0.1485,0
大模型算法工程师,AI算法,2025-04,5,大模型微调,new,持续上升,2,0.1692,0
大模型算法工程师,AI算法,2025-05,6,大模型微调,new,持续上升,2,0.2003,0
大模型算法工程师,AI算法,2025-06,7,大模型微调,new,持续上升,2,0.1985,0
大模型算法工程师,AI算法,2025-07,8,大模型微调,new,持续上升,2,0.2136,0
大模型算法工程师,AI算法,2025-08,9,大模型微调,new,持续上升,2,0.2243,0
大模型算法工程师,AI算法,2025-09,10,大模型微调,new,持续上升,2,0.2705,1
大模型算法工程师,AI算法,2025-10,11,大模型微调,new,持续上升,3,0.2566,1
大模型算法工程师,AI算法,2025-11,12,大模型微调,new,持续上升,3,0.2916,1
大模型算法工程师,AI算法,2025-12,13,大模型微调,new,持续上升,3,0.3200,1
大模型算法工程师,AI算法,2026-01,14,大模型微调,new,持续上升,3,0.3337,1
大模型算法工程师,AI算法,2026-02,15,大模型微调,new,持续上升,3,0.3666,1
大模型算法工程师,AI算法,2026-03,16,大模型微调,new,持续上升,3,0.3732,1
大模型算法工程师,AI算法,2026-04,17,大模型微调,new,持续上升,3,0.4024,1
大模型算法工程师,AI算法,2026-05,18,大模型微调,new,持续上升,4,0.3738,1
大模型算法工程师,AI算法,2026-06,19,大模型微调,new,持续上升,4,0.4071,2
大模型算法工程师,AI算法,2026-07,20,大模型微调,new,持续上升,4,0.4649,2
大模型算法工程师,AI算法,2024-12,1,模型蒸馏,new,先上升后稳定,2,0.1780,0
大模型算法工程师,AI算法,2025-01,2,模型蒸馏,new,先上升后稳定,1,0.2003,0
大模型算法工程师,AI算法,2025-02,3,模型蒸馏,new,先上升后稳定,1,0.2567,0
大模型算法工程师,AI算法,2025-03,4,模型蒸馏,new,先上升后稳定,1,0.2888,0
大模型算法工程师,AI算法,2025-04,5,模型蒸馏,new,先上升后稳定,2,0.3306,1
大模型算法工程师,AI算法,2025-05,6,模型蒸馏,new,先上升后稳定,2,0.3567,1
大模型算法工程师,AI算法,2025-06,7,模型蒸馏,new,先上升后稳定,2,0.4280,1
大模型算法工程师,AI算法,2025-07,8,模型蒸馏,new,先上升后稳定,2,0.4438,1
大模型算法工程师,AI算法,2025-08,9,模型蒸馏,new,先上升后稳定,2,0.5016,1
大模型算法工程师,AI算法,2025-09,10,模型蒸馏,new,先上升后稳定,2,0.5667,1
大模型算法工程师,AI算法,2025-10,11,模型蒸馏,new,先上升后稳定,3,0.5892,2
大模型算法工程师,AI算法,2025-11,12,模型蒸馏,new,先上升后稳定,3,0.5488,2
大模型算法工程师,AI算法,2025-12,13,模型蒸馏,new,先上升后稳定,3,0.5397,2
大模型算法工程师,AI算法,2026-01,14,模型蒸馏,new,先上升后稳定,3,0.4902,1
大模型算法工程师,AI算法,2026-02,15,模型蒸馏,new,先上升后稳定,3,0.5520,2
大模型算法工程师,AI算法,2026-03,16,模型蒸馏,new,先上升后稳定,3,0.5356,2
大模型算法工程师,AI算法,2026-04,17,模型蒸馏,new,先上升后稳定,3,0.5215,2
大模型算法工程师,AI算法,2026-05,18,模型蒸馏,new,先上升后稳定,4,0.5812,2
大模型算法工程师,AI算法,2026-06,19,模型蒸馏,new,先上升后稳定,4,0.6011,2
大模型算法工程师,AI算法,2026-07,20,模型蒸馏,new,先上升后稳定,4,0.6118,2
大模型算法工程师,AI算法,2024-12,1,大规模模型训练,new,后期突增,2,0.1650,0
大模型算法工程师,AI算法,2025-01,2,大规模模型训练,new,后期突增,1,0.1352,0
大模型算法工程师,AI算法,2025-02,3,大规模模型训练,new,后期突增,1,0.1188,0
大模型算法工程师,AI算法,2025-03,4,大规模模型训练,new,后期突增,1,0.1376,0
大模型算法工程师,AI算法,2025-04,5,大规模模型训练,new,后期突增,2,0.1546,0
大模型算法工程师,AI算法,2025-05,6,大规模模型训练,new,后期突增,2,0.1018,0
大模型算法工程师,AI算法,2025-06,7,大规模模型训练,new,后期突增,2,0.1036,0
大模型算法工程师,AI算法,2025-07,8,大规模模型训练,new,后期突增,2,0.1437,0
大模型算法工程师,AI算法,2025-08,9,大规模模型训练,new,后期突增,2,0.1444,0
大模型算法工程师,AI算法,2025-09,10,大规模模型训练,new,后期突增,2,0.1202,0
大模型算法工程师,AI算法,2025-10,11,大规模模型训练,new,后期突增,3,0.1524,0
大模型算法工程师,AI算法,2025-11,12,大规模模型训练,new,后期突增,3,0.1314,0
大模型算法工程师,AI算法,2025-12,13,大规模模型训练,new,后期突增,3,0.1190,0
大模型算法工程师,AI算法,2026-01,14,大规模模型训练,new,后期突增,3,0.1093,0
大模型算法工程师,AI算法,2026-02,15,大规模模型训练,new,后期突增,3,0.1705,1
大模型算法工程师,AI算法,2026-03,16,大规模模型训练,new,后期突增,3,0.1341,0
大模型算法工程师,AI算法,2026-04,17,大规模模型训练,new,后期突增,3,0.2205,1
大模型算法工程师,AI算法,2026-05,18,大规模模型训练,new,后期突增,4,0.3140,1
大模型算法工程师,AI算法,2026-06,19,大规模模型训练,new,后期突增,4,0.3789,2
大模型算法工程师,AI算法,2026-07,20,大规模模型训练,new,后期突增,4,0.5083,2
大模型算法工程师,AI算法,2024-12,1,生成式模型,new,先上升后稳定,2,0.1331,0
大模型算法工程师,AI算法,2025-01,2,生成式模型,new,先上升后稳定,1,0.1398,0
大模型算法工程师,AI算法,2025-02,3,生成式模型,new,先上升后稳定,1,0.1724,0
大模型算法工程师,AI算法,2025-03,4,生成式模型,new,先上升后稳定,1,0.1907,0
大模型算法工程师,AI算法,2025-04,5,生成式模型,new,先上升后稳定,2,0.2230,0
大模型算法工程师,AI算法,2025-05,6,生成式模型,new,先上升后稳定,2,0.2245,0
大模型算法工程师,AI算法,2025-06,7,生成式模型,new,先上升后稳定,2,0.2480,0
大模型算法工程师,AI算法,2025-07,8,生成式模型,new,先上升后稳定,2,0.2923,1
大模型算法工程师,AI算法,2025-08,9,生成式模型,new,先上升后稳定,2,0.2746,1
大模型算法工程师,AI算法,2025-09,10,生成式模型,new,先上升后稳定,2,0.3035,1
大模型算法工程师,AI算法,2025-10,11,生成式模型,new,先上升后稳定,3,0.3538,1
大模型算法工程师,AI算法,2025-11,12,生成式模型,new,先上升后稳定,3,0.3656,1
大模型算法工程师,AI算法,2025-12,13,生成式模型,new,先上升后稳定,3,0.3903,1
大模型算法工程师,AI算法,2026-01,14,生成式模型,new,先上升后稳定,3,0.3340,1
大模型算法工程师,AI算法,2026-02,15,生成式模型,new,先上升后稳定,3,0.3285,1
大模型算法工程师,AI算法,2026-03,16,生成式模型,new,先上升后稳定,3,0.4065,1
大模型算法工程师,AI算法,2026-04,17,生成式模型,new,先上升后稳定,3,0.3752,1
大模型算法工程师,AI算法,2026-05,18,生成式模型,new,先上升后稳定,4,0.3655,1
大模型算法工程师,AI算法,2026-06,19,生成式模型,new,先上升后稳定,4,0.3244,1
大模型算法工程师,AI算法,2026-07,20,生成式模型,new,先上升后稳定,4,0.3437,1
大模型算法工程师,AI算法,2024-12,1,Transformers,new,先上升后稳定,2,0.1234,0
大模型算法工程师,AI算法,2025-01,2,Transformers,new,先上升后稳定,1,0.1494,0
大模型算法工程师,AI算法,2025-02,3,Transformers,new,先上升后稳定,1,0.1889,0
大模型算法工程师,AI算法,2025-03,4,Transformers,new,先上升后稳定,1,0.2182,0
大模型算法工程师,AI算法,2025-04,5,Transformers,new,先上升后稳定,2,0.2379,0
大模型算法工程师,AI算法,2025-05,6,Transformers,new,先上升后稳定,2,0.2626,1
大模型算法工程师,AI算法,2025-06,7,Transformers,new,先上升后稳定,2,0.3122,1
大模型算法工程师,AI算法,2025-07,8,Transformers,new,先上升后稳定,2,0.2970,1
大模型算法工程师,AI算法,2025-08,9,Transformers,new,先上升后稳定,2,0.3546,1
大模型算法工程师,AI算法,2025-09,10,Transformers,new,先上升后稳定,2,0.3603,1
大模型算法工程师,AI算法,2025-10,11,Transformers,new,先上升后稳定,3,0.3874,1
大模型算法工程师,AI算法,2025-11,12,Transformers,new,先上升后稳定,3,0.3984,1
大模型算法工程师,AI算法,2025-12,13,Transformers,new,先上升后稳定,3,0.4184,1
大模型算法工程师,AI算法,2026-01,14,Transformers,new,先上升后稳定,3,0.4165,1
大模型算法工程师,AI算法,2026-02,15,Transformers,new,先上升后稳定,3,0.4395,1
大模型算法工程师,AI算法,2026-03,16,Transformers,new,先上升后稳定,3,0.4050,1
大模型算法工程师,AI算法,2026-04,17,Transformers,new,先上升后稳定,3,0.4243,1
大模型算法工程师,AI算法,2026-05,18,Transformers,new,先上升后稳定,4,0.3947,2
大模型算法工程师,AI算法,2026-06,19,Transformers,new,先上升后稳定,4,0.4416,2
大模型算法工程师,AI算法,2026-07,20,Transformers,new,先上升后稳定,4,0.4176,2
大模型算法工程师,AI算法,2024-12,1,Coding Agent,new,持续上升,2,0.0838,0
大模型算法工程师,AI算法,2025-01,2,Coding Agent,new,持续上升,1,0.1025,0
大模型算法工程师,AI算法,2025-02,3,Coding Agent,new,持续上升,1,0.1021,0
大模型算法工程师,AI算法,2025-03,4,Coding Agent,new,持续上升,1,0.1157,0
大模型算法工程师,AI算法,2025-04,5,Coding Agent,new,持续上升,2,0.1357,0
大模型算法工程师,AI算法,2025-05,6,Coding Agent,new,持续上升,2,0.1536,0
大模型算法工程师,AI算法,2025-06,7,Coding Agent,new,持续上升,2,0.1682,0
大模型算法工程师,AI算法,2025-07,8,Coding Agent,new,持续上升,2,0.1901,0
大模型算法工程师,AI算法,2025-08,9,Coding Agent,new,持续上升,2,0.2048,0
大模型算法工程师,AI算法,2025-09,10,Coding Agent,new,持续上升,2,0.2100,0
大模型算法工程师,AI算法,2025-10,11,Coding Agent,new,持续上升,3,0.2543,1
大模型算法工程师,AI算法,2025-11,12,Coding Agent,new,持续上升,3,0.2352,1
大模型算法工程师,AI算法,2025-12,13,Coding Agent,new,持续上升,3,0.2704,1
大模型算法工程师,AI算法,2026-01,14,Coding Agent,new,持续上升,3,0.3016,1
大模型算法工程师,AI算法,2026-02,15,Coding Agent,new,持续上升,3,0.2874,1
大模型算法工程师,AI算法,2026-03,16,Coding Agent,new,持续上升,3,0.3075,1
大模型算法工程师,AI算法,2026-04,17,Coding Agent,new,持续上升,3,0.3381,1
大模型算法工程师,AI算法,2026-05,18,Coding Agent,new,持续上升,4,0.3371,1
大模型算法工程师,AI算法,2026-06,19,Coding Agent,new,持续上升,4,0.3683,1
大模型算法工程师,AI算法,2026-07,20,Coding Agent,new,持续上升,4,0.4002,2
大模型算法工程师,AI算法,2024-12,1,AI Infra,new,后期突增,2,0.0857,0
大模型算法工程师,AI算法,2025-01,2,AI Infra,new,后期突增,1,0.0654,0
大模型算法工程师,AI算法,2025-02,3,AI Infra,new,后期突增,1,0.0863,0
大模型算法工程师,AI算法,2025-03,4,AI Infra,new,后期突增,1,0.0545,0
大模型算法工程师,AI算法,2025-04,5,AI Infra,new,后期突增,2,0.0948,0
大模型算法工程师,AI算法,2025-05,6,AI Infra,new,后期突增,2,0.0644,0
大模型算法工程师,AI算法,2025-06,7,AI Infra,new,后期突增,2,0.0742,0
大模型算法工程师,AI算法,2025-07,8,AI Infra,new,后期突增,2,0.0973,0
大模型算法工程师,AI算法,2025-08,9,AI Infra,new,后期突增,2,0.0577,0
大模型算法工程师,AI算法,2025-09,10,AI Infra,new,后期突增,2,0.1048,0
大模型算法工程师,AI算法,2025-10,11,AI Infra,new,后期突增,3,0.0831,0
大模型算法工程师,AI算法,2025-11,12,AI Infra,new,后期突增,3,0.0822,0
大模型算法工程师,AI算法,2025-12,13,AI Infra,new,后期突增,3,0.0874,0
大模型算法工程师,AI算法,2026-01,14,AI Infra,new,后期突增,3,0.0754,0
大模型算法工程师,AI算法,2026-02,15,AI Infra,new,后期突增,3,0.1502,0
大模型算法工程师,AI算法,2026-03,16,AI Infra,new,后期突增,3,0.1876,1
大模型算法工程师,AI算法,2026-04,17,AI Infra,new,后期突增,3,0.2678,1
大模型算法工程师,AI算法,2026-05,18,AI Infra,new,后期突增,4,0.2896,1
大模型算法工程师,AI算法,2026-06,19,AI Infra,new,后期突增,4,0.3913,2
大模型算法工程师,AI算法,2026-07,20,AI Infra,new,后期突增,4,0.4033,2
大模型算法工程师,AI算法,2024-12,1,Prompt工程,new,持续上升,2,0.1224,0
大模型算法工程师,AI算法,2025-01,2,Prompt工程,new,持续上升,1,0.1356,0
大模型算法工程师,AI算法,2025-02,3,Prompt工程,new,持续上升,1,0.1375,0
大模型算法工程师,AI算法,2025-03,4,Prompt工程,new,持续上升,1,0.1556,0
大模型算法工程师,AI算法,2025-04,5,Prompt工程,new,持续上升,2,0.1775,0
大模型算法工程师,AI算法,2025-05,6,Prompt工程,new,持续上升,2,0.1906,0
大模型算法工程师,AI算法,2025-06,7,Prompt工程,new,持续上升,2,0.1999,0
大模型算法工程师,AI算法,2025-07,8,Prompt工程,new,持续上升,2,0.2237,0
大模型算法工程师,AI算法,2025-08,9,Prompt工程,new,持续上升,2,0.2439,0
大模型算法工程师,AI算法,2025-09,10,Prompt工程,new,持续上升,2,0.2425,0
大模型算法工程师,AI算法,2025-10,11,Prompt工程,new,持续上升,3,0.2629,1
大模型算法工程师,AI算法,2025-11,12,Prompt工程,new,持续上升,3,0.2829,1
大模型算法工程师,AI算法,2025-12,13,Prompt工程,new,持续上升,3,0.2945,1
大模型算法工程师,AI算法,2026-01,14,Prompt工程,new,持续上升,3,0.3221,1
大模型算法工程师,AI算法,2026-02,15,Prompt工程,new,持续上升,3,0.3336,1
大模型算法工程师,AI算法,2026-03,16,Prompt工程,new,持续上升,3,0.3659,1
大模型算法工程师,AI算法,2026-04,17,Prompt工程,new,持续上升,3,0.3460,1
大模型算法工程师,AI算法,2026-05,18,Prompt工程,new,持续上升,4,0.3586,1
大模型算法工程师,AI算法,2026-06,19,Prompt工程,new,持续上升,4,0.4205,2
大模型算法工程师,AI算法,2026-07,20,Prompt工程,new,持续上升,4,0.4296,2
大模型算法工程师,AI算法,2024-12,1,机器学习算法优化,new,先上升后稳定,2,0.0972,0
大模型算法工程师,AI算法,2025-01,2,机器学习算法优化,new,先上升后稳定,1,0.1294,0
大模型算法工程师,AI算法,2025-02,3,机器学习算法优化,new,先上升后稳定,1,0.1439,0
大模型算法工程师,AI算法,2025-03,4,机器学习算法优化,new,先上升后稳定,1,0.1919,0
大模型算法工程师,AI算法,2025-04,5,机器学习算法优化,new,先上升后稳定,2,0.2169,0
大模型算法工程师,AI算法,2025-05,6,机器学习算法优化,new,先上升后稳定,2,0.2219,0
大模型算法工程师,AI算法,2025-06,7,机器学习算法优化,new,先上升后稳定,2,0.2678,1
大模型算法工程师,AI算法,2025-07,8,机器学习算法优化,new,先上升后稳定,2,0.2704,1
