standard_job,standard_category,month,month_index,monthly_jd_count,cumulative_jd_count,demand_trend_type,is_active_month
AI安全工程师,AI安全,2026-01,14,23,300,????,yes
AI安全工程师,AI安全,2026-02,15,23,323,????,yes
AI安全工程师,AI安全,2026-03,16,22,345,????,yes
AI安全工程师,AI安全,2026-04,17,23,368,????,yes
AI安全工程师,AI安全,2026-05,18,19,387,????,yes
AI安全工程师,AI安全,2026-06,19,19,406,????,yes
AI安全工程师,AI安全,2026-07,20,19,425,????,yes
AI Infra工程师,AI基础设施,2024-12,1,23,23,??????,yes
AI Infra工程师,AI基础设施,2025-01,2,23,46,??????,yes
AI Infra工程师,AI基础设施,2025-02,3,22,68,??????,yes
AI Infra工程师,AI基础设施,2025-03,4,22,90,??????,yes
AI Infra工程师,AI基础设施,2025-04,5,19,109,??????,yes
AI Infra工程师,AI基础设施,2025-05,6,23,132,??????,yes
AI Infra工程师,AI基础设施,2025-06,7,21,153,??????,yes
AI Infra工程师,AI基础设施,2025-07,8,23,176,??????,yes
AI Infra工程师,AI基础设施,2025-08,9,23,199,??????,yes
AI Infra工程师,AI基础设施,2025-09,10,23,222,??????,yes
AI Infra工程师,AI基础设施,2025-10,11,20,242,??????,yes
AI Infra工程师,AI基础设施,2025-11,12,23,265,??????,yes
AI Infra工程师,AI基础设施,2025-12,13,20,285,??????,yes
AI Infra工程师,AI基础设施,2026-01,14,22,307,??????,yes
AI Infra工程师,AI基础设施,2026-02,15,21,328,??????,yes
AI Infra工程师,AI基础设施,2026-03,16,20,348,??????,yes
AI Infra工程师,AI基础设施,2026-04,17,22,370,??????,yes
AI Infra工程师,AI基础设施,2026-05,18,19,389,??????,yes
AI Infra工程师,AI基础设施,2026-06,19,20,409,??????,yes
AI Infra工程师,AI基础设施,2026-07,20,22,431,??????,yes
AIGC算法工程师,AI算法,2024-12,1,23,23,????,yes
AIGC算法工程师,AI算法,2025-01,2,22,45,????,yes
AIGC算法工程师,AI算法,2025-02,3,20,65,????,yes
AIGC算法工程师,AI算法,2025-03,4,23,88,????,yes
AIGC算法工程师,AI算法,2025-04,5,21,109,????,yes
AIGC算法工程师,AI算法,2025-05,6,21,130,????,yes
AIGC算法工程师,AI算法,2025-06,7,20,150,????,yes
AIGC算法工程师,AI算法,2025-07,8,22,172,????,yes
AIGC算法工程师,AI算法,2025-08,9,23,195,????,yes
AIGC算法工程师,AI算法,2025-09,10,20,215,????,yes
AIGC算法工程师,AI算法,2025-10,11,21,236,????,yes
AIGC算法工程师,AI算法,2025-11,12,22,258,????,yes
AIGC算法工程师,AI算法,2025-12,13,20,278,????,yes
AIGC算法工程师,AI算法,2026-01,14,19,297,????,yes
AIGC算法工程师,AI算法,2026-02,15,19,316,????,yes
AIGC算法工程师,AI算法,2026-03,16,22,338,????,yes
AIGC算法工程师,AI算法,2026-04,17,22,360,????,yes
AIGC算法工程师,AI算法,2026-05,18,19,379,????,yes
AIGC算法工程师,AI算法,2026-06,19,19,398,????,yes
AIGC算法工程师,AI算法,2026-07,20,21,419,????,yes
多模态算法工程师,AI算法,2024-12,1,21,21,??????,yes
多模态算法工程师,AI算法,2025-01,2,19,40,??????,yes
多模态算法工程师,AI算法,2025-02,3,23,63,??????,yes
多模态算法工程师,AI算法,2025-03,4,22,85,??????,yes
多模态算法工程师,AI算法,2025-04,5,22,107,??????,yes
多模态算法工程师,AI算法,2025-05,6,22,129,??????,yes
多模态算法工程师,AI算法,2025-06,7,22,151,??????,yes
多模态算法工程师,AI算法,2025-07,8,19,170,??????,yes
多模态算法工程师,AI算法,2025-08,9,20,190,??????,yes
多模态算法工程师,AI算法,2025-09,10,19,209,??????,yes
多模态算法工程师,AI算法,2025-10,11,19,228,??????,yes
多模态算法工程师,AI算法,2025-11,12,22,250,??????,yes
多模态算法工程师,AI算法,2025-12,13,21,271,??????,yes
多模态算法工程师,AI算法,2026-01,14,23,294,??????,yes
多模态算法工程师,AI算法,2026-02,15,22,316,??????,yes
多模态算法工程师,AI算法,2026-03,16,20,336,??????,yes
多模态算法工程师,AI算法,2026-04,17,20,356,??????,yes
多模态算法工程师,AI算法,2026-05,18,20,376,??????,yes
多模态算法工程师,AI算法,2026-06,19,23,399,??????,yes
多模态算法工程师,AI算法,2026-07,20,20,419,??????,yes
NLP算法工程师,AI算法,2024-12,1,19,19,??????,yes
NLP算法工程师,AI算法,2025-01,2,22,41,??????,yes
NLP算法工程师,AI算法,2025-02,3,19,60,??????,yes
NLP算法工程师,AI算法,2025-03,4,22,82,??????,yes
NLP算法工程师,AI算法,2025-04,5,22,104,??????,yes
NLP算法工程师,AI算法,2025-05,6,22,126,??????,yes
NLP算法工程师,AI算法,2025-06,7,22,148,??????,yes
NLP算法工程师,AI算法,2025-07,8,23,171,??????,yes
NLP算法工程师,AI算法,2025-08,9,19,190,??????,yes
NLP算法工程师,AI算法,2025-09,10,19,209,??????,yes
NLP算法工程师,AI算法,2025-10,11,19,228,??????,yes
NLP算法工程师,AI算法,2025-11,12,20,248,??????,yes
NLP算法工程师,AI算法,2025-12,13,22,270,??????,yes
NLP算法工程师,AI算法,2026-01,14,23,293,??????,yes
NLP算法工程师,AI算法,2026-02,15,19,312,??????,yes
NLP算法工程师,AI算法,2026-03,16,23,335,??????,yes
NLP算法工程师,AI算法,2026-04,17,23,358,??????,yes
NLP算法工程师,AI算法,2026-05,18,21,379,??????,yes
NLP算法工程师,AI算法,2026-06,19,19,398,??????,yes
NLP算法工程师,AI算法,2026-07,20,22,420,??????,yes
计算机视觉算法工程师,AI算法,2024-12,1,23,23,????,yes
计算机视觉算法工程师,AI算法,2025-01,2,23,46,????,yes
计算机视觉算法工程师,AI算法,2025-02,3,23,69,????,yes
计算机视觉算法工程师,AI算法,2025-03,4,20,89,????,yes
计算机视觉算法工程师,AI算法,2025-04,5,22,111,????,yes
计算机视觉算法工程师,AI算法,2025-05,6,22,133,????,yes
计算机视觉算法工程师,AI算法,2025-06,7,23,156,????,yes
计算机视觉算法工程师,AI算法,2025-07,8,20,176,????,yes
计算机视觉算法工程师,AI算法,2025-08,9,22,198,????,yes
计算机视觉算法工程师,AI算法,2025-09,10,22,220,????,yes
计算机视觉算法工程师,AI算法,2025-10,11,22,242,????,yes
计算机视觉算法工程师,AI算法,2025-11,12,19,261,????,yes
计算机视觉算法工程师,AI算法,2025-12,13,20,281,????,yes
计算机视觉算法工程师,AI算法,2026-01,14,20,301,????,yes
计算机视觉算法工程师,AI算法,2026-02,15,19,320,????,yes
计算机视觉算法工程师,AI算法,2026-03,16,20,340,????,yes
计算机视觉算法工程师,AI算法,2026-04,17,19,359,????,yes
计算机视觉算法工程师,AI算法,2026-05,18,21,380,????,yes
计算机视觉算法工程师,AI算法,2026-06,19,20,400,????,yes
计算机视觉算法工程师,AI算法,2026-07,20,21,421,????,yes
语音算法工程师,AI算法,2024-12,1,21,21,????,yes
语音算法工程师,AI算法,2025-01,2,22,43,????,yes
语音算法工程师,AI算法,2025-02,3,21,64,????,yes
语音算法工程师,AI算法,2025-03,4,22,86,????,yes
语音算法工程师,AI算法,2025-04,5,21,107,????,yes
语音算法工程师,AI算法,2025-05,6,20,127,????,yes
语音算法工程师,AI算法,2025-06,7,19,146,????,yes
语音算法工程师,AI算法,2025-07,8,19,165,????,yes
语音算法工程师,AI算法,2025-08,9,22,187,????,yes
语音算法工程师,AI算法,2025-09,10,21,208,????,yes
语音算法工程师,AI算法,2025-10,11,22,230,????,yes
语音算法工程师,AI算法,2025-11,12,19,249,????,yes
语音算法工程师,AI算法,2025-12,13,22,271,????,yes
语音算法工程师,AI算法,2026-01,14,21,292,????,yes
语音算法工程师,AI算法,2026-02,15,19,311,????,yes
语音算法工程师,AI算法,2026-03,16,21,332,????,yes
语音算法工程师,AI算法,2026-04,17,20,352,????,yes
语音算法工程师,AI算法,2026-05,18,21,373,????,yes
语音算法工程师,AI算法,2026-06,19,21,394,????,yes
语音算法工程师,AI算法,2026-07,20,20,414,????,yes
推荐算法工程师,算法,2024-12,1,23,23,????,yes
推荐算法工程师,算法,2025-01,2,23,46,????,yes
推荐算法工程师,算法,2025-02,3,23,69,????,yes
推荐算法工程师,算法,2025-03,4,20,89,????,yes
推荐算法工程师,算法,2025-04,5,23,112,????,yes
推荐算法工程师,算法,2025-05,6,20,132,????,yes
推荐算法工程师,算法,2025-06,7,21,153,????,yes
推荐算法工程师,算法,2025-07,8,22,175,????,yes
推荐算法工程师,算法,2025-08,9,20,195,????,yes
推荐算法工程师,算法,2025-09,10,23,218,????,yes
推荐算法工程师,算法,2025-10,11,19,237,????,yes
推荐算法工程师,算法,2025-11,12,23,260,????,yes
推荐算法工程师,算法,2025-12,13,20,280,????,yes
推荐算法工程师,算法,2026-01,14,20,300,????,yes
推荐算法工程师,算法,2026-02,15,20,320,????,yes
推荐算法工程师,算法,2026-03,16,20,340,????,yes
推荐算法工程师,算法,2026-04,17,22,362,????,yes
推荐算法工程师,算法,2026-05,18,23,385,????,yes
推荐算法工程师,算法,2026-06,19,22,407,????,yes
推荐算法工程师,算法,2026-07,20,22,429,????,yes
搜索算法工程师,算法,2024-12,1,20,20,????,yes
搜索算法工程师,算法,2025-01,2,23,43,????,yes
搜索算法工程师,算法,2025-02,3,21,64,????,yes
搜索算法工程师,算法,2025-03,4,19,83,????,yes
搜索算法工程师,算法,2025-04,5,21,104,????,yes
搜索算法工程师,算法,2025-05,6,20,124,????,yes
搜索算法工程师,算法,2025-06,7,21,145,????,yes
搜索算法工程师,算法,2025-07,8,23,168,????,yes
搜索算法工程师,算法,2025-08,9,21,189,????,yes
搜索算法工程师,算法,2025-09,10,23,212,????,yes
搜索算法工程师,算法,2025-10,11,19,231,????,yes
搜索算法工程师,算法,2025-11,12,22,253,????,yes
搜索算法工程师,算法,2025-12,13,23,276,????,yes
搜索算法工程师,算法,2026-01,14,23,299,????,yes
搜索算法工程师,算法,2026-02,15,20,319,????,yes
搜索算法工程师,算法,2026-03,16,19,338,????,yes
搜索算法工程师,算法,2026-04,17,21,359,????,yes
搜索算法工程师,算法,2026-05,18,23,382,????,yes
搜索算法工程师,算法,2026-06,19,19,401,????,yes
搜索算法工程师,算法,2026-07,20,21,422,????,yes
广告算法工程师,算法,2024-12,1,20,20,????,yes
广告算法工程师,算法,2025-01,2,21,41,????,yes
广告算法工程师,算法,2025-02,3,22,63,????,yes
广告算法工程师,算法,2025-03,4,20,83,????,yes
广告算法工程师,算法,2025-04,5,23,106,????,yes
广告算法工程师,算法,2025-05,6,22,128,????,yes
广告算法工程师,算法,2025-06,7,20,148,????,yes
广告算法工程师,算法,2025-07,8,23,171,????,yes
广告算法工程师,算法,2025-08,9,23,194,????,yes
广告算法工程师,算法,2025-09,10,21,215,????,yes
广告算法工程师,算法,2025-10,11,22,237,????,yes
广告算法工程师,算法,2025-11,12,20,257,????,yes
广告算法工程师,算法,2025-12,13,23,280,????,yes
广告算法工程师,算法,2026-01,14,21,301,????,yes
广告算法工程师,算法,2026-02,15,22,323,????,yes
广告算法工程师,算法,2026-03,16,22,345,????,yes
广告算法工程师,算法,2026-04,17,19,364,????,yes
广告算法工程师,算法,2026-05,18,21,385,????,yes
广告算法工程师,算法,2026-06,19,20,405,????,yes
广告算法工程师,算法,2026-07,20,19,424,????,yes
风控算法工程师,算法,2024-12,1,21,21,??????,yes
风控算法工程师,算法,2025-01,2,19,40,??????,yes
风控算法工程师,算法,2025-02,3,22,62,??????,yes
风控算法工程师,算法,2025-03,4,22,84,??????,yes
风控算法工程师,算法,2025-04,5,23,107,??????,yes
风控算法工程师,算法,2025-05,6,23,130,??????,yes
风控算法工程师,算法,2025-06,7,20,150,??????,yes
风控算法工程师,算法,2025-07,8,19,169,??????,yes
风控算法工程师,算法,2025-08,9,23,192,??????,yes
风控算法工程师,算法,2025-09,10,21,213,??????,yes
风控算法工程师,算法,2025-10,11,20,233,??????,yes
风控算法工程师,算法,2025-11,12,22,255,??????,yes
风控算法工程师,算法,2025-12,13,22,277,??????,yes
风控算法工程师,算法,2026-01,14,20,297,??????,yes
风控算法工程师,算法,2026-02,15,19,316,??????,yes
风控算法工程师,算法,2026-03,16,19,335,??????,yes
风控算法工程师,算法,2026-04,17,20,355,??????,yes
风控算法工程师,算法,2026-05,18,22,377,??????,yes
风控算法工程师,算法,2026-06,19,22,399,??????,yes
风控算法工程师,算法,2026-07,20,23,422,??????,yes
机器学习算法工程师,AI算法,2024-12,1,21,21,????,yes
机器学习算法工程师,AI算法,2025-01,2,22,43,????,yes
机器学习算法工程师,AI算法,2025-02,3,19,62,????,yes
机器学习算法工程师,AI算法,2025-03,4,19,81,????,yes
机器学习算法工程师,AI算法,2025-04,5,23,104,????,yes
机器学习算法工程师,AI算法,2025-05,6,19,123,????,yes
机器学习算法工程师,AI算法,2025-06,7,20,143,????,yes
机器学习算法工程师,AI算法,2025-07,8,21,164,????,yes
机器学习算法工程师,AI算法,2025-08,9,22,186,????,yes
机器学习算法工程师,AI算法,2025-09,10,23,209,????,yes
机器学习算法工程师,AI算法,2025-10,11,19,228,????,yes
机器学习算法工程师,AI算法,2025-11,12,23,251,????,yes
机器学习算法工程师,AI算法,2025-12,13,20,271,????,yes
机器学习算法工程师,AI算法,2026-01,14,21,292,????,yes
机器学习算法工程师,AI算法,2026-02,15,19,311,????,yes
机器学习算法工程师,AI算法,2026-03,16,19,330,????,yes
机器学习算法工程师,AI算法,2026-04,17,23,353,????,yes
机器学习算法工程师,AI算法,2026-05,18,21,374,????,yes
机器学习算法工程师,AI算法,2026-06,19,23,397,????,yes
机器学习算法工程师,AI算法,2026-07,20,20,417,????,yes
数据挖掘算法工程师,算法,2024-12,1,23,23,????,yes
数据挖掘算法工程师,算法,2025-01,2,21,44,????,yes
数据挖掘算法工程师,算法,2025-02,3,19,63,????,yes
数据挖掘算法工程师,算法,2025-03,4,23,86,????,yes
数据挖掘算法工程师,算法,2025-04,5,23,109,????,yes
数据挖掘算法工程师,算法,2025-05,6,22,131,????,yes
数据挖掘算法工程师,算法,2025-06,7,21,152,????,yes
数据挖掘算法工程师,算法,2025-07,8,19,171,????,yes
数据挖掘算法工程师,算法,2025-08,9,21,192,????,yes
数据挖掘算法工程师,算法,2025-09,10,20,212,????,yes
数据挖掘算法工程师,算法,2025-10,11,19,231,????,yes
数据挖掘算法工程师,算法,2025-11,12,19,250,????,yes
数据挖掘算法工程师,算法,2025-12,13,23,273,????,yes
数据挖掘算法工程师,算法,2026-01,14,22,295,????,yes
数据挖掘算法工程师,算法,2026-02,15,21,316,????,yes
数据挖掘算法工程师,算法,2026-03,16,20,336,????,yes
数据挖掘算法工程师,算法,2026-04,17,19,355,????,yes
数据挖掘算法工程师,算法,2026-05,18,23,378,????,yes
数据挖掘算法工程师,算法,2026-06,19,19,397,????,yes
数据挖掘算法工程师,算法,2026-07,20,22,419,????,yes
算法研究员,AI算法,2024-12,1,22,22,??????,yes
算法研究员,AI算法,2025-01,2,23,45,??????,yes
算法研究员,AI算法,2025-02,3,23,68,??????,yes
算法研究员,AI算法,2025-03,4,23,91,??????,yes
算法研究员,AI算法,2025-04,5,19,110,??????,yes
算法研究员,AI算法,2025-05,6,23,133,??????,yes
算法研究员,AI算法,2025-06,7,20,153,??????,yes
算法研究员,AI算法,2025-07,8,21,174,??????,yes
算法研究员,AI算法,2025-08,9,19,193,??????,yes
算法研究员,AI算法,2025-09,10,23,216,??????,yes
算法研究员,AI算法,2025-10,11,23,239,??????,yes
算法研究员,AI算法,2025-11,12,19,258,??????,yes
算法研究员,AI算法,2025-12,13,20,278,??????,yes
算法研究员,AI算法,2026-01,14,22,300,??????,yes
算法研究员,AI算法,2026-02,15,20,320,??????,yes
算法研究员,AI算法,2026-03,16,21,341,??????,yes
算法研究员,AI算法,2026-04,17,22,363,??????,yes
算法研究员,AI算法,2026-05,18,19,382,??????,yes
算法研究员,AI算法,2026-06,19,19,401,??????,yes
算法研究员,AI算法,2026-07,20,23,424,??????,yes
算法工程师,AI算法,2024-12,1,21,21,??????,yes
算法工程师,AI算法,2025-01,2,21,42,??????,yes
算法工程师,AI算法,2025-02,3,19,61,??????,yes
算法工程师,AI算法,2025-03,4,22,83,??????,yes
算法工程师,AI算法,2025-04,5,22,105,??????,yes
算法工程师,AI算法,2025-05,6,21,126,??????,yes
算法工程师,AI算法,2025-06,7,22,148,??????,yes
算法工程师,AI算法,2025-07,8,23,171,??????,yes
算法工程师,AI算法,2025-08,9,23,194,??????,yes
算法工程师,AI算法,2025-09,10,22,216,??????,yes
算法工程师,AI算法,2025-10,11,23,239,??????,yes
算法工程师,AI算法,2025-11,12,20,259,??????,yes
算法工程师,AI算法,2025-12,13,19,278,??????,yes
算法工程师,AI算法,2026-01,14,22,300,??????,yes
算法工程师,AI算法,2026-02,15,21,321,??????,yes
算法工程师,AI算法,2026-03,16,23,344,??????,yes
算法工程师,AI算法,2026-04,17,22,366,??????,yes
算法工程师,AI算法,2026-05,18,22,388,??????,yes
算法工程师,AI算法,2026-06,19,22,410,??????,yes
算法工程师,AI算法,2026-07,20,20,430,??????,yes
后端开发工程师,软件研发,2024-12,1,19,19,????,yes
后端开发工程师,软件研发,2025-01,2,20,39,????,yes
后端开发工程师,软件研发,2025-02,3,20,59,????,yes
后端开发工程师,软件研发,2025-03,4,21,80,????,yes
后端开发工程师,软件研发,2025-04,5,20,100,????,yes
后端开发工程师,软件研发,2025-05,6,20,120,????,yes
后端开发工程师,软件研发,2025-06,7,23,143,????,yes
后端开发工程师,软件研发,2025-07,8,20,163,????,yes
后端开发工程师,软件研发,2025-08,9,20,183,????,yes
后端开发工程师,软件研发,2025-09,10,22,205,????,yes
后端开发工程师,软件研发,2025-10,11,23,228,????,yes
后端开发工程师,软件研发,2025-11,12,19,247,????,yes
后端开发工程师,软件研发,2025-12,13,22,269,????,yes
后端开发工程师,软件研发,2026-01,14,22,291,????,yes
后端开发工程师,软件研发,2026-02,15,21,312,????,yes
后端开发工程师,软件研发,2026-03,16,19,331,????,yes
后端开发工程师,软件研发,2026-04,17,23,354,????,yes
后端开发工程师,软件研发,2026-05,18,22,376,????,yes
后端开发工程师,软件研发,2026-06,19,22,398,????,yes
后端开发工程师,软件研发,2026-07,20,21,419,????,yes
前端开发工程师,软件研发,2024-12,1,19,19,????,yes
前端开发工程师,软件研发,2025-01,2,23,42,????,yes
前端开发工程师,软件研发,2025-02,3,23,65,????,yes
前端开发工程师,软件研发,2025-03,4,21,86,????,yes
前端开发工程师,软件研发,2025-04,5,19,105,????,yes
前端开发工程师,软件研发,2025-05,6,23,128,????,yes
前端开发工程师,软件研发,2025-06,7,23,151,????,yes
前端开发工程师,软件研发,2025-07,8,22,173,????,yes
前端开发工程师,软件研发,2025-08,9,20,193,????,yes
前端开发工程师,软件研发,2025-09,10,21,214,????,yes
前端开发工程师,软件研发,2025-10,11,23,237,????,yes
前端开发工程师,软件研发,2025-11,12,23,260,????,yes
前端开发工程师,软件研发,2025-12,13,21,281,????,yes
前端开发工程师,软件研发,2026-01,14,21,302,????,yes
前端开发工程师,软件研发,2026-02,15,20,322,????,yes
前端开发工程师,软件研发,2026-03,16,23,345,????,yes
前端开发工程师,软件研发,2026-04,17,20,365,????,yes
前端开发工程师,软件研发,2026-05,18,22,387,????,yes
前端开发工程师,软件研发,2026-06,19,23,410,????,yes
前端开发工程师,软件研发,2026-07,20,22,432,????,yes
全栈开发工程师,软件研发,2024-12,1,21,21,????,yes
全栈开发工程师,软件研发,2025-01,2,23,44,????,yes
全栈开发工程师,软件研发,2025-02,3,23,67,????,yes
全栈开发工程师,软件研发,2025-03,4,20,87,????,yes
全栈开发工程师,软件研发,2025-04,5,23,110,????,yes
全栈开发工程师,软件研发,2025-05,6,20,130,????,yes
全栈开发工程师,软件研发,2025-06,7,22,152,????,yes
全栈开发工程师,软件研发,2025-07,8,19,171,????,yes
全栈开发工程师,软件研发,2025-08,9,19,190,????,yes
全栈开发工程师,软件研发,2025-09,10,20,210,????,yes
全栈开发工程师,软件研发,2025-10,11,20,230,????,yes
全栈开发工程师,软件研发,2025-11,12,21,251,????,yes
全栈开发工程师,软件研发,2025-12,13,21,272,????,yes
全栈开发工程师,软件研发,2026-01,14,22,294,????,yes
全栈开发工程师,软件研发,2026-02,15,20,314,????,yes
全栈开发工程师,软件研发,2026-03,16,22,336,????,yes
全栈开发工程师,软件研发,2026-04,17,21,357,????,yes
全栈开发工程师,软件研发,2026-05,18,20,377,????,yes
全栈开发工程师,软件研发,2026-06,19,22,399,????,yes
全栈开发工程师,软件研发,2026-07,20,22,421,????,yes
Java开发工程师,软件研发,2024-12,1,23,23,??????,yes
Java开发工程师,软件研发,2025-01,2,22,45,??????,yes
Java开发工程师,软件研发,2025-02,3,20,65,??????,yes
Java开发工程师,软件研发,2025-03,4,23,88,??????,yes
