month,skill,kg_display_skill,standard_job,monthly_jd_count,monthly_skill_count,monthly_skill_frequency,cumulative_jd_count,cumulative_skill_count,cumulative_skill_frequency,job_first_seen_month,skill_first_seen_month,months_since_skill_first_seen,is_first_seen_job,is_new_job_for_skill,covered_job_count_this_month,cumulative_covered_job_count,monthly_frequency_change,cumulative_frequency_change,is_left_censored,updated_at
2025-10,AIGC,AI,AIGC算法工程师,21,10,0.47619,236,125,0.529661,2024-12,2024-12,10,1,0,6,9,-0.07381,-0.005223,1,2026-08-08T05:14:20+00:00
2025-11,AIGC,AI,AIGC算法工程师,22,10,0.454545,258,135,0.523256,2024-12,2024-12,11,1,0,6,9,-0.021645,-0.006405,1,2026-08-08T05:14:20+00:00
2025-12,AIGC,AI,AIGC算法工程师,20,8,0.4,278,143,0.514388,2024-12,2024-12,12,1,0,6,9,-0.054545,-0.008868,1,2026-08-08T05:14:20+00:00
2026-01,AIGC,AI,AIGC算法工程师,19,10,0.526316,297,153,0.515152,2024-12,2024-12,13,1,0,7,9,0.126316,0.000764,1,2026-08-08T05:14:20+00:00
2026-02,AIGC,AI,AIGC算法工程师,19,9,0.473684,316,162,0.512658,2024-12,2024-12,14,1,0,8,11,-0.052632,-0.002494,1,2026-08-08T05:14:20+00:00
2026-03,AIGC,AI,AIGC算法工程师,22,10,0.454545,338,172,0.508876,2024-12,2024-12,15,1,0,7,11,-0.019139,-0.003782,1,2026-08-08T05:14:20+00:00
2026-04,AIGC,AI,AIGC算法工程师,22,10,0.454545,360,182,0.505556,2024-12,2024-12,16,1,0,9,11,0.0,-0.00332,1,2026-08-08T05:14:20+00:00
2026-05,AIGC,AI,AIGC算法工程师,19,9,0.473684,379,191,0.503958,2024-12,2024-12,17,1,0,6,11,0.019139,-0.001598,1,2026-08-08T05:14:20+00:00
2026-06,AIGC,AI,AIGC算法工程师,19,11,0.578947,398,202,0.507538,2024-12,2024-12,18,1,0,6,11,0.105263,0.00358,1,2026-08-08T05:14:20+00:00
2026-07,AIGC,AI,AIGC算法工程师,21,11,0.52381,419,213,0.508353,2024-12,2024-12,19,1,0,8,11,-0.055137,0.000815,1,2026-08-08T05:14:20+00:00
2025-01,AIGC,AI,AI产品经理,21,21,1.0,41,21,0.512195,2025-01,2024-12,1,0,1,4,4,1.0,0.512195,1,2026-08-08T05:14:20+00:00
2025-02,AIGC,AI,AI产品经理,23,22,0.956522,64,43,0.671875,2025-01,2024-12,2,0,0,6,6,-0.043478,0.15968,1,2026-08-08T05:14:20+00:00
2025-03,AIGC,AI,AI产品经理,20,19,0.95,84,62,0.738095,2025-01,2024-12,3,0,0,5,6,-0.006522,0.06622,1,2026-08-08T05:14:20+00:00
2025-04,AIGC,AI,AI产品经理,20,16,0.8,104,78,0.75,2025-01,2024-12,4,0,0,5,6,-0.15,0.011905,1,2026-08-08T05:14:20+00:00
2025-05,AIGC,AI,AI产品经理,21,16,0.761905,125,94,0.752,2025-01,2024-12,5,0,0,6,7,-0.038095,0.002,1,2026-08-08T05:14:20+00:00
2025-06,AIGC,AI,AI产品经理,22,16,0.727273,147,110,0.748299,2025-01,2024-12,6,0,0,5,7,-0.034632,-0.003701,1,2026-08-08T05:14:20+00:00
2025-07,AIGC,AI,AI产品经理,23,10,0.434783,170,120,0.705882,2025-01,2024-12,7,0,0,6,8,-0.29249,-0.042417,1,2026-08-08T05:14:20+00:00
2025-08,AIGC,AI,AI产品经理,22,13,0.590909,192,133,0.692708,2025-01,2024-12,8,0,0,7,9,0.156126,-0.013174,1,2026-08-08T05:14:20+00:00
2025-09,AIGC,AI,AI产品经理,19,9,0.473684,211,142,0.672986,2025-01,2024-12,9,0,0,6,9,-0.117225,-0.019722,1,2026-08-08T05:14:20+00:00
2025-10,AIGC,AI,AI产品经理,22,13,0.590909,233,155,0.665236,2025-01,2024-12,10,0,0,6,9,0.117225,-0.00775,1,2026-08-08T05:14:20+00:00
2025-11,AIGC,AI,AI产品经理,22,13,0.590909,255,168,0.658824,2025-01,2024-12,11,0,0,6,9,0.0,-0.006412,1,2026-08-08T05:14:20+00:00
2025-12,AIGC,AI,AI产品经理,19,10,0.526316,274,178,0.649635,2025-01,2024-12,12,0,0,6,9,-0.064593,-0.009189,1,2026-08-08T05:14:20+00:00
2026-01,AIGC,AI,AI产品经理,21,10,0.47619,295,188,0.637288,2025-01,2024-12,13,0,0,7,9,-0.050126,-0.012347,1,2026-08-08T05:14:20+00:00
2026-02,AIGC,AI,AI产品经理,21,11,0.52381,316,199,0.629747,2025-01,2024-12,14,0,0,8,11,0.04762,-0.007541,1,2026-08-08T05:14:20+00:00
2026-03,AIGC,AI,AI产品经理,22,11,0.5,338,210,0.621302,2025-01,2024-12,15,0,0,7,11,-0.02381,-0.008445,1,2026-08-08T05:14:20+00:00
2026-04,AIGC,AI,AI产品经理,22,12,0.545455,360,222,0.616667,2025-01,2024-12,16,0,0,9,11,0.045455,-0.004635,1,2026-08-08T05:14:20+00:00
2026-05,AIGC,AI,AI产品经理,20,11,0.55,380,233,0.613158,2025-01,2024-12,17,0,0,6,11,0.004545,-0.003509,1,2026-08-08T05:14:20+00:00
2026-06,AIGC,AI,AI产品经理,22,12,0.545455,402,245,0.609453,2025-01,2024-12,18,0,0,6,11,-0.004545,-0.003705,1,2026-08-08T05:14:20+00:00
2026-07,AIGC,AI,AI产品经理,23,13,0.565217,425,258,0.607059,2025-01,2024-12,19,0,0,8,11,0.019762,-0.002394,1,2026-08-08T05:14:20+00:00
2025-08,AIGC,AI,前端开发工程师,20,1,0.05,193,1,0.005181,2025-08,2024-12,8,0,1,7,9,0.05,0.005181,1,2026-08-08T05:14:20+00:00
2025-09,AIGC,AI,前端开发工程师,21,0,0.0,214,1,0.004673,2025-08,2024-12,9,0,0,6,9,-0.05,-0.000508,1,2026-08-08T05:14:20+00:00
2025-10,AIGC,AI,前端开发工程师,23,0,0.0,237,1,0.004219,2025-08,2024-12,10,0,0,6,9,0.0,-0.000454,1,2026-08-08T05:14:20+00:00
2025-11,AIGC,AI,前端开发工程师,23,0,0.0,260,1,0.003846,2025-08,2024-12,11,0,0,6,9,0.0,-0.000373,1,2026-08-08T05:14:20+00:00
2025-12,AIGC,AI,前端开发工程师,21,0,0.0,281,1,0.003559,2025-08,2024-12,12,0,0,6,9,0.0,-0.000287,1,2026-08-08T05:14:20+00:00
2026-01,AIGC,AI,前端开发工程师,21,1,0.047619,302,2,0.006623,2025-08,2024-12,13,0,0,7,9,0.047619,0.003064,1,2026-08-08T05:14:20+00:00
2026-02,AIGC,AI,前端开发工程师,20,0,0.0,322,2,0.006211,2025-08,2024-12,14,0,0,8,11,-0.047619,-0.000412,1,2026-08-08T05:14:20+00:00
2026-03,AIGC,AI,前端开发工程师,23,1,0.043478,345,3,0.008696,2025-08,2024-12,15,0,0,7,11,0.043478,0.002485,1,2026-08-08T05:14:20+00:00
2026-04,AIGC,AI,前端开发工程师,20,1,0.05,365,4,0.010959,2025-08,2024-12,16,0,0,9,11,0.006522,0.002263,1,2026-08-08T05:14:20+00:00
2026-05,AIGC,AI,前端开发工程师,22,0,0.0,387,4,0.010336,2025-08,2024-12,17,0,0,6,11,-0.05,-0.000623,1,2026-08-08T05:14:20+00:00
2026-06,AIGC,AI,前端开发工程师,23,0,0.0,410,4,0.009756,2025-08,2024-12,18,0,0,6,11,0.0,-0.00058,1,2026-08-08T05:14:20+00:00
2026-07,AIGC,AI,前端开发工程师,22,1,0.045455,432,5,0.011574,2025-08,2024-12,19,0,0,8,11,0.045455,0.001818,1,2026-08-08T05:14:20+00:00
2026-02,AIGC,AI,后端开发工程师,21,1,0.047619,312,1,0.003205,2026-02,2024-12,14,0,1,8,11,0.047619,0.003205,1,2026-08-08T05:14:20+00:00
2026-03,AIGC,AI,后端开发工程师,19,0,0.0,331,1,0.003021,2026-02,2024-12,15,0,0,7,11,-0.047619,-0.000184,1,2026-08-08T05:14:20+00:00
2026-04,AIGC,AI,后端开发工程师,23,0,0.0,354,1,0.002825,2026-02,2024-12,16,0,0,9,11,0.0,-0.000196,1,2026-08-08T05:14:20+00:00
2026-05,AIGC,AI,后端开发工程师,22,0,0.0,376,1,0.00266,2026-02,2024-12,17,0,0,6,11,0.0,-0.000165,1,2026-08-08T05:14:20+00:00
2026-06,AIGC,AI,后端开发工程师,22,0,0.0,398,1,0.002513,2026-02,2024-12,18,0,0,6,11,0.0,-0.000147,1,2026-08-08T05:14:20+00:00
2026-07,AIGC,AI,后端开发工程师,21,0,0.0,419,1,0.002387,2026-02,2024-12,19,0,0,8,11,0.0,-0.000126,1,2026-08-08T05:14:20+00:00
2024-12,AIGC,AI,多模态算法工程师,21,15,0.714286,21,15,0.714286,2024-12,2024-12,0,1,1,3,3,0.714286,0.714286,1,2026-08-08T05:14:20+00:00
2025-01,AIGC,AI,多模态算法工程师,19,9,0.473684,40,24,0.6,2024-12,2024-12,1,1,0,4,4,-0.240602,-0.114286,1,2026-08-08T05:14:20+00:00
2025-02,AIGC,AI,多模态算法工程师,23,12,0.521739,63,36,0.571429,2024-12,2024-12,2,1,0,6,6,0.048055,-0.028571,1,2026-08-08T05:14:20+00:00
2025-03,AIGC,AI,多模态算法工程师,22,10,0.454545,85,46,0.541176,2024-12,2024-12,3,1,0,5,6,-0.067194,-0.030253,1,2026-08-08T05:14:20+00:00
2025-04,AIGC,AI,多模态算法工程师,22,11,0.5,107,57,0.53271,2024-12,2024-12,4,1,0,5,6,0.045455,-0.008466,1,2026-08-08T05:14:20+00:00
2025-05,AIGC,AI,多模态算法工程师,22,11,0.5,129,68,0.527132,2024-12,2024-12,5,1,0,6,7,0.0,-0.005578,1,2026-08-08T05:14:20+00:00
2025-06,AIGC,AI,多模态算法工程师,22,8,0.363636,151,76,0.503311,2024-12,2024-12,6,1,0,5,7,-0.136364,-0.023821,1,2026-08-08T05:14:20+00:00
2025-07,AIGC,AI,多模态算法工程师,19,9,0.473684,170,85,0.5,2024-12,2024-12,7,1,0,6,8,0.110048,-0.003311,1,2026-08-08T05:14:20+00:00
2025-08,AIGC,AI,多模态算法工程师,20,10,0.5,190,95,0.5,2024-12,2024-12,8,1,0,7,9,0.026316,0.0,1,2026-08-08T05:14:20+00:00
2025-09,AIGC,AI,多模态算法工程师,19,10,0.526316,209,105,0.502392,2024-12,2024-12,9,1,0,6,9,0.026316,0.002392,1,2026-08-08T05:14:20+00:00
2025-10,AIGC,AI,多模态算法工程师,19,11,0.578947,228,116,0.508772,2024-12,2024-12,10,1,0,6,9,0.052631,0.00638,1,2026-08-08T05:14:20+00:00
2025-11,AIGC,AI,多模态算法工程师,22,12,0.545455,250,128,0.512,2024-12,2024-12,11,1,0,6,9,-0.033492,0.003228,1,2026-08-08T05:14:20+00:00
2025-12,AIGC,AI,多模态算法工程师,21,9,0.428571,271,137,0.505535,2024-12,2024-12,12,1,0,6,9,-0.116884,-0.006465,1,2026-08-08T05:14:20+00:00
2026-01,AIGC,AI,多模态算法工程师,23,9,0.391304,294,146,0.496599,2024-12,2024-12,13,1,0,7,9,-0.037267,-0.008936,1,2026-08-08T05:14:20+00:00
2026-02,AIGC,AI,多模态算法工程师,22,12,0.545455,316,158,0.5,2024-12,2024-12,14,1,0,8,11,0.154151,0.003401,1,2026-08-08T05:14:20+00:00
2026-03,AIGC,AI,多模态算法工程师,20,11,0.55,336,169,0.502976,2024-12,2024-12,15,1,0,7,11,0.004545,0.002976,1,2026-08-08T05:14:20+00:00
2026-04,AIGC,AI,多模态算法工程师,20,10,0.5,356,179,0.502809,2024-12,2024-12,16,1,0,9,11,-0.05,-0.000167,1,2026-08-08T05:14:20+00:00
2026-05,AIGC,AI,多模态算法工程师,20,10,0.5,376,189,0.50266,2024-12,2024-12,17,1,0,6,11,0.0,-0.000149,1,2026-08-08T05:14:20+00:00
2026-06,AIGC,AI,多模态算法工程师,23,13,0.565217,399,202,0.506266,2024-12,2024-12,18,1,0,6,11,0.065217,0.003606,1,2026-08-08T05:14:20+00:00
2026-07,AIGC,AI,多模态算法工程师,20,10,0.5,419,212,0.505967,2024-12,2024-12,19,1,0,8,11,-0.065217,-0.000299,1,2026-08-08T05:14:20+00:00
2025-05,AIGC,AI,大模型应用工程师,20,1,0.05,121,1,0.008264,2025-05,2024-12,5,0,1,6,7,0.05,0.008264,1,2026-08-08T05:14:20+00:00
2025-06,AIGC,AI,大模型应用工程师,20,0,0.0,141,1,0.007092,2025-05,2024-12,6,0,0,5,7,-0.05,-0.001172,1,2026-08-08T05:14:20+00:00
2025-07,AIGC,AI,大模型应用工程师,20,0,0.0,161,1,0.006211,2025-05,2024-12,7,0,0,6,8,0.0,-0.000881,1,2026-08-08T05:14:20+00:00
2025-08,AIGC,AI,大模型应用工程师,21,0,0.0,182,1,0.005495,2025-05,2024-12,8,0,0,7,9,0.0,-0.000716,1,2026-08-08T05:14:20+00:00
2025-09,AIGC,AI,大模型应用工程师,19,0,0.0,201,1,0.004975,2025-05,2024-12,9,0,0,6,9,0.0,-0.00052,1,2026-08-08T05:14:20+00:00
2025-10,AIGC,AI,大模型应用工程师,20,0,0.0,221,1,0.004525,2025-05,2024-12,10,0,0,6,9,0.0,-0.00045,1,2026-08-08T05:14:20+00:00
2025-11,AIGC,AI,大模型应用工程师,19,0,0.0,240,1,0.004167,2025-05,2024-12,11,0,0,6,9,0.0,-0.000358,1,2026-08-08T05:14:20+00:00
2025-12,AIGC,AI,大模型应用工程师,19,0,0.0,259,1,0.003861,2025-05,2024-12,12,0,0,6,9,0.0,-0.000306,1,2026-08-08T05:14:20+00:00
2026-01,AIGC,AI,大模型应用工程师,22,0,0.0,281,1,0.003559,2025-05,2024-12,13,0,0,7,9,0.0,-0.000302,1,2026-08-08T05:14:20+00:00
2026-02,AIGC,AI,大模型应用工程师,23,0,0.0,304,1,0.003289,2025-05,2024-12,14,0,0,8,11,0.0,-0.00027,1,2026-08-08T05:14:20+00:00
2026-03,AIGC,AI,大模型应用工程师,19,0,0.0,323,1,0.003096,2025-05,2024-12,15,0,0,7,11,0.0,-0.000193,1,2026-08-08T05:14:20+00:00
2026-04,AIGC,AI,大模型应用工程师,19,0,0.0,342,1,0.002924,2025-05,2024-12,16,0,0,9,11,0.0,-0.000172,1,2026-08-08T05:14:20+00:00
2026-05,AIGC,AI,大模型应用工程师,21,0,0.0,363,1,0.002755,2025-05,2024-12,17,0,0,6,11,0.0,-0.000169,1,2026-08-08T05:14:20+00:00
2026-06,AIGC,AI,大模型应用工程师,21,0,0.0,384,1,0.002604,2025-05,2024-12,18,0,0,6,11,0.0,-0.000151,1,2026-08-08T05:14:20+00:00
2026-07,AIGC,AI,大模型应用工程师,23,0,0.0,407,1,0.002457,2025-05,2024-12,19,0,0,8,11,0.0,-0.000147,1,2026-08-08T05:14:20+00:00
2025-02,AIGC,AI,大模型算法工程师,21,1,0.047619,61,1,0.016393,2025-02,2024-12,2,0,1,6,6,0.047619,0.016393,1,2026-08-08T05:14:20+00:00
2025-03,AIGC,AI,大模型算法工程师,22,0,0.0,83,1,0.012048,2025-02,2024-12,3,0,0,5,6,-0.047619,-0.004345,1,2026-08-08T05:14:20+00:00
2025-04,AIGC,AI,大模型算法工程师,19,0,0.0,102,1,0.009804,2025-02,2024-12,4,0,0,5,6,0.0,-0.002244,1,2026-08-08T05:14:20+00:00
2025-05,AIGC,AI,大模型算法工程师,21,0,0.0,123,1,0.00813,2025-02,2024-12,5,0,0,6,7,0.0,-0.001674,1,2026-08-08T05:14:20+00:00
2025-06,AIGC,AI,大模型算法工程师,22,0,0.0,145,1,0.006897,2025-02,2024-12,6,0,0,5,7,0.0,-0.001233,1,2026-08-08T05:14:20+00:00
2025-07,AIGC,AI,大模型算法工程师,22,0,0.0,167,1,0.005988,2025-02,2024-12,7,0,0,6,8,0.0,-0.000909,1,2026-08-08T05:14:20+00:00
2025-08,AIGC,AI,大模型算法工程师,21,0,0.0,188,1,0.005319,2025-02,2024-12,8,0,0,7,9,0.0,-0.000669,1,2026-08-08T05:14:20+00:00
2025-09,AIGC,AI,大模型算法工程师,22,0,0.0,210,1,0.004762,2025-02,2024-12,9,0,0,6,9,0.0,-0.000557,1,2026-08-08T05:14:20+00:00
2025-10,AIGC,AI,大模型算法工程师,21,0,0.0,231,1,0.004329,2025-02,2024-12,10,0,0,6,9,0.0,-0.000433,1,2026-08-08T05:14:20+00:00
2025-11,AIGC,AI,大模型算法工程师,19,0,0.0,250,1,0.004,2025-02,2024-12,11,0,0,6,9,0.0,-0.000329,1,2026-08-08T05:14:20+00:00
2025-12,AIGC,AI,大模型算法工程师,19,0,0.0,269,1,0.003717,2025-02,2024-12,12,0,0,6,9,0.0,-0.000283,1,2026-08-08T05:14:20+00:00
2026-01,AIGC,AI,大模型算法工程师,23,0,0.0,292,1,0.003425,2025-02,2024-12,13,0,0,7,9,0.0,-0.000292,1,2026-08-08T05:14:20+00:00
2026-02,AIGC,AI,大模型算法工程师,19,0,0.0,311,1,0.003215,2025-02,2024-12,14,0,0,8,11,0.0,-0.00021,1,2026-08-08T05:14:20+00:00
2026-03,AIGC,AI,大模型算法工程师,23,0,0.0,334,1,0.002994,2025-02,2024-12,15,0,0,7,11,0.0,-0.000221,1,2026-08-08T05:14:20+00:00
2026-04,AIGC,AI,大模型算法工程师,20,1,0.05,354,2,0.00565,2025-02,2024-12,16,0,0,9,11,0.05,0.002656,1,2026-08-08T05:14:20+00:00
2026-05,AIGC,AI,大模型算法工程师,23,0,0.0,377,2,0.005305,2025-02,2024-12,17,0,0,6,11,-0.05,-0.000345,1,2026-08-08T05:14:20+00:00
2026-06,AIGC,AI,大模型算法工程师,23,0,0.0,400,2,0.005,2025-02,2024-12,18,0,0,6,11,0.0,-0.000305,1,2026-08-08T05:14:20+00:00
2026-07,AIGC,AI,大模型算法工程师,20,0,0.0,420,2,0.004762,2025-02,2024-12,19,0,0,8,11,0.0,-0.000238,1,2026-08-08T05:14:20+00:00
2026-02,AIGC,AI,测试开发工程师,21,1,0.047619,315,1,0.003175,2026-02,2024-12,14,0,1,8,11,0.047619,0.003175,1,2026-08-08T05:14:20+00:00
2026-03,AIGC,AI,测试开发工程师,19,0,0.0,334,1,0.002994,2026-02,2024-12,15,0,0,7,11,-0.047619,-0.000181,1,2026-08-08T05:14:20+00:00
2026-04,AIGC,AI,测试开发工程师,22,1,0.045455,356,2,0.005618,2026-02,2024-12,16,0,0,9,11,0.045455,0.002624,1,2026-08-08T05:14:20+00:00
2026-05,AIGC,AI,测试开发工程师,21,0,0.0,377,2,0.005305,2026-02,2024-12,17,0,0,6,11,-0.045455,-0.000313,1,2026-08-08T05:14:20+00:00
2026-06,AIGC,AI,测试开发工程师,19,0,0.0,396,2,0.005051,2026-02,2024-12,18,0,0,6,11,0.0,-0.000254,1,2026-08-08T05:14:20+00:00
2026-07,AIGC,AI,测试开发工程师,20,1,0.05,416,3,0.007212,2026-02,2024-12,19,0,0,8,11,0.05,0.002161,1,2026-08-08T05:14:20+00:00
2025-07,AIGC,AI,解决方案工程师,20,11,0.55,168,11,0.065476,2025-07,2024-12,7,0,1,6,8,0.55,0.065476,1,2026-08-08T05:14:20+00:00
2025-08,AIGC,AI,解决方案工程师,20,7,0.35,188,18,0.095745,2025-07,2024-12,8,0,0,7,9,-0.2,0.030269,1,2026-08-08T05:14:20+00:00
2025-09,AIGC,AI,解决方案工程师,22,9,0.409091,210,27,0.128571,2025-07,2024-12,9,0,0,6,9,0.059091,0.032826,1,2026-08-08T05:14:20+00:00
2025-10,AIGC,AI,解决方案工程师,19,9,0.473684,229,36,0.157205,2025-07,2024-12,10,0,0,6,9,0.064593,0.028634,1,2026-08-08T05:14:20+00:00
2025-11,AIGC,AI,解决方案工程师,23,9,0.391304,252,45,0.178571,2025-07,2024-12,11,0,0,6,9,-0.08238,0.021366,1,2026-08-08T05:14:20+00:00
2025-12,AIGC,AI,解决方案工程师,20,8,0.4,272,53,0.194853,2025-07,2024-12,12,0,0,6,9,0.008696,0.016282,1,2026-08-08T05:14:20+00:00
2026-01,AIGC,AI,解决方案工程师,19,8,0.421053,291,61,0.209622,2025-07,2024-12,13,0,0,7,9,0.021053,0.014769,1,2026-08-08T05:14:20+00:00
2026-02,AIGC,AI,解决方案工程师,23,10,0.434783,314,71,0.226115,2025-07,2024-12,14,0,0,8,11,0.01373,0.016493,1,2026-08-08T05:14:20+00:00
2026-03,AIGC,AI,解决方案工程师,21,7,0.333333,335,78,0.232836,2025-07,2024-12,15,0,0,7,11,-0.10145,0.006721,1,2026-08-08T05:14:20+00:00
2026-04,AIGC,AI,解决方案工程师,23,10,0.434783,358,88,0.24581,2025-07,2024-12,16,0,0,9,11,0.10145,0.012974,1,2026-08-08T05:14:20+00:00
2026-05,AIGC,AI,解决方案工程师,19,7,0.368421,377,95,0.251989,2025-07,2024-12,17,0,0,6,11,-0.066362,0.006179,1,2026-08-08T05:14:20+00:00
2026-06,AIGC,AI,解决方案工程师,19,9,0.473684,396,104,0.262626,2025-07,2024-12,18,0,0,6,11,0.105263,0.010637,1,2026-08-08T05:14:20+00:00
2026-07,AIGC,AI,解决方案工程师,21,9,0.428571,417,113,0.270983,2025-07,2024-12,19,0,0,8,11,-0.045113,0.008357,1,2026-08-08T05:14:20+00:00
2024-12,AIGC,AI,计算机视觉算法工程师,23,12,0.521739,23,12,0.521739,2024-12,2024-12,0,1,1,3,3,0.521739,0.521739,1,2026-08-08T05:14:20+00:00
2025-01,AIGC,AI,计算机视觉算法工程师,23,14,0.608696,46,26,0.565217,2024-12,2024-12,1,1,0,4,4,0.086957,0.043478,1,2026-08-08T05:14:20+00:00
2025-02,AIGC,AI,计算机视觉算法工程师,23,11,0.478261,69,37,0.536232,2024-12,2024-12,2,1,0,6,6,-0.130435,-0.028985,1,2026-08-08T05:14:20+00:00
2025-03,AIGC,AI,计算机视觉算法工程师,20,9,0.45,89,46,0.516854,2024-12,2024-12,3,1,0,5,6,-0.028261,-0.019378,1,2026-08-08T05:14:20+00:00
2025-04,AIGC,AI,计算机视觉算法工程师,22,12,0.545455,111,58,0.522523,2024-12,2024-12,4,1,0,5,6,0.095455,0.005669,1,2026-08-08T05:14:20+00:00
2025-05,AIGC,AI,计算机视觉算法工程师,22,10,0.454545,133,68,0.511278,2024-12,2024-12,5,1,0,6,7,-0.09091,-0.011245,1,2026-08-08T05:14:20+00:00
2025-06,AIGC,AI,计算机视觉算法工程师,23,13,0.565217,156,81,0.519231,2024-12,2024-12,6,1,0,5,7,0.110672,0.007953,1,2026-08-08T05:14:20+00:00
2025-07,AIGC,AI,计算机视觉算法工程师,20,8,0.4,176,89,0.505682,2024-12,2024-12,7,1,0,6,8,-0.165217,-0.013549,1,2026-08-08T05:14:20+00:00
2025-08,AIGC,AI,计算机视觉算法工程师,22,12,0.545455,198,101,0.510101,2024-12,2024-12,8,1,0,7,9,0.145455,0.004419,1,2026-08-08T05:14:20+00:00
2025-09,AIGC,AI,计算机视觉算法工程师,22,11,0.5,220,112,0.509091,2024-12,2024-12,9,1,0,6,9,-0.045455,-0.00101,1,2026-08-08T05:14:20+00:00
2025-10,AIGC,AI,计算机视觉算法工程师,22,11,0.5,242,123,0.508264,2024-12,2024-12,10,1,0,6,9,0.0,-0.000827,1,2026-08-08T05:14:20+00:00
2025-11,AIGC,AI,计算机视觉算法工程师,19,9,0.473684,261,132,0.505747,2024-12,2024-12,11,1,0,6,9,-0.026316,-0.002517,1,2026-08-08T05:14:20+00:00
2025-12,AIGC,AI,计算机视觉算法工程师,20,10,0.5,281,142,0.505338,2024-12,2024-12,12,1,0,6,9,0.026316,-0.000409,1,2026-08-08T05:14:20+00:00
2026-01,AIGC,AI,计算机视觉算法工程师,20,11,0.55,301,153,0.508306,2024-12,2024-12,13,1,0,7,9,0.05,0.002968,1,2026-08-08T05:14:20+00:00
2026-02,AIGC,AI,计算机视觉算法工程师,19,10,0.526316,320,163,0.509375,2024-12,2024-12,14,1,0,8,11,-0.023684,0.001069,1,2026-08-08T05:14:20+00:00
2026-03,AIGC,AI,计算机视觉算法工程师,20,8,0.4,340,171,0.502941,2024-12,2024-12,15,1,0,7,11,-0.126316,-0.006434,1,2026-08-08T05:14:20+00:00
2026-04,AIGC,AI,计算机视觉算法工程师,19,11,0.578947,359,182,0.506964,2024-12,2024-12,16,1,0,9,11,0.178947,0.004023,1,2026-08-08T05:14:20+00:00
2026-05,AIGC,AI,计算机视觉算法工程师,21,13,0.619048,380,195,0.513158,2024-12,2024-12,17,1,0,6,11,0.040101,0.006194,1,2026-08-08T05:14:20+00:00
2026-06,AIGC,AI,计算机视觉算法工程师,20,10,0.5,400,205,0.5125,2024-12,2024-12,18,1,0,6,11,-0.119048,-0.000658,1,2026-08-08T05:14:20+00:00
2026-07,AIGC,AI,计算机视觉算法工程师,21,11,0.52381,421,216,0.513064,2024-12,2024-12,19,1,0,8,11,0.02381,0.000564,1,2026-08-08T05:14:20+00:00
2025-02,AIGC,AI,音视频工程师,21,18,0.857143,61,18,0.295082,2025-02,2024-12,2,0,1,6,6,0.857143,0.295082,1,2026-08-08T05:14:20+00:00
2025-03,AIGC,AI,音视频工程师,19,17,0.894737,80,35,0.4375,2025-02,2024-12,3,0,0,5,6,0.037594,0.142418,1,2026-08-08T05:14:20+00:00
2025-04,AIGC,AI,音视频工程师,21,17,0.809524,101,52,0.514851,2025-02,2024-12,4,0,0,5,6,-0.085213,0.077351,1,2026-08-08T05:14:20+00:00
2025-05,AIGC,AI,音视频工程师,22,17,0.772727,123,69,0.560976,2025-02,2024-12,5,0,0,6,7,-0.036797,0.046125,1,2026-08-08T05:14:20+00:00
