month,skill,kg_display_skill,standard_job,monthly_jd_count,monthly_skill_count,monthly_skill_frequency,cumulative_jd_count,cumulative_skill_count,cumulative_skill_frequency,job_first_seen_month,skill_first_seen_month,months_since_skill_first_seen,is_first_seen_job,is_new_job_for_skill,covered_job_count_this_month,cumulative_covered_job_count,monthly_frequency_change,cumulative_frequency_change,is_left_censored,updated_at
2025-11,AIGC,AI,AIGC算法工程师,3,1,0.333333,22,12,0.545455,2024-12,2024-12,11,1,0,5,9,0.0,-0.033492,1,2026-08-08T05:27:55+00:00
2025-12,AIGC,AI,AIGC算法工程师,3,2,0.666667,25,14,0.56,2024-12,2024-12,12,1,0,6,9,0.333334,0.014545,1,2026-08-08T05:27:55+00:00
2026-01,AIGC,AI,AIGC算法工程师,3,2,0.666667,28,16,0.571429,2024-12,2024-12,13,1,0,6,9,0.0,0.011429,1,2026-08-08T05:27:55+00:00
2026-02,AIGC,AI,AIGC算法工程师,2,1,0.5,30,17,0.566667,2024-12,2024-12,14,1,0,7,11,-0.166667,-0.004762,1,2026-08-08T05:27:55+00:00
2026-03,AIGC,AI,AIGC算法工程师,2,1,0.5,32,18,0.5625,2024-12,2024-12,15,1,0,6,11,0.0,-0.004167,1,2026-08-08T05:27:55+00:00
2026-04,AIGC,AI,AIGC算法工程师,2,1,0.5,34,19,0.558824,2024-12,2024-12,16,1,0,5,11,0.0,-0.003676,1,2026-08-08T05:27:55+00:00
2026-05,AIGC,AI,AIGC算法工程师,1,1,1.0,35,20,0.571429,2024-12,2024-12,17,1,0,6,11,0.5,0.012605,1,2026-08-08T05:27:55+00:00
2026-06,AIGC,AI,AIGC算法工程师,1,1,1.0,36,21,0.583333,2024-12,2024-12,18,1,0,5,11,0.0,0.011904,1,2026-08-08T05:27:55+00:00
2026-07,AIGC,AI,AIGC算法工程师,1,1,1.0,37,22,0.594595,2024-12,2024-12,19,1,0,5,11,0.0,0.011262,1,2026-08-08T05:27:55+00:00
2025-01,AIGC,AI,AI产品经理,3,2,0.666667,6,2,0.333333,2025-01,2024-12,1,0,1,4,4,0.666667,0.333333,1,2026-08-08T05:27:55+00:00
2025-02,AIGC,AI,AI产品经理,2,2,1.0,8,4,0.5,2025-01,2024-12,2,0,0,4,5,0.333333,0.166667,1,2026-08-08T05:27:55+00:00
2025-03,AIGC,AI,AI产品经理,2,2,1.0,10,6,0.6,2025-01,2024-12,3,0,0,4,5,0.0,0.1,1,2026-08-08T05:27:55+00:00
2025-04,AIGC,AI,AI产品经理,2,1,0.5,12,7,0.583333,2025-01,2024-12,4,0,0,3,5,-0.5,-0.016667,1,2026-08-08T05:27:55+00:00
2025-05,AIGC,AI,AI产品经理,2,2,1.0,14,9,0.642857,2025-01,2024-12,5,0,0,6,7,0.5,0.059524,1,2026-08-08T05:27:55+00:00
2025-06,AIGC,AI,AI产品经理,1,1,1.0,15,10,0.666667,2025-01,2024-12,6,0,0,5,7,0.0,0.02381,1,2026-08-08T05:27:55+00:00
2025-07,AIGC,AI,AI产品经理,2,1,0.5,17,11,0.647059,2025-01,2024-12,7,0,0,5,8,-0.5,-0.019608,1,2026-08-08T05:27:55+00:00
2025-08,AIGC,AI,AI产品经理,1,1,1.0,18,12,0.666667,2025-01,2024-12,8,0,0,5,9,0.5,0.019608,1,2026-08-08T05:27:55+00:00
2025-09,AIGC,AI,AI产品经理,1,1,1.0,19,13,0.684211,2025-01,2024-12,9,0,0,6,9,0.0,0.017544,1,2026-08-08T05:27:55+00:00
2025-10,AIGC,AI,AI产品经理,1,1,1.0,20,14,0.7,2025-01,2024-12,10,0,0,5,9,0.0,0.015789,1,2026-08-08T05:27:55+00:00
2025-11,AIGC,AI,AI产品经理,1,1,1.0,21,15,0.714286,2025-01,2024-12,11,0,0,5,9,0.0,0.014286,1,2026-08-08T05:27:55+00:00
2025-12,AIGC,AI,AI产品经理,1,1,1.0,22,16,0.727273,2025-01,2024-12,12,0,0,6,9,0.0,0.012987,1,2026-08-08T05:27:55+00:00
2026-01,AIGC,AI,AI产品经理,1,1,1.0,23,17,0.73913,2025-01,2024-12,13,0,0,6,9,0.0,0.011857,1,2026-08-08T05:27:55+00:00
2026-02,AIGC,AI,AI产品经理,2,1,0.5,25,18,0.72,2025-01,2024-12,14,0,0,7,11,-0.5,-0.01913,1,2026-08-08T05:27:55+00:00
2026-03,AIGC,AI,AI产品经理,2,1,0.5,27,19,0.703704,2025-01,2024-12,15,0,0,6,11,0.0,-0.016296,1,2026-08-08T05:27:55+00:00
2026-04,AIGC,AI,AI产品经理,2,1,0.5,29,20,0.689655,2025-01,2024-12,16,0,0,5,11,0.0,-0.014049,1,2026-08-08T05:27:55+00:00
2026-05,AIGC,AI,AI产品经理,1,1,1.0,30,21,0.7,2025-01,2024-12,17,0,0,6,11,0.5,0.010345,1,2026-08-08T05:27:55+00:00
2026-06,AIGC,AI,AI产品经理,1,1,1.0,31,22,0.709677,2025-01,2024-12,18,0,0,5,11,0.0,0.009677,1,2026-08-08T05:27:55+00:00
2026-07,AIGC,AI,AI产品经理,1,1,1.0,32,23,0.71875,2025-01,2024-12,19,0,0,5,11,0.0,0.009073,1,2026-08-08T05:27:55+00:00
2025-08,AIGC,AI,前端开发工程师,2,1,0.5,14,1,0.071429,2025-08,2024-12,8,0,1,5,9,0.5,0.071429,1,2026-08-08T05:27:55+00:00
2025-09,AIGC,AI,前端开发工程师,3,0,0.0,17,1,0.058824,2025-08,2024-12,9,0,0,6,9,-0.5,-0.012605,1,2026-08-08T05:27:55+00:00
2025-10,AIGC,AI,前端开发工程师,3,0,0.0,20,1,0.05,2025-08,2024-12,10,0,0,5,9,0.0,-0.008824,1,2026-08-08T05:27:55+00:00
2025-11,AIGC,AI,前端开发工程师,3,0,0.0,23,1,0.043478,2025-08,2024-12,11,0,0,5,9,0.0,-0.006522,1,2026-08-08T05:27:55+00:00
2025-12,AIGC,AI,前端开发工程师,4,0,0.0,27,1,0.037037,2025-08,2024-12,12,0,0,6,9,0.0,-0.006441,1,2026-08-08T05:27:55+00:00
2026-01,AIGC,AI,前端开发工程师,3,0,0.0,30,1,0.033333,2025-08,2024-12,13,0,0,6,9,0.0,-0.003704,1,2026-08-08T05:27:55+00:00
2026-02,AIGC,AI,前端开发工程师,4,0,0.0,34,1,0.029412,2025-08,2024-12,14,0,0,7,11,0.0,-0.003921,1,2026-08-08T05:27:55+00:00
2026-03,AIGC,AI,前端开发工程师,4,0,0.0,38,1,0.026316,2025-08,2024-12,15,0,0,6,11,0.0,-0.003096,1,2026-08-08T05:27:55+00:00
2026-04,AIGC,AI,前端开发工程师,4,0,0.0,42,1,0.02381,2025-08,2024-12,16,0,0,5,11,0.0,-0.002506,1,2026-08-08T05:27:55+00:00
2026-05,AIGC,AI,前端开发工程师,4,0,0.0,46,1,0.021739,2025-08,2024-12,17,0,0,6,11,0.0,-0.002071,1,2026-08-08T05:27:55+00:00
2026-06,AIGC,AI,前端开发工程师,5,0,0.0,51,1,0.019608,2025-08,2024-12,18,0,0,5,11,0.0,-0.002131,1,2026-08-08T05:27:55+00:00
2026-07,AIGC,AI,前端开发工程师,5,0,0.0,56,1,0.017857,2025-08,2024-12,19,0,0,5,11,0.0,-0.001751,1,2026-08-08T05:27:55+00:00
2026-02,AIGC,AI,后端开发工程师,3,1,0.333333,25,1,0.04,2026-02,2024-12,14,0,1,7,11,0.333333,0.04,1,2026-08-08T05:27:55+00:00
2026-03,AIGC,AI,后端开发工程师,3,0,0.0,28,1,0.035714,2026-02,2024-12,15,0,0,6,11,-0.333333,-0.004286,1,2026-08-08T05:27:55+00:00
2026-04,AIGC,AI,后端开发工程师,3,0,0.0,31,1,0.032258,2026-02,2024-12,16,0,0,5,11,0.0,-0.003456,1,2026-08-08T05:27:55+00:00
2026-06,AIGC,AI,后端开发工程师,4,0,0.0,35,1,0.028571,2026-02,2024-12,18,0,0,5,11,0.0,-0.003687,1,2026-08-08T05:27:55+00:00
2026-07,AIGC,AI,后端开发工程师,3,0,0.0,38,1,0.026316,2026-02,2024-12,19,0,0,5,11,0.0,-0.002255,1,2026-08-08T05:27:55+00:00
2024-12,AIGC,AI,多模态算法工程师,1,1,1.0,1,1,1.0,2024-12,2024-12,0,1,1,3,3,1.0,1.0,1,2026-08-08T05:27:55+00:00
2025-01,AIGC,AI,多模态算法工程师,1,1,1.0,2,2,1.0,2024-12,2024-12,1,1,0,4,4,0.0,0.0,1,2026-08-08T05:27:55+00:00
2025-02,AIGC,AI,多模态算法工程师,2,1,0.5,4,3,0.75,2024-12,2024-12,2,1,0,4,5,-0.5,-0.25,1,2026-08-08T05:27:55+00:00
2025-03,AIGC,AI,多模态算法工程师,2,1,0.5,6,4,0.666667,2024-12,2024-12,3,1,0,4,5,0.0,-0.083333,1,2026-08-08T05:27:55+00:00
2025-05,AIGC,AI,多模态算法工程师,2,1,0.5,8,5,0.625,2024-12,2024-12,5,1,0,6,7,0.0,-0.041667,1,2026-08-08T05:27:55+00:00
2025-06,AIGC,AI,多模态算法工程师,2,1,0.5,10,6,0.6,2024-12,2024-12,6,1,0,5,7,0.0,-0.025,1,2026-08-08T05:27:55+00:00
2025-07,AIGC,AI,多模态算法工程师,3,2,0.666667,13,8,0.615385,2024-12,2024-12,7,1,0,5,8,0.166667,0.015385,1,2026-08-08T05:27:55+00:00
2025-08,AIGC,AI,多模态算法工程师,3,2,0.666667,16,10,0.625,2024-12,2024-12,8,1,0,5,9,0.0,0.009615,1,2026-08-08T05:27:55+00:00
2025-09,AIGC,AI,多模态算法工程师,3,2,0.666667,19,12,0.631579,2024-12,2024-12,9,1,0,6,9,0.0,0.006579,1,2026-08-08T05:27:55+00:00
2025-10,AIGC,AI,多模态算法工程师,4,2,0.5,23,14,0.608696,2024-12,2024-12,10,1,0,5,9,-0.166667,-0.022883,1,2026-08-08T05:27:55+00:00
2025-11,AIGC,AI,多模态算法工程师,4,3,0.75,27,17,0.62963,2024-12,2024-12,11,1,0,5,9,0.25,0.020934,1,2026-08-08T05:27:55+00:00
2025-12,AIGC,AI,多模态算法工程师,4,2,0.5,31,19,0.612903,2024-12,2024-12,12,1,0,6,9,-0.25,-0.016727,1,2026-08-08T05:27:55+00:00
2026-01,AIGC,AI,多模态算法工程师,4,2,0.5,35,21,0.6,2024-12,2024-12,13,1,0,6,9,0.0,-0.012903,1,2026-08-08T05:27:55+00:00
2026-02,AIGC,AI,多模态算法工程师,3,1,0.333333,38,22,0.578947,2024-12,2024-12,14,1,0,7,11,-0.166667,-0.021053,1,2026-08-08T05:27:55+00:00
2026-03,AIGC,AI,多模态算法工程师,3,2,0.666667,41,24,0.585366,2024-12,2024-12,15,1,0,6,11,0.333334,0.006419,1,2026-08-08T05:27:55+00:00
2026-05,AIGC,AI,多模态算法工程师,3,1,0.333333,44,25,0.568182,2024-12,2024-12,17,1,0,6,11,-0.333334,-0.017184,1,2026-08-08T05:27:55+00:00
2026-06,AIGC,AI,多模态算法工程师,3,2,0.666667,47,27,0.574468,2024-12,2024-12,18,1,0,5,11,0.333334,0.006286,1,2026-08-08T05:27:55+00:00
2026-07,AIGC,AI,多模态算法工程师,3,1,0.333333,50,28,0.56,2024-12,2024-12,19,1,0,5,11,-0.333334,-0.014468,1,2026-08-08T05:27:55+00:00
2025-05,AIGC,AI,大模型应用工程师,1,1,1.0,9,1,0.111111,2025-05,2024-12,5,0,1,6,7,1.0,0.111111,1,2026-08-08T05:27:55+00:00
2025-06,AIGC,AI,大模型应用工程师,1,0,0.0,10,1,0.1,2025-05,2024-12,6,0,0,5,7,-1.0,-0.011111,1,2026-08-08T05:27:55+00:00
2025-07,AIGC,AI,大模型应用工程师,1,0,0.0,11,1,0.090909,2025-05,2024-12,7,0,0,5,8,0.0,-0.009091,1,2026-08-08T05:27:55+00:00
2025-08,AIGC,AI,大模型应用工程师,1,0,0.0,12,1,0.083333,2025-05,2024-12,8,0,0,5,9,0.0,-0.007576,1,2026-08-08T05:27:55+00:00
2025-09,AIGC,AI,大模型应用工程师,2,0,0.0,14,1,0.071429,2025-05,2024-12,9,0,0,6,9,0.0,-0.011904,1,2026-08-08T05:27:55+00:00
2025-10,AIGC,AI,大模型应用工程师,2,0,0.0,16,1,0.0625,2025-05,2024-12,10,0,0,5,9,0.0,-0.008929,1,2026-08-08T05:27:55+00:00
2025-11,AIGC,AI,大模型应用工程师,2,0,0.0,18,1,0.055556,2025-05,2024-12,11,0,0,5,9,0.0,-0.006944,1,2026-08-08T05:27:55+00:00
2025-12,AIGC,AI,大模型应用工程师,2,0,0.0,20,1,0.05,2025-05,2024-12,12,0,0,6,9,0.0,-0.005556,1,2026-08-08T05:27:55+00:00
2026-01,AIGC,AI,大模型应用工程师,2,0,0.0,22,1,0.045455,2025-05,2024-12,13,0,0,6,9,0.0,-0.004545,1,2026-08-08T05:27:55+00:00
2026-02,AIGC,AI,大模型应用工程师,2,0,0.0,24,1,0.041667,2025-05,2024-12,14,0,0,7,11,0.0,-0.003788,1,2026-08-08T05:27:55+00:00
2026-03,AIGC,AI,大模型应用工程师,2,0,0.0,26,1,0.038462,2025-05,2024-12,15,0,0,6,11,0.0,-0.003205,1,2026-08-08T05:27:55+00:00
2026-04,AIGC,AI,大模型应用工程师,3,0,0.0,29,1,0.034483,2025-05,2024-12,16,0,0,5,11,0.0,-0.003979,1,2026-08-08T05:27:55+00:00
2026-05,AIGC,AI,大模型应用工程师,3,0,0.0,32,1,0.03125,2025-05,2024-12,17,0,0,6,11,0.0,-0.003233,1,2026-08-08T05:27:55+00:00
2026-06,AIGC,AI,大模型应用工程师,3,0,0.0,35,1,0.028571,2025-05,2024-12,18,0,0,5,11,0.0,-0.002679,1,2026-08-08T05:27:55+00:00
2026-07,AIGC,AI,大模型应用工程师,6,0,0.0,41,1,0.02439,2025-05,2024-12,19,0,0,5,11,0.0,-0.004181,1,2026-08-08T05:27:55+00:00
2025-02,AIGC,AI,大模型算法工程师,1,1,1.0,4,1,0.25,2025-02,2024-12,2,0,1,4,5,1.0,0.25,1,2026-08-08T05:27:55+00:00
2025-03,AIGC,AI,大模型算法工程师,1,0,0.0,5,1,0.2,2025-02,2024-12,3,0,0,4,5,-1.0,-0.05,1,2026-08-08T05:27:55+00:00
2025-04,AIGC,AI,大模型算法工程师,2,0,0.0,7,1,0.142857,2025-02,2024-12,4,0,0,3,5,0.0,-0.057143,1,2026-08-08T05:27:55+00:00
2025-05,AIGC,AI,大模型算法工程师,2,0,0.0,9,1,0.111111,2025-02,2024-12,5,0,0,6,7,0.0,-0.031746,1,2026-08-08T05:27:55+00:00
2025-06,AIGC,AI,大模型算法工程师,2,0,0.0,11,1,0.090909,2025-02,2024-12,6,0,0,5,7,0.0,-0.020202,1,2026-08-08T05:27:55+00:00
2025-07,AIGC,AI,大模型算法工程师,2,0,0.0,13,1,0.076923,2025-02,2024-12,7,0,0,5,8,0.0,-0.013986,1,2026-08-08T05:27:55+00:00
2025-08,AIGC,AI,大模型算法工程师,2,0,0.0,15,1,0.066667,2025-02,2024-12,8,0,0,5,9,0.0,-0.010256,1,2026-08-08T05:27:55+00:00
2025-09,AIGC,AI,大模型算法工程师,2,0,0.0,17,1,0.058824,2025-02,2024-12,9,0,0,6,9,0.0,-0.007843,1,2026-08-08T05:27:55+00:00
2025-10,AIGC,AI,大模型算法工程师,3,0,0.0,20,1,0.05,2025-02,2024-12,10,0,0,5,9,0.0,-0.008824,1,2026-08-08T05:27:55+00:00
2025-11,AIGC,AI,大模型算法工程师,3,0,0.0,23,1,0.043478,2025-02,2024-12,11,0,0,5,9,0.0,-0.006522,1,2026-08-08T05:27:55+00:00
2025-12,AIGC,AI,大模型算法工程师,3,0,0.0,26,1,0.038462,2025-02,2024-12,12,0,0,6,9,0.0,-0.005016,1,2026-08-08T05:27:55+00:00
2026-01,AIGC,AI,大模型算法工程师,3,0,0.0,29,1,0.034483,2025-02,2024-12,13,0,0,6,9,0.0,-0.003979,1,2026-08-08T05:27:55+00:00
2026-02,AIGC,AI,大模型算法工程师,3,0,0.0,32,1,0.03125,2025-02,2024-12,14,0,0,7,11,0.0,-0.003233,1,2026-08-08T05:27:55+00:00
2026-03,AIGC,AI,大模型算法工程师,3,0,0.0,35,1,0.028571,2025-02,2024-12,15,0,0,6,11,0.0,-0.002679,1,2026-08-08T05:27:55+00:00
2026-04,AIGC,AI,大模型算法工程师,3,0,0.0,38,1,0.026316,2025-02,2024-12,16,0,0,5,11,0.0,-0.002255,1,2026-08-08T05:27:55+00:00
2026-05,AIGC,AI,大模型算法工程师,4,0,0.0,42,1,0.02381,2025-02,2024-12,17,0,0,6,11,0.0,-0.002506,1,2026-08-08T05:27:55+00:00
2026-06,AIGC,AI,大模型算法工程师,4,0,0.0,46,1,0.021739,2025-02,2024-12,18,0,0,5,11,0.0,-0.002071,1,2026-08-08T05:27:55+00:00
2026-07,AIGC,AI,大模型算法工程师,4,0,0.0,50,1,0.02,2025-02,2024-12,19,0,0,5,11,0.0,-0.001739,1,2026-08-08T05:27:55+00:00
2026-02,AIGC,AI,测试开发工程师,3,1,0.333333,45,1,0.022222,2026-02,2024-12,14,0,1,7,11,0.333333,0.022222,1,2026-08-08T05:27:55+00:00
2026-03,AIGC,AI,测试开发工程师,3,1,0.333333,48,2,0.041667,2026-02,2024-12,15,0,0,6,11,0.0,0.019445,1,2026-08-08T05:27:55+00:00
2026-04,AIGC,AI,测试开发工程师,4,0,0.0,52,2,0.038462,2026-02,2024-12,16,0,0,5,11,-0.333333,-0.003205,1,2026-08-08T05:27:55+00:00
2026-05,AIGC,AI,测试开发工程师,3,0,0.0,55,2,0.036364,2026-02,2024-12,17,0,0,6,11,0.0,-0.002098,1,2026-08-08T05:27:55+00:00
2026-06,AIGC,AI,测试开发工程师,2,0,0.0,57,2,0.035088,2026-02,2024-12,18,0,0,5,11,0.0,-0.001276,1,2026-08-08T05:27:55+00:00
2026-07,AIGC,AI,测试开发工程师,2,0,0.0,59,2,0.033898,2026-02,2024-12,19,0,0,5,11,0.0,-0.00119,1,2026-08-08T05:27:55+00:00
2025-07,AIGC,AI,解决方案工程师,3,2,0.666667,27,2,0.074074,2025-07,2024-12,7,0,1,5,8,0.666667,0.074074,1,2026-08-08T05:27:55+00:00
2025-09,AIGC,AI,解决方案工程师,2,1,0.5,29,3,0.103448,2025-07,2024-12,9,0,0,6,9,-0.166667,0.029374,1,2026-08-08T05:27:55+00:00
2025-10,AIGC,AI,解决方案工程师,2,1,0.5,31,4,0.129032,2025-07,2024-12,10,0,0,5,9,0.0,0.025584,1,2026-08-08T05:27:55+00:00
2025-11,AIGC,AI,解决方案工程师,2,1,0.5,33,5,0.151515,2025-07,2024-12,11,0,0,5,9,0.0,0.022483,1,2026-08-08T05:27:55+00:00
2025-12,AIGC,AI,解决方案工程师,2,1,0.5,35,6,0.171429,2025-07,2024-12,12,0,0,6,9,0.0,0.019914,1,2026-08-08T05:27:55+00:00
2026-01,AIGC,AI,解决方案工程师,2,1,0.5,37,7,0.189189,2025-07,2024-12,13,0,0,6,9,0.0,0.01776,1,2026-08-08T05:27:55+00:00
2026-02,AIGC,AI,解决方案工程师,2,1,0.5,39,8,0.205128,2025-07,2024-12,14,0,0,7,11,0.0,0.015939,1,2026-08-08T05:27:55+00:00
2026-03,AIGC,AI,解决方案工程师,1,1,1.0,40,9,0.225,2025-07,2024-12,15,0,0,6,11,0.5,0.019872,1,2026-08-08T05:27:55+00:00
2026-04,AIGC,AI,解决方案工程师,1,1,1.0,41,10,0.243902,2025-07,2024-12,16,0,0,5,11,0.0,0.018902,1,2026-08-08T05:27:55+00:00
2026-05,AIGC,AI,解决方案工程师,1,1,1.0,42,11,0.261905,2025-07,2024-12,17,0,0,6,11,0.0,0.018003,1,2026-08-08T05:27:55+00:00
2026-06,AIGC,AI,解决方案工程师,1,1,1.0,43,12,0.27907,2025-07,2024-12,18,0,0,5,11,0.0,0.017165,1,2026-08-08T05:27:55+00:00
2026-07,AIGC,AI,解决方案工程师,2,1,0.5,45,13,0.288889,2025-07,2024-12,19,0,0,5,11,-0.5,0.009819,1,2026-08-08T05:27:55+00:00
2024-12,AIGC,AI,计算机视觉算法工程师,2,1,0.5,2,1,0.5,2024-12,2024-12,0,1,1,3,3,0.5,0.5,1,2026-08-08T05:27:55+00:00
2025-01,AIGC,AI,计算机视觉算法工程师,2,1,0.5,4,2,0.5,2024-12,2024-12,1,1,0,4,4,0.0,0.0,1,2026-08-08T05:27:55+00:00
2025-02,AIGC,AI,计算机视觉算法工程师,2,1,0.5,6,3,0.5,2024-12,2024-12,2,1,0,4,5,0.0,0.0,1,2026-08-08T05:27:55+00:00
2025-03,AIGC,AI,计算机视觉算法工程师,2,1,0.5,8,4,0.5,2024-12,2024-12,3,1,0,4,5,0.0,0.0,1,2026-08-08T05:27:55+00:00
2025-04,AIGC,AI,计算机视觉算法工程师,1,1,1.0,9,5,0.555556,2024-12,2024-12,4,1,0,3,5,0.5,0.055556,1,2026-08-08T05:27:55+00:00
2025-05,AIGC,AI,计算机视觉算法工程师,1,1,1.0,10,6,0.6,2024-12,2024-12,5,1,0,6,7,0.0,0.044444,1,2026-08-08T05:27:55+00:00
2025-06,AIGC,AI,计算机视觉算法工程师,1,1,1.0,11,7,0.636364,2024-12,2024-12,6,1,0,5,7,0.0,0.036364,1,2026-08-08T05:27:55+00:00
2025-07,AIGC,AI,计算机视觉算法工程师,2,1,0.5,13,8,0.615385,2024-12,2024-12,7,1,0,5,8,-0.5,-0.020979,1,2026-08-08T05:27:55+00:00
2025-08,AIGC,AI,计算机视觉算法工程师,2,1,0.5,15,9,0.6,2024-12,2024-12,8,1,0,5,9,0.0,-0.015385,1,2026-08-08T05:27:55+00:00
2025-09,AIGC,AI,计算机视觉算法工程师,2,1,0.5,17,10,0.588235,2024-12,2024-12,9,1,0,6,9,0.0,-0.011765,1,2026-08-08T05:27:55+00:00
2025-10,AIGC,AI,计算机视觉算法工程师,2,1,0.5,19,11,0.578947,2024-12,2024-12,10,1,0,5,9,0.0,-0.009288,1,2026-08-08T05:27:55+00:00
2025-11,AIGC,AI,计算机视觉算法工程师,1,1,1.0,20,12,0.6,2024-12,2024-12,11,1,0,5,9,0.5,0.021053,1,2026-08-08T05:27:55+00:00
2025-12,AIGC,AI,计算机视觉算法工程师,1,1,1.0,21,13,0.619048,2024-12,2024-12,12,1,0,6,9,0.0,0.019048,1,2026-08-08T05:27:55+00:00
2026-01,AIGC,AI,计算机视觉算法工程师,1,1,1.0,22,14,0.636364,2024-12,2024-12,13,1,0,6,9,0.0,0.017316,1,2026-08-08T05:27:55+00:00
2026-03,AIGC,AI,计算机视觉算法工程师,2,1,0.5,24,15,0.625,2024-12,2024-12,15,1,0,6,11,-0.5,-0.011364,1,2026-08-08T05:27:55+00:00
2026-04,AIGC,AI,计算机视觉算法工程师,2,1,0.5,26,16,0.615385,2024-12,2024-12,16,1,0,5,11,0.0,-0.009615,1,2026-08-08T05:27:55+00:00
2026-05,AIGC,AI,计算机视觉算法工程师,1,1,1.0,27,17,0.62963,2024-12,2024-12,17,1,0,6,11,0.5,0.014245,1,2026-08-08T05:27:55+00:00
2026-06,AIGC,AI,计算机视觉算法工程师,1,1,1.0,28,18,0.642857,2024-12,2024-12,18,1,0,5,11,0.0,0.013227,1,2026-08-08T05:27:55+00:00
2026-07,AIGC,AI,计算机视觉算法工程师,1,1,1.0,29,19,0.655172,2024-12,2024-12,19,1,0,5,11,0.0,0.012315,1,2026-08-08T05:27:55+00:00
2025-05,AIGC,AI,音视频工程师,1,1,1.0,4,1,0.25,2025-05,2024-12,5,0,1,6,7,1.0,0.25,1,2026-08-08T05:27:55+00:00
2025-06,AIGC,AI,音视频工程师,1,1,1.0,5,2,0.4,2025-05,2024-12,6,0,0,5,7,0.0,0.15,1,2026-08-08T05:27:55+00:00
2025-09,AIGC,AI,音视频工程师,1,1,1.0,6,3,0.5,2025-05,2024-12,9,0,0,6,9,0.0,0.1,1,2026-08-08T05:27:55+00:00
2025-12,AIGC,AI,音视频工程师,2,2,1.0,8,5,0.625,2025-05,2024-12,12,0,0,6,9,0.0,0.125,1,2026-08-08T05:27:55+00:00
2026-01,AIGC,AI,音视频工程师,2,2,1.0,10,7,0.7,2025-05,2024-12,13,0,0,6,9,0.0,0.075,1,2026-08-08T05:27:55+00:00
2026-02,AIGC,AI,音视频工程师,2,2,1.0,12,9,0.75,2025-05,2024-12,14,0,0,7,11,0.0,0.05,1,2026-08-08T05:27:55+00:00
2026-04,AIGC,AI,音视频工程师,2,2,1.0,14,11,0.785714,2025-05,2024-12,16,0,0,5,11,0.0,0.035714,1,2026-08-08T05:27:55+00:00
2026-05,AIGC,AI,音视频工程师,2,1,0.5,16,12,0.75,2025-05,2024-12,17,0,0,6,11,-0.5,-0.035714,1,2026-08-08T05:27:55+00:00
2025-11,AIops,系统与运维,C++开发工程师,3,1,0.333333,23,1,0.043478,2025-11,2024-12,11,0,1,2,4,0.333333,0.043478,1,2026-08-08T05:27:55+00:00
2025-12,AIops,系统与运维,C++开发工程师,3,0,0.0,26,1,0.038462,2025-11,2024-12,12,0,0,2,4,-0.333333,-0.005016,1,2026-08-08T05:27:55+00:00
2026-01,AIops,系统与运维,C++开发工程师,2,0,0.0,28,1,0.035714,2025-11,2024-12,13,0,0,1,4,0.0,-0.002748,1,2026-08-08T05:27:55+00:00
2026-02,AIops,系统与运维,C++开发工程师,2,0,0.0,30,1,0.033333,2025-11,2024-12,14,0,0,1,4,0.0,-0.002381,1,2026-08-08T05:27:55+00:00
