skill,kg_display_skill,skill_type,confirmation_min_job_mentions,first_seen_month,first_seen_standard_jobs,first_seen_job_count,is_left_censored,migration_confidence,migration_interpretation,latest_seen_month,latest_covered_job_count,cumulative_covered_job_count,spread_job_count,spread_standard_jobs,all_standard_jobs,confirmed_first_seen_month,confirmed_first_seen_standard_jobs,confirmed_first_seen_job_count,confirmed_cumulative_covered_job_count,confirmed_spread_job_count,confirmed_spread_standard_jobs,confirmed_migration_path,peak_monthly_covered_job_count,peak_monthly_covered_job_month,total_skill_mentions,migration_path,updated_at
数据处理,数据与统计,,2,2023-10,政府数据治理与统计分析岗; 政府通用计算机技术岗,2,1,medium,技能在观测起点已出现，首现岗位是观测窗口内首批岗位，不等同于真实起源岗位,2025-10,1,2,0,,政府数据治理与统计分析岗; 政府通用计算机技术岗,2023-10,政府数据治理与统计分析岗,1,2,1,政府通用计算机技术岗,2023-10: 政府数据治理与统计分析岗 -> 2024-10: 政府通用计算机技术岗,2,2024-10,1110,2023-10: 政府数据治理与统计分析岗; 政府通用计算机技术岗,2026-08-06T03:30:35+00:00
数据安全,网络与安全,,2,2023-10,政府网络与数据安全岗; 政府网络与通信运维岗,2,1,medium,技能在观测起点已出现，首现岗位是观测窗口内首批岗位，不等同于真实起源岗位,2025-10,3,5,3,政府通用计算机技术岗; 政府数据治理与统计分析岗; 政府警务信息技术保障岗,政府网络与数据安全岗; 政府网络与通信运维岗; 政府通用计算机技术岗; 政府数据治理与统计分析岗; 政府警务信息技术保障岗,2023-10,政府网络与数据安全岗,1,2,1,政府警务信息技术保障岗,2023-10: 政府网络与数据安全岗 -> 2025-10: 政府警务信息技术保障岗,3,2025-10,65,2023-10: 政府网络与数据安全岗; 政府网络与通信运维岗 -> 2024-10: 政府通用计算机技术岗 -> 2025-10: 政府数据治理与统计分析岗; 政府警务信息技术保障岗,2026-08-06T03:30:35+00:00
数据治理,数据与统计,,2,2023-10,政府数据治理与统计分析岗,1,1,medium,技能在观测起点已出现，首现岗位是观测窗口内首批岗位，不等同于真实起源岗位,2024-10,1,1,0,,政府数据治理与统计分析岗,2023-10,政府数据治理与统计分析岗,1,1,0,,2023-10: 政府数据治理与统计分析岗,1,2024-10,4,2023-10: 政府数据治理与统计分析岗,2026-08-06T03:30:35+00:00
数据科学与大数据技术,数据与统计,,2,2023-10,政府信息化建设与管理岗; 政府信息系统运维岗; 政府数字监管与科技执法岗; 政府数据治理与统计分析岗; 政府电子数据取证与情报技术岗; 政府网络与数据安全岗; 政府网络与通信运维岗; 政府警务信息技术保障岗; 政府通用计算机技术岗,9,1,low,观测起点已覆盖多个岗位，只能说明观测期内的覆盖和扩散，不能推断真实起源岗位,2025-10,12,14,5,政府人工智能专利审查与技术监管岗; 政府智能化与自动化技术岗; 政府通信电子技术岗; 政府信息化审计岗; 政府信息系统开发岗,政府信息化建设与管理岗; 政府信息系统运维岗; 政府数字监管与科技执法岗; 政府数据治理与统计分析岗; 政府电子数据取证与情报技术岗; 政府网络与数据安全岗; 政府网络与通信运维岗; 政府警务信息技术保障岗; 政府通用计算机技术岗; 政府人工智能专利审查与技术监管岗; 政府智能化与自动化技术岗; 政府通信电子技术岗; 政府信息化审计岗; 政府信息系统开发岗,2023-10,政府信息化建设与管理岗; 政府信息系统运维岗; 政府数字监管与科技执法岗; 政府数据治理与统计分析岗; 政府网络与数据安全岗; 政府警务信息技术保障岗; 政府通用计算机技术岗,7,11,4,政府智能化与自动化技术岗; 政府电子数据取证与情报技术岗; 政府网络与通信运维岗; 政府通信电子技术岗,2023-10: 政府信息化建设与管理岗; 政府信息系统运维岗; 政府数字监管与科技执法岗; 政府数据治理与统计分析岗; 政府网络与数据安全岗; 政府警务信息技术保障岗; 政府通用计算机技术岗 -> 2024-10: 政府智能化与自动化技术岗; 政府电子数据取证与情报技术岗; 政府网络与通信运维岗; 政府通信电子技术岗,12,2025-10,635,2023-10: 政府信息化建设与管理岗; 政府信息系统运维岗; 政府数字监管与科技执法岗; 政府数据治理与统计分析岗; 政府电子数据取证与情报技术岗; 政府网络与数据安全岗; 政府网络与通信运维岗; 政府警务信息技术保障岗; 政府通用计算机技术岗 -> 2024-10: 政府人工智能专利审查与技术监管岗; 政府智能化与自动化技术岗; 政府通信电子技术岗 -> 2025-10: 政府信息化审计岗; 政府信息系统开发岗,2026-08-06T03:30:35+00:00
数据管理,数据与统计,,2,2023-10,政府信息化建设与管理岗; 政府数字监管与科技执法岗; 政府数据治理与统计分析岗; 政府警务信息技术保障岗,4,1,medium,技能在观测起点已出现，首现岗位是观测窗口内首批岗位，不等同于真实起源岗位,2025-10,5,9,5,政府信息系统开发岗; 政府智能化与自动化技术岗; 政府网络与通信运维岗; 政府通用计算机技术岗; 政府信息系统运维岗,政府信息化建设与管理岗; 政府数字监管与科技执法岗; 政府数据治理与统计分析岗; 政府警务信息技术保障岗; 政府信息系统开发岗; 政府智能化与自动化技术岗; 政府网络与通信运维岗; 政府通用计算机技术岗; 政府信息系统运维岗,2023-10,政府信息化建设与管理岗; 政府数字监管与科技执法岗; 政府数据治理与统计分析岗,3,7,4,政府网络与通信运维岗; 政府信息系统运维岗; 政府警务信息技术保障岗; 政府通用计算机技术岗,2023-10: 政府信息化建设与管理岗; 政府数字监管与科技执法岗; 政府数据治理与统计分析岗 -> 2024-10: 政府网络与通信运维岗 -> 2025-10: 政府信息系统运维岗; 政府警务信息技术保障岗; 政府通用计算机技术岗,6,2024-10,170,2023-10: 政府信息化建设与管理岗; 政府数字监管与科技执法岗; 政府数据治理与统计分析岗; 政府警务信息技术保障岗 -> 2024-10: 政府信息系统开发岗; 政府智能化与自动化技术岗; 政府网络与通信运维岗; 政府通用计算机技术岗 -> 2025-10: 政府信息系统运维岗,2026-08-06T03:30:35+00:00
数据计算及应用,数据与统计,,2,2023-10,政府信息化建设与管理岗; 政府数字监管与科技执法岗; 政府数据治理与统计分析岗; 政府通用计算机技术岗,4,1,medium,技能在观测起点已出现，首现岗位是观测窗口内首批岗位，不等同于真实起源岗位,2025-10,4,5,1,政府电子数据取证与情报技术岗,政府信息化建设与管理岗; 政府数字监管与科技执法岗; 政府数据治理与统计分析岗; 政府通用计算机技术岗; 政府电子数据取证与情报技术岗,2023-10,政府信息化建设与管理岗; 政府数字监管与科技执法岗; 政府数据治理与统计分析岗; 政府通用计算机技术岗,4,5,1,政府电子数据取证与情报技术岗,2023-10: 政府信息化建设与管理岗; 政府数字监管与科技执法岗; 政府数据治理与统计分析岗; 政府通用计算机技术岗 -> 2025-10: 政府电子数据取证与情报技术岗,4,2025-10,194,2023-10: 政府信息化建设与管理岗; 政府数字监管与科技执法岗; 政府数据治理与统计分析岗; 政府通用计算机技术岗 -> 2025-10: 政府电子数据取证与情报技术岗,2026-08-06T03:30:35+00:00
物联网工程,智能化技术,,2,2023-10,政府信息化建设与管理岗; 政府信息系统运维岗; 政府数字监管与科技执法岗; 政府数据治理与统计分析岗; 政府网络与数据安全岗; 政府警务信息技术保障岗; 政府通用计算机技术岗,7,1,low,观测起点已覆盖多个岗位，只能说明观测期内的覆盖和扩散，不能推断真实起源岗位,2025-10,4,10,3,政府人工智能专利审查与技术监管岗; 政府智能化与自动化技术岗; 政府通信电子技术岗,政府信息化建设与管理岗; 政府信息系统运维岗; 政府数字监管与科技执法岗; 政府数据治理与统计分析岗; 政府网络与数据安全岗; 政府警务信息技术保障岗; 政府通用计算机技术岗; 政府人工智能专利审查与技术监管岗; 政府智能化与自动化技术岗; 政府通信电子技术岗,2023-10,政府信息化建设与管理岗; 政府信息系统运维岗; 政府数字监管与科技执法岗; 政府数据治理与统计分析岗; 政府网络与数据安全岗; 政府通用计算机技术岗,6,7,1,政府智能化与自动化技术岗,2023-10: 政府信息化建设与管理岗; 政府信息系统运维岗; 政府数字监管与科技执法岗; 政府数据治理与统计分析岗; 政府网络与数据安全岗; 政府通用计算机技术岗 -> 2025-10: 政府智能化与自动化技术岗,8,2024-10,203,2023-10: 政府信息化建设与管理岗; 政府信息系统运维岗; 政府数字监管与科技执法岗; 政府数据治理与统计分析岗; 政府网络与数据安全岗; 政府警务信息技术保障岗; 政府通用计算机技术岗 -> 2024-10: 政府人工智能专利审查与技术监管岗; 政府智能化与自动化技术岗; 政府通信电子技术岗,2026-08-06T03:30:35+00:00
电子信息,通信与电子技术,,2,2023-10,政府信息化建设与管理岗; 政府信息系统开发岗; 政府信息系统运维岗; 政府数字监管与科技执法岗; 政府数据治理与统计分析岗; 政府电子数据取证与情报技术岗; 政府网络与数据安全岗; 政府网络与通信运维岗; 政府警务信息技术保障岗; 政府通信电子技术岗; 政府通用计算机技术岗,11,1,low,观测起点已覆盖多个岗位，只能说明观测期内的覆盖和扩散，不能推断真实起源岗位,2025-10,13,13,2,政府智能化与自动化技术岗; 政府信息化审计岗,政府信息化建设与管理岗; 政府信息系统开发岗; 政府信息系统运维岗; 政府数字监管与科技执法岗; 政府数据治理与统计分析岗; 政府电子数据取证与情报技术岗; 政府网络与数据安全岗; 政府网络与通信运维岗; 政府警务信息技术保障岗; 政府通信电子技术岗; 政府通用计算机技术岗; 政府智能化与自动化技术岗; 政府信息化审计岗,2023-10,政府信息化建设与管理岗; 政府信息系统开发岗; 政府信息系统运维岗; 政府数字监管与科技执法岗; 政府数据治理与统计分析岗; 政府电子数据取证与情报技术岗; 政府网络与数据安全岗; 政府网络与通信运维岗; 政府警务信息技术保障岗; 政府通信电子技术岗; 政府通用计算机技术岗,11,12,1,政府智能化与自动化技术岗,2023-10: 政府信息化建设与管理岗; 政府信息系统开发岗; 政府信息系统运维岗; 政府数字监管与科技执法岗; 政府数据治理与统计分析岗; 政府电子数据取证与情报技术岗; 政府网络与数据安全岗; 政府网络与通信运维岗; 政府警务信息技术保障岗; 政府通信电子技术岗; 政府通用计算机技术岗 -> 2024-10: 政府智能化与自动化技术岗,13,2025-10,807,2023-10: 政府信息化建设与管理岗; 政府信息系统开发岗; 政府信息系统运维岗; 政府数字监管与科技执法岗; 政府数据治理与统计分析岗; 政府电子数据取证与情报技术岗; 政府网络与数据安全岗; 政府网络与通信运维岗; 政府警务信息技术保障岗; 政府通信电子技术岗; 政府通用计算机技术岗 -> 2024-10: 政府智能化与自动化技术岗 -> 2025-10: 政府信息化审计岗,2026-08-06T03:30:35+00:00
电子信息工程,通信与电子技术,,2,2023-10,政府信息化建设与管理岗; 政府信息系统运维岗; 政府数字监管与科技执法岗; 政府网络与通信运维岗; 政府警务信息技术保障岗; 政府通用计算机技术岗,6,1,low,观测起点已覆盖多个岗位，只能说明观测期内的覆盖和扩散，不能推断真实起源岗位,2025-10,6,11,5,政府信息系统开发岗; 政府数据治理与统计分析岗; 政府智能化与自动化技术岗; 政府网络与数据安全岗; 政府通信电子技术岗,政府信息化建设与管理岗; 政府信息系统运维岗; 政府数字监管与科技执法岗; 政府网络与通信运维岗; 政府警务信息技术保障岗; 政府通用计算机技术岗; 政府信息系统开发岗; 政府数据治理与统计分析岗; 政府智能化与自动化技术岗; 政府网络与数据安全岗; 政府通信电子技术岗,2023-10,政府信息化建设与管理岗; 政府信息系统运维岗; 政府数字监管与科技执法岗; 政府网络与通信运维岗; 政府通用计算机技术岗,5,10,5,政府数据治理与统计分析岗; 政府警务信息技术保障岗; 政府通信电子技术岗; 政府信息系统开发岗; 政府智能化与自动化技术岗,2023-10: 政府信息化建设与管理岗; 政府信息系统运维岗; 政府数字监管与科技执法岗; 政府网络与通信运维岗; 政府通用计算机技术岗 -> 2024-10: 政府数据治理与统计分析岗; 政府警务信息技术保障岗; 政府通信电子技术岗 -> 2025-10: 政府信息系统开发岗; 政府智能化与自动化技术岗,9,2024-10,66,2023-10: 政府信息化建设与管理岗; 政府信息系统运维岗; 政府数字监管与科技执法岗; 政府网络与通信运维岗; 政府警务信息技术保障岗; 政府通用计算机技术岗 -> 2024-10: 政府信息系统开发岗; 政府数据治理与统计分析岗; 政府智能化与自动化技术岗; 政府网络与数据安全岗; 政府通信电子技术岗,2026-08-06T03:30:35+00:00
系统运维,网络与基础设施,,2,2023-10,政府信息系统运维岗; 政府数据治理与统计分析岗; 政府网络与数据安全岗; 政府网络与通信运维岗; 政府通用计算机技术岗,5,1,low,观测起点已覆盖多个岗位，只能说明观测期内的覆盖和扩散，不能推断真实起源岗位,2025-10,4,8,3,政府电子数据取证与情报技术岗; 政府警务信息技术保障岗; 政府信息系统开发岗,政府信息系统运维岗; 政府数据治理与统计分析岗; 政府网络与数据安全岗; 政府网络与通信运维岗; 政府通用计算机技术岗; 政府电子数据取证与情报技术岗; 政府警务信息技术保障岗; 政府信息系统开发岗,2023-10,政府信息系统运维岗; 政府数据治理与统计分析岗,2,6,4,政府网络与数据安全岗; 政府网络与通信运维岗; 政府警务信息技术保障岗; 政府通用计算机技术岗,2023-10: 政府信息系统运维岗; 政府数据治理与统计分析岗 -> 2024-10: 政府网络与数据安全岗; 政府网络与通信运维岗; 政府警务信息技术保障岗 -> 2025-10: 政府通用计算机技术岗,6,2024-10,691,2023-10: 政府信息系统运维岗; 政府数据治理与统计分析岗; 政府网络与数据安全岗; 政府网络与通信运维岗; 政府通用计算机技术岗 -> 2024-10: 政府电子数据取证与情报技术岗; 政府警务信息技术保障岗 -> 2025-10: 政府信息系统开发岗,2026-08-06T03:30:35+00:00
统计分析,数据与统计,,2,2023-10,政府数据治理与统计分析岗,1,1,medium,技能在观测起点已出现，首现岗位是观测窗口内首批岗位，不等同于真实起源岗位,2025-10,3,3,2,政府数字监管与科技执法岗; 政府信息化建设与管理岗,政府数据治理与统计分析岗; 政府数字监管与科技执法岗; 政府信息化建设与管理岗,2023-10,政府数据治理与统计分析岗,1,2,1,政府数字监管与科技执法岗,2023-10: 政府数据治理与统计分析岗 -> 2024-10: 政府数字监管与科技执法岗,3,2025-10,1186,2023-10: 政府数据治理与统计分析岗 -> 2024-10: 政府数字监管与科技执法岗 -> 2025-10: 政府信息化建设与管理岗,2026-08-06T03:30:35+00:00
