"job_id","month","job_title","government_agency","government_department","assigned_standard_category","assigned_standard_job","assignment_status","assignment_score","assignment_margin","matched_keywords_json","candidate_scores_json","assignment_reason"
"GOV-2024-107114-300110004001","2023-10","一级主任科员及以下","江西省通信管理局","信息通信发展处","网络与基础设施","政府网络与通信运维岗","assigned","5","4","[{""field"": ""job_responsibility"", ""keywords"": [""网络建设""], ""weight"": 5}]","[{""standard_job"": ""政府网络与通信运维岗"", ""score"": 5, ""evidence"": [{""field"": ""job_responsibility"", ""keywords"": [""网络建设""], ""weight"": 5}]}, {""standard_job"": ""政府通信电子技术岗"", ""score"": 1, ""evidence"": [{""field"": ""job_requirement"", ""keywords"": [""通信工程""], ""weight"": 1}]}, {""standard_job"": ""政府通用计算机技术岗"", ""score"": 1, ""evidence"": [{""field"": ""job_requirement"", ""keywords"": [""计算机科学与技术""], ""weight"": 1}]}, {""standard_job"": ""政府电子数据取证与情报技术岗"", ""score"": 0, ""evidence"": []}, {""standard_job"": ""政府信息化审计岗"", ""score"": 0, ""evidence"": []}]","seed taxonomy keyword rule"
"GOV-2024-107119-300110002001","2023-10","一级主任科员及以下","广东省通信管理局","信息通信管理处","通信与电子技术","政府通信电子技术岗","assigned","1","0","[{""field"": ""job_requirement"", ""keywords"": [""通信工程""], ""weight"": 1}]","[{""standard_job"": ""政府通信电子技术岗"", ""score"": 1, ""evidence"": [{""field"": ""job_requirement"", ""keywords"": [""通信工程""], ""weight"": 1}]}, {""standard_job"": ""政府通用计算机技术岗"", ""score"": 1, ""evidence"": [{""field"": ""job_requirement"", ""keywords"": [""计算机科学与技术""], ""weight"": 1}]}, {""standard_job"": ""政府电子数据取证与情报技术岗"", ""score"": 0, ""evidence"": []}, {""standard_job"": ""政府信息化审计岗"", ""score"": 0, ""evidence"": []}, {""standard_job"": ""政府警务信息技术保障岗"", ""score"": 0, ""evidence"": []}]","llm_audited_approved"
"GOV-2024-107120-300110004001","2023-10","一级主任科员及以下","广西壮族自治区通信管理局","信息通信管理处","通信与电子技术","政府通信电子技术岗","assigned","","","[]","[]","llm_audited_assignment"
"GOV-2024-107126-300110004001","2023-10","一级主任科员及以下","西藏自治区通信管理局","信息通信管理处","通信与电子技术","政府通信电子技术岗","assigned","","","[]","[]","llm_audited_assignment"
"GOV-2024-109000-200130102002","2023-10","十处一级警长及以下","公安部","机关司局二","政法信息技术","政府电子数据取证与情报技术岗","assigned","","","[]","[]","llm_audited_assignment"
"GOV-2024-109000-200130105001","2023-10","六处一级主任科员及以下","公安部","机关司局五","政务信息化","政府信息化建设与管理岗","assigned","","","[]","[]","llm_audited_assignment"
"GOV-2024-109000-200130110002","2023-10","二处一级警长及以下","公安部","机关司局十","网络与安全","政府网络与数据安全岗","assigned","6","4","[{""field"": ""job_responsibility"", ""keywords"": [""网络安全""], ""weight"": 5}, {""field"": ""job_requirement"", ""keywords"": [""网络空间安全""], ""weight"": 1}]","[{""standard_job"": ""政府网络与数据安全岗"", ""score"": 6, ""evidence"": [{""field"": ""job_responsibility"", ""keywords"": [""网络安全""], ""weight"": 5}, {""field"": ""job_requirement"", ""keywords"": [""网络空间安全""], ""weight"": 1}]}, {""standard_job"": ""政府通用计算机技术岗"", ""score"": 2, ""evidence"": [{""field"": ""job_requirement"", ""keywords"": [""计算机科学与技术"", ""软件工程""], ""weight"": 1}]}, {""standard_job"": ""政府电子数据取证与情报技术岗"", ""score"": 0, ""evidence"": []}, {""standard_job"": ""政府信息化审计岗"", ""score"": 0, ""evidence"": []}, {""standard_job"": ""政府警务信息技术保障岗"", ""score"": 0, ""evidence"": []}]","seed taxonomy keyword rule"
"GOV-2024-109000-200130111003","2023-10","十三处一级警长及以下","公安部","机关司局十一","政务信息化","政府信息化建设与管理岗","assigned","","","[]","[]","llm_audited_assignment"
"GOV-2024-109000-200130115010","2023-10","十二处一级警长及以下","公安部","机关司局十五","数据与统计","政府数据治理与统计分析岗","assigned","5","3","[{""field"": ""job_responsibility"", ""keywords"": [""数据分析""], ""weight"": 5}]","[{""standard_job"": ""政府数据治理与统计分析岗"", ""score"": 5, ""evidence"": [{""field"": ""job_responsibility"", ""keywords"": [""数据分析""], ""weight"": 5}]}, {""standard_job"": ""政府通用计算机技术岗"", ""score"": 2, ""evidence"": [{""field"": ""job_requirement"", ""keywords"": [""计算机科学与技术"", ""软件工程""], ""weight"": 1}]}, {""standard_job"": ""政府电子数据取证与情报技术岗"", ""score"": 0, ""evidence"": []}, {""standard_job"": ""政府信息化审计岗"", ""score"": 0, ""evidence"": []}, {""standard_job"": ""政府警务信息技术保障岗"", ""score"": 0, ""evidence"": []}]","seed taxonomy keyword rule"
"GOV-2024-109000-200130127003","2023-10","二处警务技术一级主管及以下","公安部","机关司局二十七","网络与安全","政府网络与数据安全岗","assigned","11","10","[{""field"": ""job_responsibility"", ""keywords"": [""数据安全"", ""安全管理""], ""weight"": 5}, {""field"": ""job_requirement"", ""keywords"": [""网络空间安全""], ""weight"": 1}]","[{""standard_job"": ""政府网络与数据安全岗"", ""score"": 11, ""evidence"": [{""field"": ""job_responsibility"", ""keywords"": [""数据安全"", ""安全管理""], ""weight"": 5}, {""field"": ""job_requirement"", ""keywords"": [""网络空间安全""], ""weight"": 1}]}, {""standard_job"": ""政府通信电子技术岗"", ""score"": 1, ""evidence"": [{""field"": ""job_requirement"", ""keywords"": [""通信工程""], ""weight"": 1}]}, {""standard_job"": ""政府通用计算机技术岗"", ""score"": 1, ""evidence"": [{""field"": ""job_requirement"", ""keywords"": [""计算机科学与技术""], ""weight"": 1}]}, {""standard_job"": ""政府电子数据取证与情报技术岗"", ""score"": 0, ""evidence"": []}, {""standard_job"": ""政府信息化审计岗"", ""score"": 0, ""evidence"": []}]","seed taxonomy keyword rule"
"GOV-2024-109000-200130127006","2023-10","五处警务技术一级主管及以下","公安部","机关司局二十七","智能化技术","政府智能化与自动化技术岗","assigned","5","0","[{""field"": ""job_responsibility"", ""keywords"": [""智能化""], ""weight"": 5}]","[{""standard_job"": ""政府智能化与自动化技术岗"", ""score"": 5, ""evidence"": [{""field"": ""job_responsibility"", ""keywords"": [""智能化""], ""weight"": 5}]}, {""standard_job"": ""政府数据治理与统计分析岗"", ""score"": 5, ""evidence"": [{""field"": ""job_responsibility"", ""keywords"": [""大数据""], ""weight"": 5}]}, {""standard_job"": ""政府信息化建设与管理岗"", ""score"": 5, ""evidence"": [{""field"": ""job_responsibility"", ""keywords"": [""信息化建设""], ""weight"": 5}]}, {""standard_job"": ""政府通用计算机技术岗"", ""score"": 2, ""evidence"": [{""field"": ""job_requirement"", ""keywords"": [""计算机科学与技术"", ""软件工程""], ""weight"": 1}]}, {""standard_job"": ""政府通信电子技术岗"", ""score"": 1, ""evidence"": [{""field"": ""job_requirement"", ""keywords"": [""通信工程""], ""weight"": 1}]}]","llm_audited_approved"
"GOV-2024-109000-400130208007","2023-10","七处警务技术一级主管及以下","公安部","直属司局八","网络与安全","政府网络与数据安全岗","assigned","6","4","[{""field"": ""job_responsibility"", ""keywords"": [""安全管理""], ""weight"": 5}, {""field"": ""job_requirement"", ""keywords"": [""网络空间安全""], ""weight"": 1}]","[{""standard_job"": ""政府网络与数据安全岗"", ""score"": 6, ""evidence"": [{""field"": ""job_responsibility"", ""keywords"": [""安全管理""], ""weight"": 5}, {""field"": ""job_requirement"", ""keywords"": [""网络空间安全""], ""weight"": 1}]}, {""standard_job"": ""政府通信电子技术岗"", ""score"": 2, ""evidence"": [{""field"": ""job_requirement"", ""keywords"": [""通信工程"", ""电子信息""], ""weight"": 1}]}, {""standard_job"": ""政府通用计算机技术岗"", ""score"": 2, ""evidence"": [{""field"": ""job_requirement"", ""keywords"": [""计算机科学与技术"", ""软件工程""], ""weight"": 1}]}, {""standard_job"": ""政府电子数据取证与情报技术岗"", ""score"": 0, ""evidence"": []}, {""standard_job"": ""政府信息化审计岗"", ""score"": 0, ""evidence"": []}]","seed taxonomy keyword rule"
"GOV-2024-109000-400130208008","2023-10","二十处警务技术一级主管及以下","公安部","直属司局八","数据与统计","政府数据治理与统计分析岗","assigned","5","3","[{""field"": ""job_responsibility"", ""keywords"": [""数据分析""], ""weight"": 5}]","[{""standard_job"": ""政府数据治理与统计分析岗"", ""score"": 5, ""evidence"": [{""field"": ""job_responsibility"", ""keywords"": [""数据分析""], ""weight"": 5}]}, {""standard_job"": ""政府通信电子技术岗"", ""score"": 2, ""evidence"": [{""field"": ""job_requirement"", ""keywords"": [""通信工程"", ""电子信息""], ""weight"": 1}]}, {""standard_job"": ""政府通用计算机技术岗"", ""score"": 2, ""evidence"": [{""field"": ""job_requirement"", ""keywords"": [""计算机科学与技术"", ""软件工程""], ""weight"": 1}]}, {""standard_job"": ""政府网络与数据安全岗"", ""score"": 1, ""evidence"": [{""field"": ""job_requirement"", ""keywords"": [""网络空间安全""], ""weight"": 1}]}, {""standard_job"": ""政府电子数据取证与情报技术岗"", ""score"": 0, ""evidence"": []}]","seed taxonomy keyword rule"
"GOV-2024-109000-400130208011","2023-10","三十一处一级主任科员及以下","公安部","直属司局八","政务信息化","政府信息化审计岗","assigned","5","4","[{""field"": ""job_responsibility"", ""keywords"": [""信息化审计""], ""weight"": 5}]","[{""standard_job"": ""政府信息化审计岗"", ""score"": 5, ""evidence"": [{""field"": ""job_responsibility"", ""keywords"": [""信息化审计""], ""weight"": 5}]}, {""standard_job"": ""政府通用计算机技术岗"", ""score"": 1, ""evidence"": [{""field"": ""job_requirement"", ""keywords"": [""计算机科学与技术""], ""weight"": 1}]}, {""standard_job"": ""政府电子数据取证与情报技术岗"", ""score"": 0, ""evidence"": []}, {""standard_job"": ""政府警务信息技术保障岗"", ""score"": 0, ""evidence"": []}, {""standard_job"": ""政府网络与数据安全岗"", ""score"": 0, ""evidence"": []}]","seed taxonomy keyword rule"
"GOV-2024-109202-300130842011","2023-10","长春铁路公安处基层所队民警","沈阳铁路公安局","沈阳铁路公安局","网络与安全","政府网络与数据安全岗","assigned","10","8","[{""field"": ""job_responsibility"", ""keywords"": [""网络安全"", ""安全管理""], ""weight"": 5}]","[{""standard_job"": ""政府网络与数据安全岗"", ""score"": 10, ""evidence"": [{""field"": ""job_responsibility"", ""keywords"": [""网络安全"", ""安全管理""], ""weight"": 5}]}, {""standard_job"": ""政府通用计算机技术岗"", ""score"": 2, ""evidence"": [{""field"": ""job_requirement"", ""keywords"": [""计算机科学与技术"", ""软件工程""], ""weight"": 1}]}, {""standard_job"": ""政府电子数据取证与情报技术岗"", ""score"": 0, ""evidence"": []}, {""standard_job"": ""政府信息化审计岗"", ""score"": 0, ""evidence"": []}, {""standard_job"": ""政府警务信息技术保障岗"", ""score"": 0, ""evidence"": []}]","seed taxonomy keyword rule"
"GOV-2024-109202-300130842012","2023-10","长春铁路公安处基层所队民警","沈阳铁路公安局","沈阳铁路公安局","网络与安全","政府网络与数据安全岗","assigned","12","10","[{""field"": ""job_responsibility"", ""keywords"": [""网络安全"", ""安全管理""], ""weight"": 5}, {""field"": ""job_requirement"", ""keywords"": [""网络空间安全"", ""保密""], ""weight"": 1}]","[{""standard_job"": ""政府网络与数据安全岗"", ""score"": 12, ""evidence"": [{""field"": ""job_responsibility"", ""keywords"": [""网络安全"", ""安全管理""], ""weight"": 5}, {""field"": ""job_requirement"", ""keywords"": [""网络空间安全"", ""保密""], ""weight"": 1}]}, {""standard_job"": ""政府通用计算机技术岗"", ""score"": 2, ""evidence"": [{""field"": ""job_requirement"", ""keywords"": [""计算机科学与技术"", ""软件工程""], ""weight"": 1}]}, {""standard_job"": ""政府电子数据取证与情报技术岗"", ""score"": 0, ""evidence"": []}, {""standard_job"": ""政府信息化审计岗"", ""score"": 0, ""evidence"": []}, {""standard_job"": ""政府警务信息技术保障岗"", ""score"": 0, ""evidence"": []}]","seed taxonomy keyword rule"
"GOV-2024-109202-300130842013","2023-10","长春铁路公安处基层所队民警","沈阳铁路公安局","沈阳铁路公安局","政法信息技术","政府警务信息技术保障岗","assigned","5","4","[{""field"": ""job_responsibility"", ""keywords"": [""计算机维护""], ""weight"": 5}]","[{""standard_job"": ""政府警务信息技术保障岗"", ""score"": 5, ""evidence"": [{""field"": ""job_responsibility"", ""keywords"": [""计算机维护""], ""weight"": 5}]}, {""standard_job"": ""政府通用计算机技术岗"", ""score"": 1, ""evidence"": [{""field"": ""job_requirement"", ""keywords"": [""软件工程""], ""weight"": 1}]}, {""standard_job"": ""政府电子数据取证与情报技术岗"", ""score"": 0, ""evidence"": []}, {""standard_job"": ""政府信息化审计岗"", ""score"": 0, ""evidence"": []}, {""standard_job"": ""政府网络与数据安全岗"", ""score"": 0, ""evidence"": []}]","seed taxonomy keyword rule"
"GOV-2024-109202-300130842020","2023-10","延边铁路公安处基层所队民警","沈阳铁路公安局","沈阳铁路公安局","网络与安全","政府网络与数据安全岗","assigned","12","11","[{""field"": ""job_responsibility"", ""keywords"": [""网络安全"", ""安全管理""], ""weight"": 5}, {""field"": ""job_requirement"", ""keywords"": [""网络空间安全"", ""保密""], ""weight"": 1}]","[{""standard_job"": ""政府网络与数据安全岗"", ""score"": 12, ""evidence"": [{""field"": ""job_responsibility"", ""keywords"": [""网络安全"", ""安全管理""], ""weight"": 5}, {""field"": ""job_requirement"", ""keywords"": [""网络空间安全"", ""保密""], ""weight"": 1}]}, {""standard_job"": ""政府通用计算机技术岗"", ""score"": 1, ""evidence"": [{""field"": ""tags"", ""keywords"": [""computer_software""], ""weight"": 1}]}, {""standard_job"": ""政府电子数据取证与情报技术岗"", ""score"": 0, ""evidence"": []}, {""standard_job"": ""政府信息化审计岗"", ""score"": 0, ""evidence"": []}, {""standard_job"": ""政府警务信息技术保障岗"", ""score"": 0, ""evidence"": []}]","seed taxonomy keyword rule"
"GOV-2024-109202-300130842024","2023-10","延边铁路公安处基层所队民警","沈阳铁路公安局","沈阳铁路公安局","政法信息技术","政府警务信息技术保障岗","assigned","5","4","[{""field"": ""job_responsibility"", ""keywords"": [""计算机维护""], ""weight"": 5}]","[{""standard_job"": ""政府警务信息技术保障岗"", ""score"": 5, ""evidence"": [{""field"": ""job_responsibility"", ""keywords"": [""计算机维护""], ""weight"": 5}]}, {""standard_job"": ""政府网络与数据安全岗"", ""score"": 1, ""evidence"": [{""field"": ""job_requirement"", ""keywords"": [""保密""], ""weight"": 1}]}, {""standard_job"": ""政府通用计算机技术岗"", ""score"": 1, ""evidence"": [{""field"": ""job_requirement"", ""keywords"": [""软件工程""], ""weight"": 1}]}, {""standard_job"": ""政府电子数据取证与情报技术岗"", ""score"": 0, ""evidence"": []}, {""standard_job"": ""政府信息化审计岗"", ""score"": 0, ""evidence"": []}]","seed taxonomy keyword rule"
"GOV-2024-109202-300130842027","2023-10","通辽铁路公安处基层所队民警","沈阳铁路公安局","沈阳铁路公安局","政法信息技术","政府警务信息技术保障岗","assigned","5","4","[{""field"": ""job_responsibility"", ""keywords"": [""计算机维护""], ""weight"": 5}]","[{""standard_job"": ""政府警务信息技术保障岗"", ""score"": 5, ""evidence"": [{""field"": ""job_responsibility"", ""keywords"": [""计算机维护""], ""weight"": 5}]}, {""standard_job"": ""政府通用计算机技术岗"", ""score"": 1, ""evidence"": [{""field"": ""job_requirement"", ""keywords"": [""计算机类""], ""weight"": 1}]}, {""standard_job"": ""政府电子数据取证与情报技术岗"", ""score"": 0, ""evidence"": []}, {""standard_job"": ""政府信息化审计岗"", ""score"": 0, ""evidence"": []}, {""standard_job"": ""政府网络与数据安全岗"", ""score"": 0, ""evidence"": []}]","seed taxonomy keyword rule"
"GOV-2024-109207-300130848004","2023-10","武汉铁路公安处基层所队民警","武汉铁路公安局","武汉铁路公安局","网络与安全","政府网络与数据安全岗","assigned","10","9","[{""field"": ""job_responsibility"", ""keywords"": [""网络安全"", ""安全管理""], ""weight"": 5}]","[{""standard_job"": ""政府网络与数据安全岗"", ""score"": 10, ""evidence"": [{""field"": ""job_responsibility"", ""keywords"": [""网络安全"", ""安全管理""], ""weight"": 5}]}, {""standard_job"": ""政府通信电子技术岗"", ""score"": 1, ""evidence"": [{""field"": ""job_requirement"", ""keywords"": [""通信工程""], ""weight"": 1}]}, {""standard_job"": ""政府通用计算机技术岗"", ""score"": 1, ""evidence"": [{""field"": ""job_requirement"", ""keywords"": [""计算机类""], ""weight"": 1}]}, {""standard_job"": ""政府电子数据取证与情报技术岗"", ""score"": 0, ""evidence"": []}, {""standard_job"": ""政府信息化审计岗"", ""score"": 0, ""evidence"": []}]","seed taxonomy keyword rule"
"GOV-2024-109207-300130848008","2023-10","武汉铁路公安处基层所队民警","武汉铁路公安局","武汉铁路公安局","网络与安全","政府网络与数据安全岗","assigned","10","9","[{""field"": ""job_responsibility"", ""keywords"": [""网络安全"", ""安全管理""], ""weight"": 5}]","[{""standard_job"": ""政府网络与数据安全岗"", ""score"": 10, ""evidence"": [{""field"": ""job_responsibility"", ""keywords"": [""网络安全"", ""安全管理""], ""weight"": 5}]}, {""standard_job"": ""政府通信电子技术岗"", ""score"": 1, ""evidence"": [{""field"": ""job_requirement"", ""keywords"": [""电子信息""], ""weight"": 1}]}, {""standard_job"": ""政府通用计算机技术岗"", ""score"": 1, ""evidence"": [{""field"": ""job_requirement"", ""keywords"": [""计算机科学与技术""], ""weight"": 1}]}, {""standard_job"": ""政府电子数据取证与情报技术岗"", ""score"": 0, ""evidence"": []}, {""standard_job"": ""政府信息化审计岗"", ""score"": 0, ""evidence"": []}]","seed taxonomy keyword rule"
"GOV-2024-109207-300130848011","2023-10","武汉铁路公安处基层所队民警","武汉铁路公安局","武汉铁路公安局","网络与安全","政府网络与数据安全岗","assigned","10","9","[{""field"": ""job_responsibility"", ""keywords"": [""网络安全"", ""安全管理""], ""weight"": 5}]","[{""standard_job"": ""政府网络与数据安全岗"", ""score"": 10, ""evidence"": [{""field"": ""job_responsibility"", ""keywords"": [""网络安全"", ""安全管理""], ""weight"": 5}]}, {""standard_job"": ""政府通用计算机技术岗"", ""score"": 1, ""evidence"": [{""field"": ""job_requirement"", ""keywords"": [""软件工程""], ""weight"": 1}]}, {""standard_job"": ""政府电子数据取证与情报技术岗"", ""score"": 0, ""evidence"": []}, {""standard_job"": ""政府信息化审计岗"", ""score"": 0, ""evidence"": []}, {""standard_job"": ""政府警务信息技术保障岗"", ""score"": 0, ""evidence"": []}]","seed taxonomy keyword rule"
