skill_keyword,normalized_skill,kg_display_skill
IT基础设施,IT基础设施,云计算
信息技术,IT基础设施,云计算
数据中心AI软件,IT基础设施,云计算
数据中心CPU,IT基础设施,云计算
数据中心ICT运维,IT基础设施,云计算
数据中心IT服务运维,IT基础设施,云计算
数据中心IT运维,IT基础设施,云计算
数据中心SOC,IT基础设施,云计算
数据中心交换机,IT基础设施,云计算
数据中心基础设施,IT基础设施,云计算
数据中心基础设施管理,IT基础设施,云计算
数据中心基础设施系统,IT基础设施,云计算
数据中心基础设施运维,IT基础设施,云计算
数据中心存储,IT基础设施,云计算
数据中心容量规划,IT基础设施,云计算
数据中心服务器,IT基础设施,云计算
数据中心服务器固件,IT基础设施,云计算
数据中心机柜供电,IT基础设施,云计算
数据中心监控系统,IT基础设施,云计算
数据中心网络,IT基础设施,云计算
数据中心网络架构,IT基础设施,云计算
数据中心能效优化,IT基础设施,云计算
数据中心计算,IT基础设施,云计算
数据中心设备,IT基础设施,云计算
数据中心资源管理,IT基础设施,云计算
数据中心运维,IT基础设施,云计算
数据中心运维平台,IT基础设施,云计算
数据中心运营,IT基础设施,云计算
Java,Java,编程语言
JavaScript,JavaScript,编程语言
TypeScript,TypeScript,编程语言
TS,TypeScript,编程语言
HTML,HTML,编程语言
HTML5,HTML,编程语言
CSS,CSS,编程语言
CSS3,CSS,编程语言
Web,Web,软件开发
Web标准,Web,软件开发
Web 标准,Web,软件开发
React,React,编程语言
React.js,React,编程语言
Vue,Vue.js,编程语言
Vue.js,Vue.js,编程语言
Angular,Angular,编程语言
Kotlin,Kotlin,编程语言
LLM,LLM,大模型
千亿参数模型,LLM,大模型
千问,LLM,大模型
单模态LLM,LLM,大模型
单模态LLM训练,LLM,大模型
基座增强,LLM,大模型
基座大模型,LLM,大模型
基座模型,LLM,大模型
基础模型,LLM,大模型
基础模型研发,LLM,大模型
基础模型评测,LLM,大模型
文心,LLM,大模型
文心API,LLM,大模型
文心一言,LLM,大模型
智谱清言,LLM,大模型
联想模型,LLM,大模型
自回归模型,LLM,大模型
自回归理解模型,LLM,大模型
自回归生成,LLM,大模型
自回归生成模型,LLM,大模型
自回归算法,LLM,大模型
自回归视频生成,LLM,大模型
解题模型,LLM,大模型
豆包,LLM,大模型
通义,LLM,大模型
通义千问,LLM,大模型
通义模型,LLM,大模型
通义灵码,LLM,大模型
LLMOps/MLOps,LLMOps/MLOps,大模型
LoRA微调,LoRA微调,大模型
Lua,Lua,编程语言
Machine Learning,Machine Learning,AI
主动学习,Machine Learning,AI
估值算法,Machine Learning,AI
元学习,Machine Learning,AI
决策算法,Machine Learning,AI
协同过滤,Machine Learning,AI
反作弊,Machine Learning,AI
反欺诈,Machine Learning,AI
反洗钱,Machine Learning,AI
商品理解,Machine Learning,AI
在线学习,Machine Learning,AI
定价算法,Machine Learning,AI
对比学习,Machine Learning,AI
广告分析,Machine Learning,AI
广告创编,Machine Learning,AI
广告机制,Machine Learning,AI
广告模型,Machine Learning,AI
广告测试,Machine Learning,AI
广告算法,Machine Learning,AI
广告系统,Machine Learning,AI
广告调优,Machine Learning,AI
度量学习,Machine Learning,AI
强化学习,Machine Learning,AI
征信系统,Machine Learning,AI
推荐系统,Machine Learning,AI
搜索优化,Machine Learning,AI
混排,Machine Learning,AI
负采样,Machine Learning,AI
MCP协议,MCP协议,软件开发
MoE模型,MoE模型,大模型
Multimodal AI,Multimodal AI,大模型
图文匹配,Multimodal AI,大模型
图文对齐,Multimodal AI,大模型
图文描述,Multimodal AI,大模型
图文理解,Multimodal AI,大模型
图文算法,Multimodal AI,大模型
多模融合,Multimodal AI,大模型
文本图像视频对齐,Multimodal AI,大模型
模态对齐,Multimodal AI,大模型
跨模态,Multimodal AI,大模型
跨模态AI,Multimodal AI,大模型
跨模态交互,Multimodal AI,大模型
跨模态亲和,Multimodal AI,大模型
跨模态学习,Multimodal AI,大模型
跨模态对齐,Multimodal AI,大模型
跨模态干扰,Multimodal AI,大模型
跨模态推理,Multimodal AI,大模型
跨模态推理链,Multimodal AI,大模型
跨模态特征对齐,Multimodal AI,大模型
跨模态特征融合,Multimodal AI,大模型
跨模态理解,Multimodal AI,大模型
跨模态理解与生成,Multimodal AI,大模型
跨模态生成,Multimodal AI,大模型
跨模态融合,Multimodal AI,大模型
跨模态表征,Multimodal AI,大模型
跨模态表征学习,Multimodal AI,大模型
跨模态表示学习,Multimodal AI,大模型
跨模态评测,Multimodal AI,大模型
NLP,NLP,大模型
OCR,OCR,大模型
信息抽取,NLP,大模型
内容安全,NLP,大模型
内容理解,NLP,大模型
对话系统,NLP,大模型
情感计算,NLP,大模型
意图识别,NLP,大模型
打断处理,NLP,大模型
打断机制,NLP,大模型
打断检测,NLP,大模型
文本分析,NLP,大模型
文本分类,NLP,大模型
文本匹配,NLP,大模型
文本处理,NLP,大模型
文本建模,NLP,大模型
文本挖掘,NLP,大模型
文本搜索,NLP,大模型
文本改写,NLP,大模型
文本模型,NLP,大模型
文本消息,NLP,大模型
文本理解,NLP,大模型
文本算法,NLP,大模型
文本纠错,NLP,大模型
文本缩略,NLP,大模型
文本表示,NLP,大模型
文档切分,NLP,大模型
纠错,NLP,大模型
Node.js,Node.js,编程语言
OAuth,OAuth,软件开发
开放授权,OAuth,软件开发
OTA升级,OTA升级,系统与运维
升级包设计,OTA升级,系统与运维
升级回滚验证,OTA升级,系统与运维
PCA,PCA,算法与数学
主成分分析,PCA,算法与数学
PHP,PHP,编程语言
PIE工艺整合,PIE工艺整合,硬件与芯片
PIL测试,PIL测试,软件测试
PLC编程,PLC编程,工业与物联网
三菱PLC,PLC编程,工业与物联网
欧姆龙PLC,PLC编程,工业与物联网
西门子PLC,PLC编程,工业与物联网
西门子S7-1200,PLC编程,工业与物联网
西门子S7-1500,PLC编程,工业与物联网
西门子TIA Portal,PLC编程,工业与物联网
prompt工程,prompt工程,大模型
思维链展示,prompt工程,大模型
提示工程,prompt工程,大模型
Python,Python,编程语言
RAG,RAG,大模型
知识增强,RAG,大模型
知识增强生成,RAG,大模型
知识增强训练,RAG,大模型
知识注入,RAG,大模型
Rust,Rust,编程语言
Shell脚本,Shell脚本,编程语言
SIL测试,SIL测试,软件测试
SIMD,SIMD,硬件与芯片
HTTP,HTTP,系统与运维
SRE,SRE,系统与运维
变更管理,SRE,系统与运维
可观测性,SRE,系统与运维
告警系统,SRE,系统与运维
备份恢复,SRE,系统与运维
容器存储,Docker,系统与运维
容器安全,Docker,系统与运维
容器技术,Docker,系统与运维
容器环境,Docker,系统与运维
容器编排,Docker,系统与运维
容器网络,Docker,系统与运维
容器镜像,Docker,系统与运维
容灾架构,SRE,系统与运维
崩溃分析,SRE,系统与运维
故障恢复,SRE,系统与运维
故障注入,SRE,系统与运维
断点续跑,SRE,系统与运维
日志,SRE,系统与运维
日志体系,SRE,系统与运维
日志分析,SRE,系统与运维
日志处理,SRE,系统与运维
混流,SRE,系统与运维
混部,SRE,系统与运维
灾备,SRE,系统与运维
网关,SRE,系统与运维
调用图,SRE,系统与运维
运维,SRE,系统与运维
Swift开发,Swift开发,编程语言
TTS,TTS,大模型
中文TTS,TTS,大模型
多语种TTS,TTS,大模型
情感TTS,TTS,大模型
段落级韵律规划,TTS,大模型
流式TTS,TTS,大模型
端到端TTS,TTS,大模型
端到端语音交互,TTS,大模型
端到端语音大模型,TTS,大模型
端到端语音对话系统,TTS,大模型
端到端语音模型,TTS,大模型
端到端语音识别,TTS,大模型
语音克隆,TTS,大模型
语音合成,TTS,大模型
语音合成测试,TTS,大模型
语音生成,TTS,大模型
语音驱动视频生成,TTS,大模型
音频内容生成,TTS,大模型
音频合成,TTS,大模型
音频生成,TTS,大模型
音频生成工具,TTS,大模型
韵律控制,TTS,大模型
鲁棒TTS生成模型,TTS,大模型
VLA模型,VLA模型,大模型
VLM,VLM,大模型
视觉-语言-动作对齐,VLM,大模型
视觉-语言-动作数据,VLM,大模型
视觉-语言-行动模型,VLM,大模型
视觉-语言多模态,VLM,大模型
视觉-语言模型,VLM,大模型
视觉语言对齐,VLM,大模型
视觉语言导航,VLM,大模型
视觉语言模型,VLM,大模型
视觉语言联合建模,VLM,大模型
Web爬虫,Web爬虫,数据工程
全网爬虫,Web爬虫,数据工程
定向爬虫,Web爬虫,数据工程
搜网,Web爬虫,数据工程
搜网问题分析,Web爬虫,数据工程
爬虫,Web爬虫,数据工程
爬虫对抗,Web爬虫,数据工程
爬虫开发,Web爬虫,数据工程
爬虫技术,Web爬虫,数据工程
爬虫抓取原理,Web爬虫,数据工程
爬虫攻防,Web爬虫,数据工程
爬虫框架,Web爬虫,数据工程
爬虫系统,Web爬虫,数据工程
爬虫编写,Web爬虫,数据工程
爬虫识别,Web爬虫,数据工程
爬虫调度,Web爬虫,数据工程
爬虫防控,Web爬虫,数据工程
网络爬虫,Web爬虫,数据工程
网页分析,Web爬虫,数据工程
网页分类,Web爬虫,数据工程
网页抓取,Web爬虫,数据工程
网页搜索,Web爬虫,数据工程
网页收录,Web爬虫,数据工程
网页结构分析,Web爬虫,数据工程
网页解析,Web爬虫,数据工程
网页质量算法,Web爬虫,数据工程
网页质量识别,Web爬虫,数据工程
上下文工程,上下文工程,大模型
短期记忆,上下文工程,大模型
记忆,上下文工程,大模型
记忆存储,上下文工程,大模型
记忆工程,上下文工程,大模型
记忆库,上下文工程,大模型
记忆抽取,上下文工程,大模型
记忆更新,上下文工程,大模型
记忆机制,上下文工程,大模型
记忆模块,上下文工程,大模型
记忆管理,上下文工程,大模型
记忆系统,上下文工程,大模型
记忆组件,上下文工程,大模型
记忆网络,上下文工程,大模型
记忆遗忘,上下文工程,大模型
超大规模序列建模,上下文工程,大模型
超长序列,上下文工程,大模型
超长序列建模,上下文工程,大模型
超长序列训练,上下文工程,大模型
长序列,上下文工程,大模型
长文本,上下文工程,大模型
长文记忆,上下文工程,大模型
长期记忆,上下文工程,大模型
长程任务,上下文工程,大模型
长程执行,上下文工程,大模型
长程推理,上下文工程,大模型
长程规划,上下文工程,大模型
长记忆,上下文工程,大模型
不确定性分析,不确定性建模,算法与数学
不确定性建模,不确定性建模,算法与数学
世界动作模型,世界模型,大模型
世界模型,世界模型,大模型
世界知识注入,世界模型,大模型
交互式世界模型,世界模型,大模型
主机平台SDK,主机平台开发,软件开发
主机平台交互,主机平台开发,软件开发
主机平台优化,主机平台开发,软件开发
主机平台开发,主机平台开发,软件开发
主机端测试,主机平台开发,软件开发
主题建模,主题建模,算法与数学
云原生,云计算,云计算
云存储,云计算,云计算
云安全,云计算,云计算
云成本优化,云计算,云计算
云手机,云计算,云计算
云桌面,云计算,云计算
云测试,云计算,云计算
云游戏,云计算,云计算
云计算,云计算,云计算
云迁移,云计算,云计算
多云管理,云计算,云计算
混合云,云计算,云计算
混合云安全,云计算,云计算
混合云架构,云计算,云计算
混合云硬件,云计算,云计算
火山云,云计算,云计算
火山引擎,云计算,云计算
端云协同,云计算,云计算
端侧部署,云计算,云计算
腾讯云,云计算,云计算
边缘AI,云计算,云计算
边缘机房,云计算,云计算
边缘硬件,云计算,云计算
边缘网络,云计算,云计算
边缘视觉,云计算,云计算
边缘计算,云计算,云计算
边缘部署,云计算,云计算
迁云,云计算,云计算
互动内容开发,交互技术,交互体验
互动技术,交互技术,交互体验
交互安全,交互技术,交互体验
交互工效,交互技术,交互体验
交互工程,交互技术,交互体验
交互建模,交互技术,交互体验
交互开发,交互技术,交互体验
交互技术,交互技术,交互体验
交互模式识别,交互技术,交互体验
交互测试,交互技术,交互体验
交互理解,交互技术,交互体验
交互设计,交互技术,交互体验
交通事件挖掘,交通算法,行业应用
交通法规标准,交通算法,行业应用
交通算法,交通算法,行业应用
交通管理,交通算法,行业应用
交通设施,交通算法,行业应用
交通路况,交通算法,行业应用
交通预测,交通算法,行业应用
红绿灯倒计时预测,交通算法,行业应用
红绿灯检测,交通算法,行业应用
人因实验,人因工程,交互体验
人因工程,人因工程,交互体验
人手物体交互建模,人机交互,交互体验
人机交互,人机交互,交互体验
人机交互测试,人机交互,交互体验
人机交互算法,人机交互,交互体验
人机协作评测,人机交互,交互体验
人机协同决策,人机交互,交互体验
人机协同研发,人机交互,交互体验
人机识别,人机交互,交互体验
人格化建模,人格化建模,AI
仓储仿真,仓储自动化,工业与物联网
仓储物流自动化,仓储自动化,工业与物联网
仓储自动化,仓储自动化,工业与物联网
仓储调度系统,仓储自动化,工业与物联网
代价模型,代价模型,算法与数学
仿真技术,仿真技术,科学计算与仿真
分析力学,仿真技术,科学计算与仿真
刚度设计,仿真技术,科学计算与仿真
力学仿真,仿真技术,科学计算与仿真
动力学建模,仿真技术,科学计算与仿真
动态系统,仿真技术,科学计算与仿真
器件仿真,仿真技术,科学计算与仿真
处理器仿真,仿真技术,科学计算与仿真
多目标模拟,仿真技术,科学计算与仿真
封装仿真,仿真技术,科学计算与仿真
建模仿真,仿真技术,科学计算与仿真
整机仿真,仿真技术,科学计算与仿真
有限元,仿真技术,科学计算与仿真
模拟仿真,仿真技术,科学计算与仿真
模拟建模,仿真技术,科学计算与仿真
热仿真,仿真技术,科学计算与仿真
物理,仿真技术,科学计算与仿真
物理仿真,仿真技术,科学计算与仿真
物理优化,仿真技术,科学计算与仿真
物理化学,仿真技术,科学计算与仿真
物理安全,仿真技术,科学计算与仿真
物理开发,仿真技术,科学计算与仿真
物理模块,仿真技术,科学计算与仿真
物理系统,仿真技术,科学计算与仿真
结构仿真,仿真技术,科学计算与仿真
网表仿真,仿真技术,科学计算与仿真
翘曲仿真,仿真技术,科学计算与仿真
运动仿真,仿真技术,科学计算与仿真
位姿优化,位姿估计,机器人与自动驾驶
位姿估计,位姿估计,机器人与自动驾驶
位姿变换,位姿估计,机器人与自动驾驶
位姿图,位姿图优化,机器人与自动驾驶
位姿图优化,位姿图优化,机器人与自动驾驶
位置编码,位置编码,计算机视觉与图形
信号仿真,信号处理,硬件与芯片
信号分析,信号处理,硬件与芯片
信号去噪,信号处理,硬件与芯片
信号发生器,信号处理,硬件与芯片
信号处理,信号处理,硬件与芯片
信号源,信号处理,硬件与芯片
信号调理,信号处理,硬件与芯片
信号链,信号处理,硬件与芯片
信号链路,信号处理,硬件与芯片
小波变换,信号处理,硬件与芯片
微多普勒,信号处理,硬件与芯片
滤波,信号处理,硬件与芯片
滤波器,信号处理,硬件与芯片
滤波器设计,信号处理,硬件与芯片
滤波器调参,信号处理,硬件与芯片
滤波算法,信号处理,硬件与芯片
相位对焦,信号处理,硬件与芯片
相位解缠,信号处理,硬件与芯片
相噪仪,信号处理,硬件与芯片
矢量模型,信号处理,硬件与芯片
粒子滤波,信号处理,硬件与芯片
陷波器,信号处理,硬件与芯片
频域分析,信号处理,硬件与芯片
频域特征,信号处理,硬件与芯片
频控,信号处理,硬件与芯片
频谱仪,信号处理,硬件与芯片
频谱分析,信号处理,硬件与芯片
频谱处理,信号处理,硬件与芯片
信号完整性,信号完整性,硬件与芯片
信号完整性分析,信号完整性,硬件与芯片
信号完整性测试,信号完整性,硬件与芯片
眼图分析,信号完整性,硬件与芯片
眼图测试,信号完整性,硬件与芯片
主机安全,信息安全,安全
代码分析,信息安全,安全
代码安全,信息安全,安全
代码审查,信息安全,安全
代码管理,信息安全,安全
信息安全,信息安全,安全
内网安全,信息安全,安全
凭证安全,信息安全,安全
加密算法,信息安全,安全
协议安全,信息安全,安全
协议逆向,信息安全,安全
反向代理,信息安全,安全
反爬虫,信息安全,安全
可信计算,信息安全,安全
同态加密,信息安全,安全
威胁建模,信息安全,安全
威胁情报,信息安全,安全
威胁检测,信息安全,安全
安全分析,信息安全,安全
安全加固,信息安全,安全
密码学,信息安全,安全
混淆,信息安全,安全
溯源,信息安全,安全
紫军,信息安全,安全
脱困,信息安全,安全
脱壳,信息安全,安全
逃逸率,信息安全,安全
逆向,信息安全,安全
信息理论,信息论,算法与数学
信息论,信息论,算法与数学
偏好优化,偏好学习,AI
偏好学习,偏好学习,AI
偏好对齐,偏好学习,AI
偏好建模,偏好学习,AI
偏好感知奖励,偏好学习,AI
偏好数据,偏好学习,AI
偏好数据构建,偏好学习,AI
偏好数据集,偏好学习,AI
偏好模型,偏好学习,AI
偏好评估,偏好学习,AI
偏好评测,偏好学习,AI
健康算法,健康算法,行业应用
睡眠算法,健康算法,行业应用
跑步配速算法,健康算法,行业应用
运动健康算法,健康算法,行业应用
交直流充电协议,充电系统,硬件与芯片
交直流充电流程,充电系统,硬件与芯片
充电协议,充电系统,硬件与芯片
充电电路,充电系统,硬件与芯片
充电硬件,充电系统,硬件与芯片
充电系统,充电系统,硬件与芯片
充电调度,充电系统,硬件与芯片
充电调测,充电系统,硬件与芯片
充电驱动,充电系统,硬件与芯片
偏振光学,光学技术,硬件与芯片
像差,光学技术,硬件与芯片
光场显示,光学技术,硬件与芯片
光学仪表,光学技术,硬件与芯片
光学仿真,光学技术,硬件与芯片
光学变焦,光学技术,硬件与芯片
光学工程,光学技术,硬件与芯片
光学建模,光学技术,硬件与芯片
光学性能,光学技术,硬件与芯片
光学成像,光学技术,硬件与芯片
光学技术,光学技术,硬件与芯片
光学测试,光学技术,硬件与芯片
光学测量,光学技术,硬件与芯片
光学矫正,光学技术,硬件与芯片
光学设计,光学技术,硬件与芯片
光学贴合,光学技术,硬件与芯片
光学镜头,光学技术,硬件与芯片
光学防抖,光学技术,硬件与芯片
光度计,光学技术,硬件与芯片
光技术,光学技术,硬件与芯片
光机,光学技术,硬件与芯片
光电子,光学技术,硬件与芯片
光电成像,光学技术,硬件与芯片
光谱仪,光学技术,硬件与芯片
波导,光学技术,硬件与芯片
硅光,光学技术,硬件与芯片
辐射度量学,光学技术,硬件与芯片
镜头,光学技术,硬件与芯片
光计算,光计算,硬件与芯片
冷启动,冷启动优化,软件工程
冷启动优化,冷启动优化,软件工程
冷启动分析,冷启动优化,软件工程
冷启动策略,冷启动优化,软件工程
功能安全,功能安全,安全
功能安全分析,功能安全,安全
功能安全工具链,功能安全,安全
功能安全机制,功能安全,安全
功能安全架构,功能安全,安全
功能安全测试,功能安全,安全
功能安全程序设计,功能安全,安全
功能安全需求分析,功能安全,安全
预期功能安全,功能安全,安全
动作捕捉,动作捕捉,计算机视觉与图形
动作捕获,动作捕捉,计算机视觉与图形
动捕,动作捕捉,计算机视觉与图形
人物动作生成,动作生成,计算机视觉与图形
动作合成,动作生成,计算机视觉与图形
动作生成,动作生成,计算机视觉与图形
动作迁移,动作生成,计算机视觉与图形
动作重定向,动作生成,计算机视觉与图形
动作驱动,动作生成,计算机视觉与图形
动作理解,动作识别,计算机视觉与图形
动作识别,动作识别,计算机视觉与图形
动作跟踪,动作识别,计算机视觉与图形
动态信号分析仪,动态分析,软件工程
动态分析,动态分析,软件工程
动态分析工具,动态分析,软件工程
动态扫描,动态分析,软件工程
动态检测工具,动态分析,软件工程
动态漏洞扫描工具,动态分析,软件工程
动态调试,动态分析,软件工程
动态障碍物检测,动态分析,软件工程
动效,动画技术,计算机视觉与图形
动效SDK,动画技术,计算机视觉与图形
动效测试,动画技术,计算机视觉与图形
动画,动画技术,计算机视觉与图形
动画压缩,动画技术,计算机视觉与图形
动画开发,动画技术,计算机视觉与图形
动画性能优化,动画技术,计算机视觉与图形
动画技术,动画技术,计算机视觉与图形
动画机制,动画技术,计算机视觉与图形
动画框架,动画技术,计算机视觉与图形
动画模块,动画技术,计算机视觉与图形
动画渲染引擎,动画技术,计算机视觉与图形
动画特效,动画技术,计算机视觉与图形
动画系统,动画技术,计算机视觉与图形
动画表现控制,动画技术,计算机视觉与图形
动画资源优化,动画技术,计算机视觉与图形
动画重定向,动画技术,计算机视觉与图形
精灵动画,动画技术,计算机视觉与图形
骨骼动画,动画技术,计算机视觉与图形
区块链,区块链,行业应用
协作系统,协同系统,软件开发
协同办公客户端,协同系统,软件开发
协同系统,协同系统,软件开发
协同编辑,协同系统,软件开发
