month,month_index,standard_job,standard_category,skill,kg_display_skill,monthly_jd_count,monthly_skill_count,monthly_skill_frequency,cumulative_jd_count,cumulative_skill_count,cumulative_skill_frequency,skill_trend_type,skill_stage,job_demand_trend_type
2025-07,8,大模型算法工程师,AI算法,RAG,大模型,2,0,0.0000,13,1,0.0769,先上升后稳定,new,持续上升
2025-08,9,大模型算法工程师,AI算法,RAG,大模型,2,1,0.5000,15,2,0.1333,先上升后稳定,new,持续上升
2025-09,10,大模型算法工程师,AI算法,RAG,大模型,2,1,0.5000,17,3,0.1765,先上升后稳定,new,持续上升
2025-10,11,大模型算法工程师,AI算法,RAG,大模型,3,1,0.3333,20,4,0.2000,先上升后稳定,new,持续上升
2025-11,12,大模型算法工程师,AI算法,RAG,大模型,3,0,0.0000,23,4,0.1739,先上升后稳定,new,持续上升
2025-12,13,大模型算法工程师,AI算法,RAG,大模型,3,2,0.6667,26,6,0.2308,先上升后稳定,new,持续上升
2026-01,14,大模型算法工程师,AI算法,RAG,大模型,4,0,0.0000,30,6,0.2000,先上升后稳定,new,持续上升
2026-02,15,大模型算法工程师,AI算法,RAG,大模型,3,1,0.3333,33,7,0.2121,先上升后稳定,new,持续上升
2026-03,16,大模型算法工程师,AI算法,RAG,大模型,3,0,0.0000,36,7,0.1944,先上升后稳定,new,持续上升
2026-04,17,大模型算法工程师,AI算法,RAG,大模型,3,1,0.3333,39,8,0.2051,先上升后稳定,new,持续上升
2026-05,18,大模型算法工程师,AI算法,RAG,大模型,5,1,0.2000,44,9,0.2045,先上升后稳定,new,持续上升
2026-06,19,大模型算法工程师,AI算法,RAG,大模型,4,1,0.2500,48,10,0.2083,先上升后稳定,new,持续上升
2026-07,20,大模型算法工程师,AI算法,RAG,大模型,4,1,0.2500,52,11,0.2115,先上升后稳定,new,持续上升
2024-12,1,大模型算法工程师,AI算法,VLM,大模型,2,0,0.0000,2,0,0.0000,持续上升,new,持续上升
2025-01,2,大模型算法工程师,AI算法,VLM,大模型,1,0,0.0000,3,0,0.0000,持续上升,new,持续上升
2025-02,3,大模型算法工程师,AI算法,VLM,大模型,1,0,0.0000,4,0,0.0000,持续上升,new,持续上升
2025-03,4,大模型算法工程师,AI算法,VLM,大模型,1,0,0.0000,5,0,0.0000,持续上升,new,持续上升
2025-04,5,大模型算法工程师,AI算法,VLM,大模型,2,0,0.0000,7,0,0.0000,持续上升,new,持续上升
2025-05,6,大模型算法工程师,AI算法,VLM,大模型,2,0,0.0000,9,0,0.0000,持续上升,new,持续上升
2025-06,7,大模型算法工程师,AI算法,VLM,大模型,2,0,0.0000,11,0,0.0000,持续上升,new,持续上升
2025-07,8,大模型算法工程师,AI算法,VLM,大模型,2,1,0.5000,13,1,0.0769,持续上升,new,持续上升
2025-08,9,大模型算法工程师,AI算法,VLM,大模型,2,0,0.0000,15,1,0.0667,持续上升,new,持续上升
2025-09,10,大模型算法工程师,AI算法,VLM,大模型,2,0,0.0000,17,1,0.0588,持续上升,new,持续上升
2025-10,11,大模型算法工程师,AI算法,VLM,大模型,3,1,0.3333,20,2,0.1000,持续上升,new,持续上升
2025-11,12,大模型算法工程师,AI算法,VLM,大模型,3,3,1.0000,23,5,0.2174,持续上升,new,持续上升
2025-12,13,大模型算法工程师,AI算法,VLM,大模型,3,0,0.0000,26,5,0.1923,持续上升,new,持续上升
2026-01,14,大模型算法工程师,AI算法,VLM,大模型,4,2,0.5000,30,7,0.2333,持续上升,new,持续上升
2026-02,15,大模型算法工程师,AI算法,VLM,大模型,3,1,0.3333,33,8,0.2424,持续上升,new,持续上升
2026-03,16,大模型算法工程师,AI算法,VLM,大模型,3,0,0.0000,36,8,0.2222,持续上升,new,持续上升
2026-04,17,大模型算法工程师,AI算法,VLM,大模型,3,0,0.0000,39,8,0.2051,持续上升,new,持续上升
2026-05,18,大模型算法工程师,AI算法,VLM,大模型,5,1,0.2000,44,9,0.2045,持续上升,new,持续上升
2026-06,19,大模型算法工程师,AI算法,VLM,大模型,4,0,0.0000,48,9,0.1875,持续上升,new,持续上升
2026-07,20,大模型算法工程师,AI算法,VLM,大模型,4,1,0.2500,52,10,0.1923,持续上升,new,持续上升
2024-12,1,大模型算法工程师,AI算法,知识图谱,知识图谱,2,1,0.5000,2,1,0.5000,先上升后稳定,new,持续上升
2025-01,2,大模型算法工程师,AI算法,知识图谱,知识图谱,1,0,0.0000,3,1,0.3333,先上升后稳定,new,持续上升
2025-02,3,大模型算法工程师,AI算法,知识图谱,知识图谱,1,0,0.0000,4,1,0.2500,先上升后稳定,new,持续上升
2025-03,4,大模型算法工程师,AI算法,知识图谱,知识图谱,1,0,0.0000,5,1,0.2000,先上升后稳定,new,持续上升
2025-04,5,大模型算法工程师,AI算法,知识图谱,知识图谱,2,0,0.0000,7,1,0.1429,先上升后稳定,new,持续上升
2025-05,6,大模型算法工程师,AI算法,知识图谱,知识图谱,2,1,0.5000,9,2,0.2222,先上升后稳定,new,持续上升
2025-06,7,大模型算法工程师,AI算法,知识图谱,知识图谱,2,1,0.5000,11,3,0.2727,先上升后稳定,new,持续上升
2025-07,8,大模型算法工程师,AI算法,知识图谱,知识图谱,2,0,0.0000,13,3,0.2308,先上升后稳定,new,持续上升
2025-08,9,大模型算法工程师,AI算法,知识图谱,知识图谱,2,0,0.0000,15,3,0.2000,先上升后稳定,new,持续上升
2025-09,10,大模型算法工程师,AI算法,知识图谱,知识图谱,2,1,0.5000,17,4,0.2353,先上升后稳定,new,持续上升
2025-10,11,大模型算法工程师,AI算法,知识图谱,知识图谱,3,2,0.6667,20,6,0.3000,先上升后稳定,new,持续上升
2025-11,12,大模型算法工程师,AI算法,知识图谱,知识图谱,3,1,0.3333,23,7,0.3043,先上升后稳定,new,持续上升
2025-12,13,大模型算法工程师,AI算法,知识图谱,知识图谱,3,2,0.6667,26,9,0.3462,先上升后稳定,new,持续上升
2026-01,14,大模型算法工程师,AI算法,知识图谱,知识图谱,4,2,0.5000,30,11,0.3667,先上升后稳定,new,持续上升
2026-02,15,大模型算法工程师,AI算法,知识图谱,知识图谱,3,1,0.3333,33,12,0.3636,先上升后稳定,new,持续上升
2026-03,16,大模型算法工程师,AI算法,知识图谱,知识图谱,3,1,0.3333,36,13,0.3611,先上升后稳定,new,持续上升
2026-04,17,大模型算法工程师,AI算法,知识图谱,知识图谱,3,2,0.6667,39,15,0.3846,先上升后稳定,new,持续上升
2026-05,18,大模型算法工程师,AI算法,知识图谱,知识图谱,5,3,0.6000,44,18,0.4091,先上升后稳定,new,持续上升
2026-06,19,大模型算法工程师,AI算法,知识图谱,知识图谱,4,2,0.5000,48,20,0.4167,先上升后稳定,new,持续上升
2026-07,20,大模型算法工程师,AI算法,知识图谱,知识图谱,4,3,0.7500,52,23,0.4423,先上升后稳定,new,持续上升
2024-12,1,大模型算法工程师,AI算法,模型微调,大模型,2,0,0.0000,2,0,0.0000,先上升后稳定,new,持续上升
2025-01,2,大模型算法工程师,AI算法,模型微调,大模型,1,0,0.0000,3,0,0.0000,先上升后稳定,new,持续上升
2025-02,3,大模型算法工程师,AI算法,模型微调,大模型,1,0,0.0000,4,0,0.0000,先上升后稳定,new,持续上升
2025-03,4,大模型算法工程师,AI算法,模型微调,大模型,1,1,1.0000,5,1,0.2000,先上升后稳定,new,持续上升
2025-04,5,大模型算法工程师,AI算法,模型微调,大模型,2,1,0.5000,7,2,0.2857,先上升后稳定,new,持续上升
2025-05,6,大模型算法工程师,AI算法,模型微调,大模型,2,2,1.0000,9,4,0.4444,先上升后稳定,new,持续上升
2025-06,7,大模型算法工程师,AI算法,模型微调,大模型,2,2,1.0000,11,6,0.5455,先上升后稳定,new,持续上升
2025-07,8,大模型算法工程师,AI算法,模型微调,大模型,2,0,0.0000,13,6,0.4615,先上升后稳定,new,持续上升
2025-08,9,大模型算法工程师,AI算法,模型微调,大模型,2,0,0.0000,15,6,0.4000,先上升后稳定,new,持续上升
2025-09,10,大模型算法工程师,AI算法,模型微调,大模型,2,1,0.5000,17,7,0.4118,先上升后稳定,new,持续上升
2025-10,11,大模型算法工程师,AI算法,模型微调,大模型,3,0,0.0000,20,7,0.3500,先上升后稳定,new,持续上升
2025-11,12,大模型算法工程师,AI算法,模型微调,大模型,3,1,0.3333,23,8,0.3478,先上升后稳定,new,持续上升
2025-12,13,大模型算法工程师,AI算法,模型微调,大模型,3,2,0.6667,26,10,0.3846,先上升后稳定,new,持续上升
2026-01,14,大模型算法工程师,AI算法,模型微调,大模型,4,3,0.7500,30,13,0.4333,先上升后稳定,new,持续上升
2026-02,15,大模型算法工程师,AI算法,模型微调,大模型,3,2,0.6667,33,15,0.4545,先上升后稳定,new,持续上升
2026-03,16,大模型算法工程师,AI算法,模型微调,大模型,3,1,0.3333,36,16,0.4444,先上升后稳定,new,持续上升
2026-04,17,大模型算法工程师,AI算法,模型微调,大模型,3,1,0.3333,39,17,0.4359,先上升后稳定,new,持续上升
2026-05,18,大模型算法工程师,AI算法,模型微调,大模型,5,1,0.2000,44,18,0.4091,先上升后稳定,new,持续上升
2026-06,19,大模型算法工程师,AI算法,模型微调,大模型,4,1,0.2500,48,19,0.3958,先上升后稳定,new,持续上升
2026-07,20,大模型算法工程师,AI算法,模型微调,大模型,4,1,0.2500,52,20,0.3846,先上升后稳定,new,持续上升
2024-12,1,大模型算法工程师,AI算法,AI工作流设计,AI,2,1,0.5000,2,1,0.5000,稳定型,new,持续上升
2025-01,2,大模型算法工程师,AI算法,AI工作流设计,AI,1,1,1.0000,3,2,0.6667,稳定型,new,持续上升
2025-02,3,大模型算法工程师,AI算法,AI工作流设计,AI,1,0,0.0000,4,2,0.5000,稳定型,new,持续上升
2025-03,4,大模型算法工程师,AI算法,AI工作流设计,AI,1,0,0.0000,5,2,0.4000,稳定型,new,持续上升
2025-04,5,大模型算法工程师,AI算法,AI工作流设计,AI,2,1,0.5000,7,3,0.4286,稳定型,new,持续上升
2025-05,6,大模型算法工程师,AI算法,AI工作流设计,AI,2,1,0.5000,9,4,0.4444,稳定型,new,持续上升
2025-06,7,大模型算法工程师,AI算法,AI工作流设计,AI,2,0,0.0000,11,4,0.3636,稳定型,new,持续上升
2025-07,8,大模型算法工程师,AI算法,AI工作流设计,AI,2,0,0.0000,13,4,0.3077,稳定型,new,持续上升
2025-08,9,大模型算法工程师,AI算法,AI工作流设计,AI,2,1,0.5000,15,5,0.3333,稳定型,new,持续上升
2025-09,10,大模型算法工程师,AI算法,AI工作流设计,AI,2,0,0.0000,17,5,0.2941,稳定型,new,持续上升
2025-10,11,大模型算法工程师,AI算法,AI工作流设计,AI,3,1,0.3333,20,6,0.3000,稳定型,new,持续上升
2025-11,12,大模型算法工程师,AI算法,AI工作流设计,AI,3,1,0.3333,23,7,0.3043,稳定型,new,持续上升
2025-12,13,大模型算法工程师,AI算法,AI工作流设计,AI,3,0,0.0000,26,7,0.2692,稳定型,new,持续上升
2026-01,14,大模型算法工程师,AI算法,AI工作流设计,AI,4,0,0.0000,30,7,0.2333,稳定型,new,持续上升
2026-02,15,大模型算法工程师,AI算法,AI工作流设计,AI,3,0,0.0000,33,7,0.2121,稳定型,new,持续上升
2026-03,16,大模型算法工程师,AI算法,AI工作流设计,AI,3,0,0.0000,36,7,0.1944,稳定型,new,持续上升
2026-04,17,大模型算法工程师,AI算法,AI工作流设计,AI,3,0,0.0000,39,7,0.1795,稳定型,new,持续上升
2026-05,18,大模型算法工程师,AI算法,AI工作流设计,AI,5,0,0.0000,44,7,0.1591,稳定型,new,持续上升
2026-06,19,大模型算法工程师,AI算法,AI工作流设计,AI,4,1,0.2500,48,8,0.1667,稳定型,new,持续上升
2026-07,20,大模型算法工程师,AI算法,AI工作流设计,AI,4,0,0.0000,52,8,0.1538,稳定型,new,持续上升
2024-12,1,大模型算法工程师,AI算法,推理优化,大模型,2,1,0.5000,2,1,0.5000,持续上升,new,持续上升
2025-01,2,大模型算法工程师,AI算法,推理优化,大模型,1,0,0.0000,3,1,0.3333,持续上升,new,持续上升
2025-02,3,大模型算法工程师,AI算法,推理优化,大模型,1,0,0.0000,4,1,0.2500,持续上升,new,持续上升
2025-03,4,大模型算法工程师,AI算法,推理优化,大模型,1,0,0.0000,5,1,0.2000,持续上升,new,持续上升
2025-04,5,大模型算法工程师,AI算法,推理优化,大模型,2,0,0.0000,7,1,0.1429,持续上升,new,持续上升
2025-05,6,大模型算法工程师,AI算法,推理优化,大模型,2,0,0.0000,9,1,0.1111,持续上升,new,持续上升
2025-06,7,大模型算法工程师,AI算法,推理优化,大模型,2,0,0.0000,11,1,0.0909,持续上升,new,持续上升
2025-07,8,大模型算法工程师,AI算法,推理优化,大模型,2,1,0.5000,13,2,0.1538,持续上升,new,持续上升
2025-08,9,大模型算法工程师,AI算法,推理优化,大模型,2,0,0.0000,15,2,0.1333,持续上升,new,持续上升
2025-09,10,大模型算法工程师,AI算法,推理优化,大模型,2,0,0.0000,17,2,0.1176,持续上升,new,持续上升
2025-10,11,大模型算法工程师,AI算法,推理优化,大模型,3,0,0.0000,20,2,0.1000,持续上升,new,持续上升
2025-11,12,大模型算法工程师,AI算法,推理优化,大模型,3,0,0.0000,23,2,0.0870,持续上升,new,持续上升
2025-12,13,大模型算法工程师,AI算法,推理优化,大模型,3,1,0.3333,26,3,0.1154,持续上升,new,持续上升
2026-01,14,大模型算法工程师,AI算法,推理优化,大模型,4,1,0.2500,30,4,0.1333,持续上升,new,持续上升
2026-02,15,大模型算法工程师,AI算法,推理优化,大模型,3,1,0.3333,33,5,0.1515,持续上升,new,持续上升
2026-03,16,大模型算法工程师,AI算法,推理优化,大模型,3,1,0.3333,36,6,0.1667,持续上升,new,持续上升
2026-04,17,大模型算法工程师,AI算法,推理优化,大模型,3,3,1.0000,39,9,0.2308,持续上升,new,持续上升
2026-05,18,大模型算法工程师,AI算法,推理优化,大模型,5,2,0.4000,44,11,0.2500,持续上升,new,持续上升
2026-06,19,大模型算法工程师,AI算法,推理优化,大模型,4,1,0.2500,48,12,0.2500,持续上升,new,持续上升
2026-07,20,大模型算法工程师,AI算法,推理优化,大模型,4,3,0.7500,52,15,0.2885,持续上升,new,持续上升
2024-12,1,大模型算法工程师,AI算法,Tool Use,大模型,2,0,0.0000,2,0,0.0000,先上升后稳定,new,持续上升
2025-01,2,大模型算法工程师,AI算法,Tool Use,大模型,1,0,0.0000,3,0,0.0000,先上升后稳定,new,持续上升
2025-02,3,大模型算法工程师,AI算法,Tool Use,大模型,1,0,0.0000,4,0,0.0000,先上升后稳定,new,持续上升
2025-03,4,大模型算法工程师,AI算法,Tool Use,大模型,1,0,0.0000,5,0,0.0000,先上升后稳定,new,持续上升
2025-04,5,大模型算法工程师,AI算法,Tool Use,大模型,2,0,0.0000,7,0,0.0000,先上升后稳定,new,持续上升
2025-05,6,大模型算法工程师,AI算法,Tool Use,大模型,2,0,0.0000,9,0,0.0000,先上升后稳定,new,持续上升
2025-06,7,大模型算法工程师,AI算法,Tool Use,大模型,2,0,0.0000,11,0,0.0000,先上升后稳定,new,持续上升
2025-07,8,大模型算法工程师,AI算法,Tool Use,大模型,2,0,0.0000,13,0,0.0000,先上升后稳定,new,持续上升
2025-08,9,大模型算法工程师,AI算法,Tool Use,大模型,2,0,0.0000,15,0,0.0000,先上升后稳定,new,持续上升
2025-09,10,大模型算法工程师,AI算法,Tool Use,大模型,2,0,0.0000,17,0,0.0000,先上升后稳定,new,持续上升
2025-10,11,大模型算法工程师,AI算法,Tool Use,大模型,3,0,0.0000,20,0,0.0000,先上升后稳定,new,持续上升
2025-11,12,大模型算法工程师,AI算法,Tool Use,大模型,3,0,0.0000,23,0,0.0000,先上升后稳定,new,持续上升
2025-12,13,大模型算法工程师,AI算法,Tool Use,大模型,3,1,0.3333,26,1,0.0385,先上升后稳定,new,持续上升
2026-01,14,大模型算法工程师,AI算法,Tool Use,大模型,4,0,0.0000,30,1,0.0333,先上升后稳定,new,持续上升
2026-02,15,大模型算法工程师,AI算法,Tool Use,大模型,3,1,0.3333,33,2,0.0606,先上升后稳定,new,持续上升
2026-03,16,大模型算法工程师,AI算法,Tool Use,大模型,3,0,0.0000,36,2,0.0556,先上升后稳定,new,持续上升
2026-04,17,大模型算法工程师,AI算法,Tool Use,大模型,3,1,0.3333,39,3,0.0769,先上升后稳定,new,持续上升
2026-05,18,大模型算法工程师,AI算法,Tool Use,大模型,5,1,0.2000,44,4,0.0909,先上升后稳定,new,持续上升
2026-06,19,大模型算法工程师,AI算法,Tool Use,大模型,4,1,0.2500,48,5,0.1042,先上升后稳定,new,持续上升
2026-07,20,大模型算法工程师,AI算法,Tool Use,大模型,4,1,0.2500,52,6,0.1154,先上升后稳定,new,持续上升
2024-12,1,大模型算法工程师,AI算法,世界模型,大模型,2,0,0.0000,2,0,0.0000,先上升后稳定,new,持续上升
2025-01,2,大模型算法工程师,AI算法,世界模型,大模型,1,0,0.0000,3,0,0.0000,先上升后稳定,new,持续上升
2025-02,3,大模型算法工程师,AI算法,世界模型,大模型,1,1,1.0000,4,1,0.2500,先上升后稳定,new,持续上升
2025-03,4,大模型算法工程师,AI算法,世界模型,大模型,1,0,0.0000,5,1,0.2000,先上升后稳定,new,持续上升
2025-04,5,大模型算法工程师,AI算法,世界模型,大模型,2,1,0.5000,7,2,0.2857,先上升后稳定,new,持续上升
2025-05,6,大模型算法工程师,AI算法,世界模型,大模型,2,0,0.0000,9,2,0.2222,先上升后稳定,new,持续上升
2025-06,7,大模型算法工程师,AI算法,世界模型,大模型,2,1,0.5000,11,3,0.2727,先上升后稳定,new,持续上升
2025-07,8,大模型算法工程师,AI算法,世界模型,大模型,2,0,0.0000,13,3,0.2308,先上升后稳定,new,持续上升
2025-08,9,大模型算法工程师,AI算法,世界模型,大模型,2,0,0.0000,15,3,0.2000,先上升后稳定,new,持续上升
2025-09,10,大模型算法工程师,AI算法,世界模型,大模型,2,0,0.0000,17,3,0.1765,先上升后稳定,new,持续上升
2025-10,11,大模型算法工程师,AI算法,世界模型,大模型,3,1,0.3333,20,4,0.2000,先上升后稳定,new,持续上升
2025-11,12,大模型算法工程师,AI算法,世界模型,大模型,3,3,1.0000,23,7,0.3043,先上升后稳定,new,持续上升
2025-12,13,大模型算法工程师,AI算法,世界模型,大模型,3,1,0.3333,26,8,0.3077,先上升后稳定,new,持续上升
2026-01,14,大模型算法工程师,AI算法,世界模型,大模型,4,1,0.2500,30,9,0.3000,先上升后稳定,new,持续上升
2026-02,15,大模型算法工程师,AI算法,世界模型,大模型,3,2,0.6667,33,11,0.3333,先上升后稳定,new,持续上升
2026-03,16,大模型算法工程师,AI算法,世界模型,大模型,3,2,0.6667,36,13,0.3611,先上升后稳定,new,持续上升
2026-04,17,大模型算法工程师,AI算法,世界模型,大模型,3,0,0.0000,39,13,0.3333,先上升后稳定,new,持续上升
2026-05,18,大模型算法工程师,AI算法,世界模型,大模型,5,0,0.0000,44,13,0.2955,先上升后稳定,new,持续上升
2026-06,19,大模型算法工程师,AI算法,世界模型,大模型,4,1,0.2500,48,14,0.2917,先上升后稳定,new,持续上升
2026-07,20,大模型算法工程师,AI算法,世界模型,大模型,4,2,0.5000,52,16,0.3077,先上升后稳定,new,持续上升
2024-12,1,大模型算法工程师,AI算法,模型并行,大模型,2,1,0.5000,2,1,0.5000,持续下降,new,持续上升
2025-01,2,大模型算法工程师,AI算法,模型并行,大模型,1,0,0.0000,3,1,0.3333,持续下降,new,持续上升
2025-02,3,大模型算法工程师,AI算法,模型并行,大模型,1,1,1.0000,4,2,0.5000,持续下降,new,持续上升
2025-03,4,大模型算法工程师,AI算法,模型并行,大模型,1,0,0.0000,5,2,0.4000,持续下降,new,持续上升
2025-04,5,大模型算法工程师,AI算法,模型并行,大模型,2,0,0.0000,7,2,0.2857,持续下降,new,持续上升
2025-05,6,大模型算法工程师,AI算法,模型并行,大模型,2,0,0.0000,9,2,0.2222,持续下降,new,持续上升
2025-06,7,大模型算法工程师,AI算法,模型并行,大模型,2,2,1.0000,11,4,0.3636,持续下降,new,持续上升
2025-07,8,大模型算法工程师,AI算法,模型并行,大模型,2,1,0.5000,13,5,0.3846,持续下降,new,持续上升
2025-08,9,大模型算法工程师,AI算法,模型并行,大模型,2,0,0.0000,15,5,0.3333,持续下降,new,持续上升
2025-09,10,大模型算法工程师,AI算法,模型并行,大模型,2,1,0.5000,17,6,0.3529,持续下降,new,持续上升
2025-10,11,大模型算法工程师,AI算法,模型并行,大模型,3,0,0.0000,20,6,0.3000,持续下降,new,持续上升
2025-11,12,大模型算法工程师,AI算法,模型并行,大模型,3,0,0.0000,23,6,0.2609,持续下降,new,持续上升
2025-12,13,大模型算法工程师,AI算法,模型并行,大模型,3,0,0.0000,26,6,0.2308,持续下降,new,持续上升
2026-01,14,大模型算法工程师,AI算法,模型并行,大模型,4,1,0.2500,30,7,0.2333,持续下降,new,持续上升
2026-02,15,大模型算法工程师,AI算法,模型并行,大模型,3,1,0.3333,33,8,0.2424,持续下降,new,持续上升
2026-03,16,大模型算法工程师,AI算法,模型并行,大模型,3,0,0.0000,36,8,0.2222,持续下降,new,持续上升
2026-04,17,大模型算法工程师,AI算法,模型并行,大模型,3,1,0.3333,39,9,0.2308,持续下降,new,持续上升
2026-05,18,大模型算法工程师,AI算法,模型并行,大模型,5,0,0.0000,44,9,0.2045,持续下降,new,持续上升
2026-06,19,大模型算法工程师,AI算法,模型并行,大模型,4,2,0.5000,48,11,0.2292,持续下降,new,持续上升
2026-07,20,大模型算法工程师,AI算法,模型并行,大模型,4,0,0.0000,52,11,0.2115,持续下降,new,持续上升
2024-12,1,大模型算法工程师,AI算法,模型安全,大模型,2,0,0.0000,2,0,0.0000,持续下降,new,持续上升
2025-01,2,大模型算法工程师,AI算法,模型安全,大模型,1,1,1.0000,3,1,0.3333,持续下降,new,持续上升
2025-02,3,大模型算法工程师,AI算法,模型安全,大模型,1,0,0.0000,4,1,0.2500,持续下降,new,持续上升
