standard_job,standard_category,source_jd_count,unique_skill_count,has_source_data,demand_trend_type,activity_pattern,total_planned_jd_count,active_month_count,zero_month_count,first_active_month,last_active_month,peak_month,min_monthly_jd,max_monthly_jd,has_reappearance,profile_notes
Python开发工程师,软件研发,33,283,yes,消失后再出现,趋势包含阶段性不出现,21,13,7,2025-02,2026-07,2025-02,1,2,yes,
Go开发工程师,软件研发,14,102,yes,先上升后稳定,常规月度波动,31,18,2,2024-12,2026-07,2025-02,1,2,yes,
客户端开发工程师,软件研发,350,1228,yes,先上升后下降,常规月度波动,37,16,4,2024-12,2026-07,2025-10,1,4,yes,
Android开发工程师,软件研发,219,915,yes,稳定波动,常规月度波动,55,20,0,2024-12,2026-07,2025-09,2,4,no,
iOS开发工程师,软件研发,122,431,yes,先上升后稳定,常规月度波动,41,19,1,2024-12,2026-07,2025-10,1,3,yes,
系统软件工程师,软件研发,177,1502,yes,持续下降,常规月度波动,39,20,0,2024-12,2026-07,2024-12,1,3,no,
嵌入式软件工程师,软件研发,33,430,yes,间歇出现,趋势包含阶段性不出现,19,9,11,2024-12,2026-06,2026-06,2,3,yes,
驱动开发工程师,软件研发,78,511,yes,稳定波动,常规月度波动,40,18,2,2024-12,2026-07,2025-01,1,3,yes,
软件架构师,软件研发,363,2706,yes,稳定波动,常规月度波动,36,19,1,2024-12,2026-07,2026-05,1,3,yes,
软件开发工程师,软件研发,1572,6584,yes,稳定波动,常规月度波动,61,20,0,2024-12,2026-07,2025-02,2,4,no,
大数据开发工程师,数据,0,0,no,无样本不生成,无真实JD和技能池，按方案1保留标准岗位但不生成事件,0,0,20,,,,0,0,no,无可用真实JD样本；无技能池
数据开发工程师,数据,45,325,yes,稳定波动,常规月度波动,24,19,1,2024-12,2026-07,2025-06,1,2,yes,
数据仓库工程师,数据,18,84,yes,稳定波动,常规月度波动,19,15,5,2024-12,2026-06,2024-12,1,2,yes,
数据平台工程师,数据,10,111,yes,稳定波动,常规月度波动,21,14,6,2025-01,2026-07,2025-01,1,2,yes,
数据治理工程师,数据,4,25,yes,稳定波动,小样本岗位，允许较多月份不出现,14,12,8,2024-12,2026-06,2025-02,1,2,yes,真实JD样本较少
数据分析师,数据,125,497,yes,持续上升,常规月度波动,38,19,1,2024-12,2026-07,2026-02,1,3,yes,
数据工程师,数据,9,79,yes,消失后再出现,小样本岗位，允许较多月份不出现,22,13,7,2024-12,2026-07,2024-12,1,2,yes,真实JD样本较少
大模型测试工程师,测试质量,129,997,yes,持续上升,常规月度波动,46,20,0,2024-12,2026-07,2026-04,1,4,no,
测试开发工程师,测试质量,443,1475,yes,稳定波动,常规月度波动,44,18,2,2024-12,2026-07,2025-08,2,4,yes,
质量工程师,测试质量,49,203,yes,稳定波动,常规月度波动,29,19,1,2024-12,2026-07,2024-12,1,2,yes,
测试工程师,测试质量,107,830,yes,间歇出现,趋势包含阶段性不出现,12,8,12,2024-12,2026-06,2025-02,1,2,yes,
DevOps工程师,基础设施,14,162,yes,持续上升,常规月度波动,25,19,1,2024-12,2026-07,2025-07,1,2,yes,
运维工程师,基础设施,183,1020,yes,消失后再出现,趋势包含阶段性不出现,35,14,6,2024-12,2026-07,2025-01,2,3,yes,
云计算工程师,基础设施,83,678,yes,稳定波动,常规月度波动,41,19,1,2024-12,2026-07,2025-01,1,3,yes,
网络安全工程师,安全,50,325,yes,稳定波动,常规月度波动,34,18,2,2024-12,2026-07,2025-01,1,3,yes,
信息安全工程师,安全,47,335,yes,间歇出现,趋势包含阶段性不出现,8,6,14,2024-12,2025-12,2025-01,1,2,yes,
安全工程师,安全,68,492,yes,先上升后下降,常规月度波动,28,18,2,2024-12,2026-07,2025-01,1,2,yes,
网络工程师,基础设施,28,213,yes,先上升后下降,常规月度波动,25,15,5,2024-12,2026-07,2025-12,1,3,yes,
数据库工程师,基础设施,14,171,yes,稳定波动,常规月度波动,23,17,3,2024-12,2026-07,2025-02,1,2,yes,
服务器工程师,基础设施,34,255,yes,间歇出现,趋势包含阶段性不出现,18,10,10,2025-01,2026-06,2025-01,1,2,yes,
技术支持工程师,技术支持,157,1010,yes,间歇出现,趋势包含阶段性不出现,20,8,12,2024-12,2026-05,2025-01,2,3,yes,
解决方案工程师,技术支持,154,590,yes,先上升后稳定,常规月度波动,57,19,1,2024-12,2026-07,2025-08,1,4,yes,
机器人算法工程师,机器人,3,24,yes,先上升后稳定,小样本岗位，允许较多月份不出现,12,12,8,2025-01,2026-07,2025-01,1,1,yes,真实JD样本较少
机器人软件工程师,机器人,6,65,yes,稳定波动,小样本岗位，允许较多月份不出现,17,16,4,2025-01,2026-07,2025-08,1,2,yes,真实JD样本较少
自动驾驶算法工程师,自动驾驶,27,225,yes,消失后再出现,趋势包含阶段性不出现,18,11,9,2024-12,2026-07,2024-12,1,2,yes,
控制算法工程师,算法,11,51,yes,持续上升,常规月度波动,23,16,4,2024-12,2026-07,2025-06,1,2,yes,
图形图像工程师,多媒体,28,179,yes,持续下降,常规月度波动,28,17,3,2024-12,2026-07,2024-12,1,2,yes,
音视频工程师,多媒体,28,216,yes,消失后再出现,趋势包含阶段性不出现,17,12,8,2024-12,2026-07,2025-02,1,2,yes,
通信工程师,通信,167,1354,yes,先上升后稳定,常规月度波动,40,20,0,2024-12,2026-07,2025-09,1,3,no,
芯片设计工程师,芯片,338,2411,yes,稳定波动,常规月度波动,51,19,1,2024-12,2026-07,2025-01,2,4,yes,
芯片验证工程师,芯片,72,450,yes,消失后再出现,趋势包含阶段性不出现,26,17,3,2024-12,2026-07,2024-12,1,2,yes,
芯片测试工程师,芯片,6,41,yes,间歇出现,小样本岗位，允许较多月份不出现,16,9,11,2025-05,2026-06,2025-05,1,2,yes,真实JD样本较少
FPGA工程师,芯片,0,0,no,无样本不生成,无真实JD和技能池，按方案1保留标准岗位但不生成事件,0,0,20,,,,0,0,no,无可用真实JD样本；无技能池
电源工程师,硬件,67,171,yes,间歇出现,趋势包含阶段性不出现,18,11,9,2024-12,2026-06,2024-12,1,2,yes,
结构工程师,硬件,60,161,yes,消失后再出现,趋势包含阶段性不出现,36,17,3,2024-12,2026-07,2025-02,1,3,yes,
热设计工程师,硬件,12,61,yes,先上升后稳定,常规月度波动,22,12,8,2024-12,2026-05,2025-01,1,2,yes,
硬件工程师,硬件,222,974,yes,稳定波动,常规月度波动,41,20,0,2024-12,2026-07,2025-01,1,3,no,
AI产品经理,产品,95,357,yes,先上升后下降,常规月度波动,34,20,0,2024-12,2026-07,2024-12,1,2,no,
