standard_job,standard_category,month,month_index,demand_trend_type,planned_jd_count,is_active_month
AI安全工程师,AI安全,2025-05,6,消失后再出现,2,yes
AI安全工程师,AI安全,2025-06,7,消失后再出现,1,yes
AI安全工程师,AI安全,2025-07,8,消失后再出现,1,yes
AI安全工程师,AI安全,2025-08,9,消失后再出现,0,no
AI安全工程师,AI安全,2025-09,10,消失后再出现,2,yes
AI安全工程师,AI安全,2025-10,11,消失后再出现,0,no
AI安全工程师,AI安全,2025-11,12,消失后再出现,0,no
AI安全工程师,AI安全,2025-12,13,消失后再出现,0,no
AI安全工程师,AI安全,2026-01,14,消失后再出现,0,no
AI安全工程师,AI安全,2026-02,15,消失后再出现,0,no
AI安全工程师,AI安全,2026-03,16,消失后再出现,1,yes
AI安全工程师,AI安全,2026-04,17,消失后再出现,2,yes
AI安全工程师,AI安全,2026-05,18,消失后再出现,0,no
AI安全工程师,AI安全,2026-06,19,消失后再出现,0,no
AI安全工程师,AI安全,2026-07,20,消失后再出现,3,yes
AI Infra工程师,AI基础设施,2024-12,1,持续下降,3,yes
AI Infra工程师,AI基础设施,2025-01,2,持续下降,3,yes
AI Infra工程师,AI基础设施,2025-02,3,持续下降,0,no
AI Infra工程师,AI基础设施,2025-03,4,持续下降,3,yes
AI Infra工程师,AI基础设施,2025-04,5,持续下降,2,yes
AI Infra工程师,AI基础设施,2025-05,6,持续下降,2,yes
AI Infra工程师,AI基础设施,2025-06,7,持续下降,2,yes
AI Infra工程师,AI基础设施,2025-07,8,持续下降,2,yes
AI Infra工程师,AI基础设施,2025-08,9,持续下降,2,yes
AI Infra工程师,AI基础设施,2025-09,10,持续下降,2,yes
AI Infra工程师,AI基础设施,2025-10,11,持续下降,2,yes
AI Infra工程师,AI基础设施,2025-11,12,持续下降,1,yes
AI Infra工程师,AI基础设施,2025-12,13,持续下降,0,no
AI Infra工程师,AI基础设施,2026-01,14,持续下降,1,yes
AI Infra工程师,AI基础设施,2026-02,15,持续下降,1,yes
AI Infra工程师,AI基础设施,2026-03,16,持续下降,2,yes
AI Infra工程师,AI基础设施,2026-04,17,持续下降,1,yes
AI Infra工程师,AI基础设施,2026-05,18,持续下降,2,yes
AI Infra工程师,AI基础设施,2026-06,19,持续下降,1,yes
AI Infra工程师,AI基础设施,2026-07,20,持续下降,1,yes
AIGC算法工程师,AI算法,2024-12,1,稳定波动,2,yes
AIGC算法工程师,AI算法,2025-01,2,稳定波动,2,yes
AIGC算法工程师,AI算法,2025-02,3,稳定波动,3,yes
AIGC算法工程师,AI算法,2025-03,4,稳定波动,2,yes
AIGC算法工程师,AI算法,2025-04,5,稳定波动,2,yes
AIGC算法工程师,AI算法,2025-05,6,稳定波动,0,no
AIGC算法工程师,AI算法,2025-06,7,稳定波动,2,yes
AIGC算法工程师,AI算法,2025-07,8,稳定波动,2,yes
AIGC算法工程师,AI算法,2025-08,9,稳定波动,2,yes
AIGC算法工程师,AI算法,2025-09,10,稳定波动,3,yes
AIGC算法工程师,AI算法,2025-10,11,稳定波动,2,yes
AIGC算法工程师,AI算法,2025-11,12,稳定波动,1,yes
AIGC算法工程师,AI算法,2025-12,13,稳定波动,2,yes
AIGC算法工程师,AI算法,2026-01,14,稳定波动,2,yes
AIGC算法工程师,AI算法,2026-02,15,稳定波动,2,yes
AIGC算法工程师,AI算法,2026-03,16,稳定波动,3,yes
AIGC算法工程师,AI算法,2026-04,17,稳定波动,2,yes
AIGC算法工程师,AI算法,2026-05,18,稳定波动,2,yes
AIGC算法工程师,AI算法,2026-06,19,稳定波动,2,yes
AIGC算法工程师,AI算法,2026-07,20,稳定波动,1,yes
多模态算法工程师,AI算法,2024-12,1,先上升后下降,2,yes
多模态算法工程师,AI算法,2025-01,2,先上升后下降,2,yes
多模态算法工程师,AI算法,2025-02,3,先上升后下降,1,yes
多模态算法工程师,AI算法,2025-03,4,先上升后下降,2,yes
多模态算法工程师,AI算法,2025-04,5,先上升后下降,1,yes
多模态算法工程师,AI算法,2025-05,6,先上升后下降,2,yes
多模态算法工程师,AI算法,2025-06,7,先上升后下降,3,yes
多模态算法工程师,AI算法,2025-07,8,先上升后下降,3,yes
多模态算法工程师,AI算法,2025-08,9,先上升后下降,2,yes
多模态算法工程师,AI算法,2025-09,10,先上升后下降,3,yes
多模态算法工程师,AI算法,2025-10,11,先上升后下降,3,yes
多模态算法工程师,AI算法,2025-11,12,先上升后下降,3,yes
多模态算法工程师,AI算法,2025-12,13,先上升后下降,3,yes
多模态算法工程师,AI算法,2026-01,14,先上升后下降,0,no
多模态算法工程师,AI算法,2026-02,15,先上升后下降,4,yes
多模态算法工程师,AI算法,2026-03,16,先上升后下降,3,yes
多模态算法工程师,AI算法,2026-04,17,先上升后下降,3,yes
多模态算法工程师,AI算法,2026-05,18,先上升后下降,2,yes
多模态算法工程师,AI算法,2026-06,19,先上升后下降,1,yes
多模态算法工程师,AI算法,2026-07,20,先上升后下降,2,yes
NLP算法工程师,AI算法,2024-12,1,稳定波动,2,yes
NLP算法工程师,AI算法,2025-01,2,稳定波动,3,yes
NLP算法工程师,AI算法,2025-02,3,稳定波动,2,yes
NLP算法工程师,AI算法,2025-03,4,稳定波动,2,yes
NLP算法工程师,AI算法,2025-04,5,稳定波动,2,yes
NLP算法工程师,AI算法,2025-05,6,稳定波动,1,yes
NLP算法工程师,AI算法,2025-06,7,稳定波动,1,yes
NLP算法工程师,AI算法,2025-07,8,稳定波动,2,yes
NLP算法工程师,AI算法,2025-08,9,稳定波动,3,yes
NLP算法工程师,AI算法,2025-09,10,稳定波动,3,yes
NLP算法工程师,AI算法,2025-10,11,稳定波动,3,yes
NLP算法工程师,AI算法,2025-11,12,稳定波动,2,yes
NLP算法工程师,AI算法,2025-12,13,稳定波动,2,yes
NLP算法工程师,AI算法,2026-01,14,稳定波动,2,yes
NLP算法工程师,AI算法,2026-02,15,稳定波动,2,yes
NLP算法工程师,AI算法,2026-03,16,稳定波动,3,yes
NLP算法工程师,AI算法,2026-04,17,稳定波动,3,yes
NLP算法工程师,AI算法,2026-05,18,稳定波动,2,yes
NLP算法工程师,AI算法,2026-06,19,稳定波动,2,yes
NLP算法工程师,AI算法,2026-07,20,稳定波动,1,yes
计算机视觉算法工程师,AI算法,2024-12,1,稳定波动,2,yes
计算机视觉算法工程师,AI算法,2025-01,2,稳定波动,3,yes
计算机视觉算法工程师,AI算法,2025-02,3,稳定波动,3,yes
计算机视觉算法工程师,AI算法,2025-03,4,稳定波动,2,yes
计算机视觉算法工程师,AI算法,2025-04,5,稳定波动,2,yes
计算机视觉算法工程师,AI算法,2025-05,6,稳定波动,1,yes
计算机视觉算法工程师,AI算法,2025-06,7,稳定波动,2,yes
计算机视觉算法工程师,AI算法,2025-07,8,稳定波动,2,yes
计算机视觉算法工程师,AI算法,2025-08,9,稳定波动,2,yes
计算机视觉算法工程师,AI算法,2025-09,10,稳定波动,2,yes
计算机视觉算法工程师,AI算法,2025-10,11,稳定波动,2,yes
计算机视觉算法工程师,AI算法,2025-11,12,稳定波动,2,yes
计算机视觉算法工程师,AI算法,2025-12,13,稳定波动,2,yes
计算机视觉算法工程师,AI算法,2026-01,14,稳定波动,2,yes
计算机视觉算法工程师,AI算法,2026-02,15,稳定波动,2,yes
计算机视觉算法工程师,AI算法,2026-03,16,稳定波动,2,yes
计算机视觉算法工程师,AI算法,2026-04,17,稳定波动,3,yes
计算机视觉算法工程师,AI算法,2026-05,18,稳定波动,2,yes
计算机视觉算法工程师,AI算法,2026-06,19,稳定波动,2,yes
计算机视觉算法工程师,AI算法,2026-07,20,稳定波动,1,yes
语音算法工程师,AI算法,2024-12,1,先上升后稳定,2,yes
语音算法工程师,AI算法,2025-01,2,先上升后稳定,2,yes
语音算法工程师,AI算法,2025-02,3,先上升后稳定,0,no
语音算法工程师,AI算法,2025-03,4,先上升后稳定,1,yes
语音算法工程师,AI算法,2025-04,5,先上升后稳定,2,yes
语音算法工程师,AI算法,2025-05,6,先上升后稳定,2,yes
语音算法工程师,AI算法,2025-06,7,先上升后稳定,2,yes
语音算法工程师,AI算法,2025-07,8,先上升后稳定,2,yes
语音算法工程师,AI算法,2025-08,9,先上升后稳定,3,yes
语音算法工程师,AI算法,2025-09,10,先上升后稳定,3,yes
语音算法工程师,AI算法,2025-10,11,先上升后稳定,3,yes
语音算法工程师,AI算法,2025-11,12,先上升后稳定,3,yes
语音算法工程师,AI算法,2025-12,13,先上升后稳定,3,yes
语音算法工程师,AI算法,2026-01,14,先上升后稳定,3,yes
语音算法工程师,AI算法,2026-02,15,先上升后稳定,3,yes
语音算法工程师,AI算法,2026-03,16,先上升后稳定,3,yes
语音算法工程师,AI算法,2026-04,17,先上升后稳定,3,yes
语音算法工程师,AI算法,2026-05,18,先上升后稳定,3,yes
语音算法工程师,AI算法,2026-06,19,先上升后稳定,3,yes
语音算法工程师,AI算法,2026-07,20,先上升后稳定,3,yes
推荐算法工程师,算法,2024-12,1,先上升后下降,2,yes
推荐算法工程师,算法,2025-01,2,先上升后下降,1,yes
推荐算法工程师,算法,2025-02,3,先上升后下降,1,yes
推荐算法工程师,算法,2025-03,4,先上升后下降,2,yes
推荐算法工程师,算法,2025-04,5,先上升后下降,2,yes
推荐算法工程师,算法,2025-05,6,先上升后下降,2,yes
推荐算法工程师,算法,2025-06,7,先上升后下降,3,yes
推荐算法工程师,算法,2025-07,8,先上升后下降,0,no
推荐算法工程师,算法,2025-08,9,先上升后下降,3,yes
推荐算法工程师,算法,2025-09,10,先上升后下降,3,yes
推荐算法工程师,算法,2025-10,11,先上升后下降,4,yes
推荐算法工程师,算法,2025-11,12,先上升后下降,5,yes
推荐算法工程师,算法,2025-12,13,先上升后下降,4,yes
推荐算法工程师,算法,2026-01,14,先上升后下降,3,yes
推荐算法工程师,算法,2026-02,15,先上升后下降,3,yes
推荐算法工程师,算法,2026-03,16,先上升后下降,2,yes
推荐算法工程师,算法,2026-04,17,先上升后下降,2,yes
推荐算法工程师,算法,2026-05,18,先上升后下降,2,yes
推荐算法工程师,算法,2026-06,19,先上升后下降,2,yes
推荐算法工程师,算法,2026-07,20,先上升后下降,1,yes
搜索算法工程师,算法,2024-12,1,持续上升,2,yes
搜索算法工程师,算法,2025-01,2,持续上升,2,yes
搜索算法工程师,算法,2025-02,3,持续上升,2,yes
搜索算法工程师,算法,2025-03,4,持续上升,2,yes
搜索算法工程师,算法,2025-04,5,持续上升,2,yes
搜索算法工程师,算法,2025-05,6,持续上升,1,yes
搜索算法工程师,算法,2025-06,7,持续上升,1,yes
搜索算法工程师,算法,2025-07,8,持续上升,1,yes
搜索算法工程师,算法,2025-08,9,持续上升,1,yes
搜索算法工程师,算法,2025-09,10,持续上升,2,yes
搜索算法工程师,算法,2025-10,11,持续上升,0,no
搜索算法工程师,算法,2025-11,12,持续上升,2,yes
搜索算法工程师,算法,2025-12,13,持续上升,2,yes
搜索算法工程师,算法,2026-01,14,持续上升,2,yes
搜索算法工程师,算法,2026-02,15,持续上升,2,yes
搜索算法工程师,算法,2026-03,16,持续上升,2,yes
搜索算法工程师,算法,2026-04,17,持续上升,3,yes
搜索算法工程师,算法,2026-05,18,持续上升,3,yes
搜索算法工程师,算法,2026-06,19,持续上升,2,yes
搜索算法工程师,算法,2026-07,20,持续上升,3,yes
广告算法工程师,算法,2024-12,1,先上升后下降,2,yes
广告算法工程师,算法,2025-01,2,先上升后下降,2,yes
广告算法工程师,算法,2025-02,3,先上升后下降,1,yes
广告算法工程师,算法,2025-03,4,先上升后下降,1,yes
广告算法工程师,算法,2025-04,5,先上升后下降,1,yes
广告算法工程师,算法,2025-05,6,先上升后下降,2,yes
广告算法工程师,算法,2025-06,7,先上升后下降,2,yes
广告算法工程师,算法,2025-07,8,先上升后下降,2,yes
广告算法工程师,算法,2025-08,9,先上升后下降,2,yes
广告算法工程师,算法,2025-09,10,先上升后下降,3,yes
广告算法工程师,算法,2025-10,11,先上升后下降,3,yes
广告算法工程师,算法,2025-11,12,先上升后下降,3,yes
广告算法工程师,算法,2025-12,13,先上升后下降,3,yes
广告算法工程师,算法,2026-01,14,先上升后下降,0,no
广告算法工程师,算法,2026-02,15,先上升后下降,2,yes
广告算法工程师,算法,2026-03,16,先上升后下降,2,yes
广告算法工程师,算法,2026-04,17,先上升后下降,2,yes
广告算法工程师,算法,2026-05,18,先上升后下降,2,yes
广告算法工程师,算法,2026-06,19,先上升后下降,1,yes
广告算法工程师,算法,2026-07,20,先上升后下降,1,yes
风控算法工程师,算法,2024-12,1,持续下降,3,yes
风控算法工程师,算法,2025-01,2,持续下降,3,yes
风控算法工程师,算法,2025-02,3,持续下降,3,yes
风控算法工程师,算法,2025-03,4,持续下降,3,yes
风控算法工程师,算法,2025-04,5,持续下降,2,yes
风控算法工程师,算法,2025-05,6,持续下降,2,yes
风控算法工程师,算法,2025-06,7,持续下降,2,yes
风控算法工程师,算法,2025-07,8,持续下降,2,yes
风控算法工程师,算法,2025-08,9,持续下降,2,yes
风控算法工程师,算法,2025-09,10,持续下降,2,yes
风控算法工程师,算法,2025-10,11,持续下降,2,yes
风控算法工程师,算法,2025-11,12,持续下降,1,yes
风控算法工程师,算法,2025-12,13,持续下降,1,yes
风控算法工程师,算法,2026-01,14,持续下降,1,yes
风控算法工程师,算法,2026-02,15,持续下降,2,yes
风控算法工程师,算法,2026-03,16,持续下降,2,yes
风控算法工程师,算法,2026-04,17,持续下降,1,yes
风控算法工程师,算法,2026-05,18,持续下降,0,no
风控算法工程师,算法,2026-06,19,持续下降,2,yes
风控算法工程师,算法,2026-07,20,持续下降,1,yes
机器学习算法工程师,AI算法,2024-12,1,稳定波动,2,yes
机器学习算法工程师,AI算法,2025-01,2,稳定波动,3,yes
机器学习算法工程师,AI算法,2025-02,3,稳定波动,3,yes
机器学习算法工程师,AI算法,2025-03,4,稳定波动,2,yes
机器学习算法工程师,AI算法,2025-04,5,稳定波动,2,yes
机器学习算法工程师,AI算法,2025-05,6,稳定波动,2,yes
机器学习算法工程师,AI算法,2025-06,7,稳定波动,2,yes
机器学习算法工程师,AI算法,2025-07,8,稳定波动,2,yes
机器学习算法工程师,AI算法,2025-08,9,稳定波动,3,yes
机器学习算法工程师,AI算法,2025-09,10,稳定波动,3,yes
机器学习算法工程师,AI算法,2025-10,11,稳定波动,2,yes
机器学习算法工程师,AI算法,2025-11,12,稳定波动,2,yes
机器学习算法工程师,AI算法,2025-12,13,稳定波动,2,yes
机器学习算法工程师,AI算法,2026-01,14,稳定波动,2,yes
机器学习算法工程师,AI算法,2026-02,15,稳定波动,3,yes
机器学习算法工程师,AI算法,2026-03,16,稳定波动,3,yes
机器学习算法工程师,AI算法,2026-04,17,稳定波动,3,yes
机器学习算法工程师,AI算法,2026-05,18,稳定波动,3,yes
机器学习算法工程师,AI算法,2026-06,19,稳定波动,3,yes
机器学习算法工程师,AI算法,2026-07,20,稳定波动,2,yes
数据挖掘算法工程师,算法,2024-12,1,间歇出现,0,no
数据挖掘算法工程师,算法,2025-01,2,间歇出现,2,yes
数据挖掘算法工程师,算法,2025-02,3,间歇出现,2,yes
数据挖掘算法工程师,算法,2025-03,4,间歇出现,0,no
数据挖掘算法工程师,算法,2025-04,5,间歇出现,0,no
数据挖掘算法工程师,算法,2025-05,6,间歇出现,0,no
数据挖掘算法工程师,算法,2025-06,7,间歇出现,1,yes
数据挖掘算法工程师,算法,2025-07,8,间歇出现,2,yes
数据挖掘算法工程师,算法,2025-08,9,间歇出现,0,no
数据挖掘算法工程师,算法,2025-09,10,间歇出现,2,yes
数据挖掘算法工程师,算法,2025-10,11,间歇出现,2,yes
数据挖掘算法工程师,算法,2025-11,12,间歇出现,0,no
数据挖掘算法工程师,算法,2025-12,13,间歇出现,0,no
数据挖掘算法工程师,算法,2026-01,14,间歇出现,0,no
数据挖掘算法工程师,算法,2026-02,15,间歇出现,2,yes
数据挖掘算法工程师,算法,2026-03,16,间歇出现,0,no
数据挖掘算法工程师,算法,2026-04,17,间歇出现,0,no
数据挖掘算法工程师,算法,2026-05,18,间歇出现,0,no
数据挖掘算法工程师,算法,2026-06,19,间歇出现,2,yes
数据挖掘算法工程师,算法,2026-07,20,间歇出现,0,no
算法研究员,AI算法,2024-12,1,稳定波动,2,yes
算法研究员,AI算法,2025-01,2,稳定波动,2,yes
算法研究员,AI算法,2025-02,3,稳定波动,2,yes
算法研究员,AI算法,2025-03,4,稳定波动,2,yes
算法研究员,AI算法,2025-04,5,稳定波动,2,yes
算法研究员,AI算法,2025-05,6,稳定波动,1,yes
算法研究员,AI算法,2025-06,7,稳定波动,1,yes
算法研究员,AI算法,2025-07,8,稳定波动,2,yes
算法研究员,AI算法,2025-08,9,稳定波动,2,yes
算法研究员,AI算法,2025-09,10,稳定波动,2,yes
算法研究员,AI算法,2025-10,11,稳定波动,2,yes
算法研究员,AI算法,2025-11,12,稳定波动,0,no
算法研究员,AI算法,2025-12,13,稳定波动,1,yes
算法研究员,AI算法,2026-01,14,稳定波动,1,yes
算法研究员,AI算法,2026-02,15,稳定波动,1,yes
算法研究员,AI算法,2026-03,16,稳定波动,2,yes
算法研究员,AI算法,2026-04,17,稳定波动,2,yes
算法研究员,AI算法,2026-05,18,稳定波动,0,no
算法研究员,AI算法,2026-06,19,稳定波动,1,yes
算法研究员,AI算法,2026-07,20,稳定波动,1,yes
算法工程师,AI算法,2024-12,1,持续上升,2,yes
算法工程师,AI算法,2025-01,2,持续上升,1,yes
算法工程师,AI算法,2025-02,3,持续上升,1,yes
算法工程师,AI算法,2025-03,4,持续上升,1,yes
算法工程师,AI算法,2025-04,5,持续上升,1,yes
算法工程师,AI算法,2025-05,6,持续上升,2,yes
算法工程师,AI算法,2025-06,7,持续上升,2,yes
算法工程师,AI算法,2025-07,8,持续上升,2,yes
算法工程师,AI算法,2025-08,9,持续上升,3,yes
算法工程师,AI算法,2025-09,10,持续上升,2,yes
算法工程师,AI算法,2025-10,11,持续上升,3,yes
算法工程师,AI算法,2025-11,12,持续上升,4,yes
算法工程师,AI算法,2025-12,13,持续上升,3,yes
算法工程师,AI算法,2026-01,14,持续上升,4,yes
算法工程师,AI算法,2026-02,15,持续上升,4,yes
算法工程师,AI算法,2026-03,16,持续上升,5,yes
算法工程师,AI算法,2026-04,17,持续上升,3,yes
算法工程师,AI算法,2026-05,18,持续上升,5,yes
算法工程师,AI算法,2026-06,19,持续上升,6,yes
算法工程师,AI算法,2026-07,20,持续上升,5,yes
后端开发工程师,软件研发,2024-12,1,先上升后稳定,0,no
后端开发工程师,软件研发,2025-01,2,先上升后稳定,2,yes
后端开发工程师,软件研发,2025-02,3,先上升后稳定,2,yes
后端开发工程师,软件研发,2025-03,4,先上升后稳定,2,yes
后端开发工程师,软件研发,2025-04,5,先上升后稳定,3,yes
后端开发工程师,软件研发,2025-05,6,先上升后稳定,3,yes
后端开发工程师,软件研发,2025-06,7,先上升后稳定,3,yes
后端开发工程师,软件研发,2025-07,8,先上升后稳定,4,yes
后端开发工程师,软件研发,2025-08,9,先上升后稳定,4,yes
后端开发工程师,软件研发,2025-09,10,先上升后稳定,4,yes
后端开发工程师,软件研发,2025-10,11,先上升后稳定,4,yes
后端开发工程师,软件研发,2025-11,12,先上升后稳定,5,yes
后端开发工程师,软件研发,2025-12,13,先上升后稳定,4,yes
后端开发工程师,软件研发,2026-01,14,先上升后稳定,6,yes
后端开发工程师,软件研发,2026-02,15,先上升后稳定,5,yes
后端开发工程师,软件研发,2026-03,16,先上升后稳定,4,yes
后端开发工程师,软件研发,2026-04,17,先上升后稳定,4,yes
后端开发工程师,软件研发,2026-05,18,先上升后稳定,5,yes
后端开发工程师,软件研发,2026-06,19,先上升后稳定,4,yes
后端开发工程师,软件研发,2026-07,20,先上升后稳定,5,yes
前端开发工程师,软件研发,2024-12,1,先上升后稳定,0,no
前端开发工程师,软件研发,2025-01,2,先上升后稳定,1,yes
前端开发工程师,软件研发,2025-02,3,先上升后稳定,2,yes
前端开发工程师,软件研发,2025-03,4,先上升后稳定,2,yes
前端开发工程师,软件研发,2025-04,5,先上升后稳定,2,yes
前端开发工程师,软件研发,2025-05,6,先上升后稳定,3,yes
前端开发工程师,软件研发,2025-06,7,先上升后稳定,2,yes
前端开发工程师,软件研发,2025-07,8,先上升后稳定,3,yes
前端开发工程师,软件研发,2025-08,9,先上升后稳定,3,yes
前端开发工程师,软件研发,2025-09,10,先上升后稳定,3,yes
前端开发工程师,软件研发,2025-10,11,先上升后稳定,4,yes
前端开发工程师,软件研发,2025-11,12,先上升后稳定,3,yes
前端开发工程师,软件研发,2025-12,13,先上升后稳定,4,yes
前端开发工程师,软件研发,2026-01,14,先上升后稳定,4,yes
前端开发工程师,软件研发,2026-02,15,先上升后稳定,4,yes
前端开发工程师,软件研发,2026-03,16,先上升后稳定,3,yes
前端开发工程师,软件研发,2026-04,17,先上升后稳定,3,yes
前端开发工程师,软件研发,2026-05,18,先上升后稳定,4,yes
前端开发工程师,软件研发,2026-06,19,先上升后稳定,3,yes
前端开发工程师,软件研发,2026-07,20,先上升后稳定,4,yes
全栈开发工程师,软件研发,2024-12,1,先上升后下降,2,yes
全栈开发工程师,软件研发,2025-01,2,先上升后下降,1,yes
全栈开发工程师,软件研发,2025-02,3,先上升后下降,2,yes
全栈开发工程师,软件研发,2025-03,4,先上升后下降,2,yes
全栈开发工程师,软件研发,2025-04,5,先上升后下降,2,yes
全栈开发工程师,软件研发,2025-05,6,先上升后下降,3,yes
全栈开发工程师,软件研发,2025-06,7,先上升后下降,3,yes
全栈开发工程师,软件研发,2025-07,8,先上升后下降,3,yes
全栈开发工程师,软件研发,2025-08,9,先上升后下降,3,yes
全栈开发工程师,软件研发,2025-09,10,先上升后下降,3,yes
全栈开发工程师,软件研发,2025-10,11,先上升后下降,4,yes
全栈开发工程师,软件研发,2025-11,12,先上升后下降,3,yes
全栈开发工程师,软件研发,2025-12,13,先上升后下降,3,yes
全栈开发工程师,软件研发,2026-01,14,先上升后下降,3,yes
全栈开发工程师,软件研发,2026-02,15,先上升后下降,3,yes
全栈开发工程师,软件研发,2026-03,16,先上升后下降,2,yes
全栈开发工程师,软件研发,2026-04,17,先上升后下降,2,yes
全栈开发工程师,软件研发,2026-05,18,先上升后下降,2,yes
全栈开发工程师,软件研发,2026-06,19,先上升后下降,2,yes
全栈开发工程师,软件研发,2026-07,20,先上升后下降,1,yes
Java开发工程师,软件研发,2024-12,1,稳定波动,3,yes
Java开发工程师,软件研发,2025-01,2,稳定波动,4,yes
Java开发工程师,软件研发,2025-02,3,稳定波动,0,no
Java开发工程师,软件研发,2025-03,4,稳定波动,3,yes
Java开发工程师,软件研发,2025-04,5,稳定波动,2,yes
Java开发工程师,软件研发,2025-05,6,稳定波动,2,yes
Java开发工程师,软件研发,2025-06,7,稳定波动,2,yes
Java开发工程师,软件研发,2025-07,8,稳定波动,3,yes
Java开发工程师,软件研发,2025-08,9,稳定波动,4,yes
Java开发工程师,软件研发,2025-09,10,稳定波动,4,yes
Java开发工程师,软件研发,2025-10,11,稳定波动,3,yes
Java开发工程师,软件研发,2025-11,12,稳定波动,2,yes
Java开发工程师,软件研发,2025-12,13,稳定波动,2,yes
Java开发工程师,软件研发,2026-01,14,稳定波动,3,yes
Java开发工程师,软件研发,2026-02,15,稳定波动,3,yes
Java开发工程师,软件研发,2026-03,16,稳定波动,4,yes
Java开发工程师,软件研发,2026-04,17,稳定波动,4,yes
Java开发工程师,软件研发,2026-05,18,稳定波动,0,no
Java开发工程师,软件研发,2026-06,19,稳定波动,3,yes
Java开发工程师,软件研发,2026-07,20,稳定波动,2,yes
C++开发工程师,软件研发,2024-12,1,间歇出现,2,yes
