standard_job,standard_category,skill,kg_display_skill,skill_stage,source_row_count,traditional_source_row_count,new_source_row_count
大模型算法工程师,AI算法,知识图谱,知识图谱,new,39,28,11
大模型算法工程师,AI算法,AI算法,AI,new,35,0,35
大模型算法工程师,AI算法,Spark,数据工程,traditional,33,33,0
大模型算法工程师,AI算法,模型微调,大模型,new,33,0,33
大模型算法工程师,AI算法,自然语言处理,AI,traditional,32,0,32
大模型算法工程师,AI算法,Diffusion,大模型,new,31,0,31
大模型算法工程师,AI算法,Multi-Agent,大模型,new,31,0,31
大模型算法工程师,AI算法,模型对齐,大模型,new,31,31,0
大模型算法工程师,AI算法,ASR,大模型,new,30,5,25
大模型算法工程师,AI算法,模型调优,大模型,new,28,28,0
大模型算法工程师,AI算法,模型评测,大模型,new,27,15,12
大模型算法工程师,AI算法,模型部署,大模型,new,26,0,26
大模型算法工程师,AI算法,AI工作流设计,AI,new,25,25,0
大模型算法工程师,AI算法,LoRA微调,大模型,new,25,0,25
大模型算法工程师,AI算法,数据工程,数据工程,traditional,25,25,0
大模型算法工程师,AI算法,深度学习框架,AI,traditional,25,0,25
大模型算法工程师,AI算法,大模型后训练,大模型,new,24,0,24
大模型算法工程师,AI算法,Ai coding,AI,new,22,12,10
大模型算法工程师,AI算法,信息检索,AI,traditional,22,22,0
大模型算法工程师,AI算法,推理优化,大模型,new,22,0,22
大模型算法工程师,AI算法,模型工程,大模型,new,21,21,0
大模型算法工程师,AI算法,机器人与自动驾驶,机器人与自动驾驶,new,20,7,13
大模型算法工程师,AI算法,算法工程,算法与数学,traditional,20,20,0
大模型算法工程师,AI算法,上下文工程,大模型,new,19,19,0
大模型算法工程师,AI算法,Hadoop,数据工程,traditional,18,18,0
大模型算法工程师,AI算法,Multimodal AI,大模型,new,18,17,1
大模型算法工程师,AI算法,TensorRT,大模型,new,18,18,0
大模型算法工程师,AI算法,Tool Use,大模型,new,17,17,0
大模型算法工程师,AI算法,CUDA,硬件与芯片,new,16,16,0
大模型算法工程师,AI算法,Diffusion模型,大模型,new,16,14,2
大模型算法工程师,AI算法,React,编程语言,traditional,16,16,0
大模型算法工程师,AI算法,大模型评测,大模型,new,16,0,16
大模型算法工程师,AI算法,Function Calling,大模型,new,15,0,15
大模型算法工程师,AI算法,世界模型,大模型,new,15,15,0
大模型算法工程师,AI算法,模型推理,大模型,new,15,15,0
大模型算法工程师,AI算法,Context Engineering,大模型,new,14,14,0
大模型算法工程师,AI算法,分布式系统,软件工程,traditional,14,14,0
大模型算法工程师,AI算法,SGLang,大模型,new,13,13,0
大模型算法工程师,AI算法,模型并行,大模型,new,13,13,0
大模型算法工程师,AI算法,AutoGen,大模型,new,11,0,11
大模型算法工程师,AI算法,Flink,数据工程,traditional,11,11,0
大模型算法工程师,AI算法,分布式计算,数据工程,traditional,11,11,0
大模型算法工程师,AI算法,序列建模,AI,new,11,11,0
大模型算法工程师,AI算法,高性能计算,硬件与芯片,new,11,11,0
大模型算法工程师,AI算法,因果推断,算法与数学,new,10,10,0
大模型算法工程师,AI算法,特征工程,数据工程,traditional,10,10,0
大模型算法工程师,AI算法,音视频技术,音视频技术,traditional,10,10,0
大模型算法工程师,AI算法,MCP,大模型,new,9,0,9
大模型算法工程师,AI算法,向量数据库,数据工程,new,9,0,9
大模型算法工程师,AI算法,大模型调优,大模型,new,9,0,9
大模型算法工程师,AI算法,数字人技术,AI,new,9,9,0
大模型算法工程师,AI算法,时间序列算法,算法与数学,traditional,9,9,0
大模型算法工程师,AI算法,稀疏计算,硬件与芯片,new,9,9,0
大模型算法工程师,AI算法,Triton,大模型,new,8,8,0
大模型算法工程师,AI算法,大模型强化,大模型,new,8,7,1
大模型算法工程师,AI算法,AI应用开发,AI,new,7,0,7
大模型算法工程师,AI算法,Rust,编程语言,traditional,7,7,0
大模型算法工程师,AI算法,Scala,编程语言,traditional,7,7,0
大模型算法工程师,AI算法,异构计算,硬件与芯片,new,7,7,0
大模型算法工程师,AI算法,LangGraph,大模型,new,6,0,6
大模型算法工程师,AI算法,Memory,大模型,new,6,6,0
大模型算法工程师,AI算法,VLA模型,大模型,new,6,6,0
大模型算法工程师,AI算法,偏好学习,AI,new,6,6,0
大模型算法工程师,AI算法,在线服务,软件开发,traditional,6,6,0
大模型算法工程师,AI算法,大模型安全,大模型,new,6,5,1
大模型算法工程师,AI算法,异常检测,软件工程,new,6,6,0
大模型算法工程师,AI算法,操作系统,系统与运维,traditional,6,6,0
大模型算法工程师,AI算法,编程语言,编程语言,traditional,6,6,0
大模型算法工程师,AI算法,Hive,数据工程,traditional,5,5,0
大模型算法工程师,AI算法,Ray,AI,traditional,5,5,0
大模型算法工程师,AI算法,Shell脚本,编程语言,traditional,5,5,0
大模型算法工程师,AI算法,仿真技术,科学计算与仿真,traditional,5,5,0
大模型算法工程师,AI算法,信息安全,安全,traditional,5,5,0
大模型算法工程师,AI算法,跨语言技术,软件开发,traditional,5,4,1
大模型算法工程师,AI算法,AIops,系统与运维,new,4,0,4
大模型算法工程师,AI算法,AI安全,安全,new,4,0,4
大模型算法工程师,AI算法,AI工具,大模型,new,4,0,4
大模型算法工程师,AI算法,GPU内存优化,硬件与芯片,new,4,4,0
大模型算法工程师,AI算法,Swift,编程语言,traditional,4,4,0
大模型算法工程师,AI算法,TensorRT-LLM,大模型,new,4,0,4
大模型算法工程师,AI算法,交互技术,交互体验,traditional,4,4,0
大模型算法工程师,AI算法,可解释AI,AI,new,4,2,2
大模型算法工程师,AI算法,多任务学习,AI,new,4,4,0
大模型算法工程师,AI算法,多目标优化,算法与数学,traditional,4,4,0
大模型算法工程师,AI算法,微服务架构,软件工程,traditional,4,4,0
大模型算法工程师,AI算法,计算机网络,通信与网络,traditional,4,4,0
大模型算法工程师,AI算法,AI助手,AI,new,3,1,2
大模型算法工程师,AI算法,Attention机制,大模型,new,3,3,0
大模型算法工程师,AI算法,Embedding,大模型,new,3,0,3
大模型算法工程师,AI算法,GPU,系统与运维,traditional,3,3,0
大模型算法工程师,AI算法,Kubernetes,系统与运维,traditional,3,3,0
大模型算法工程师,AI算法,Unreal Engine,软件开发,traditional,3,3,0
大模型算法工程师,AI算法,人格化建模,AI,new,3,3,0
大模型算法工程师,AI算法,信号处理,硬件与芯片,traditional,3,3,0
大模型算法工程师,AI算法,性能优化,软件工程,traditional,3,3,0
大模型算法工程师,AI算法,模型服务化,大模型,new,3,3,0
大模型算法工程师,AI算法,硬件开发,硬件与芯片,traditional,3,3,0
大模型算法工程师,AI算法,编解码技术,音视频技术,traditional,3,3,0
大模型算法工程师,AI算法,自动化测试,软件开发,traditional,3,3,0
大模型算法工程师,AI算法,自动化算法,系统与运维,traditional,3,3,0
大模型算法工程师,AI算法,计算机体系结构,硬件与芯片,traditional,3,3,0
大模型算法工程师,AI算法,Ascend,硬件与芯片,new,2,2,0
大模型算法工程师,AI算法,Docker,系统与运维,traditional,2,2,0
大模型算法工程师,AI算法,Kafka,数据工程,traditional,2,2,0
大模型算法工程师,AI算法,Node.js,编程语言,traditional,2,2,0
大模型算法工程师,AI算法,Objective-C,编程语言,traditional,2,2,0
大模型算法工程师,AI算法,PHP,编程语言,traditional,2,2,0
大模型算法工程师,AI算法,Web爬虫,数据工程,traditional,2,2,0
大模型算法工程师,AI算法,云计算,云计算,traditional,2,2,0
大模型算法工程师,AI算法,交通算法,行业应用,traditional,2,2,0
大模型算法工程师,AI算法,位置编码,计算机视觉与图形,new,2,2,0
大模型算法工程师,AI算法,地图算法,行业应用,traditional,2,2,0
大模型算法工程师,AI算法,查询优化,数据工程,traditional,2,2,0
大模型算法工程师,AI算法,标定校准,机器人与自动驾驶,traditional,2,2,0
大模型算法工程师,AI算法,模型安全,大模型,new,2,2,0
大模型算法工程师,AI算法,模式识别,AI,new,2,2,0
大模型算法工程师,AI算法,游戏与图形开发,游戏与图形,traditional,2,1,1
大模型算法工程师,AI算法,端到端系统,软件开发,traditional,2,2,0
大模型算法工程师,AI算法,网络技术,通信与网络,traditional,2,2,0
大模型算法工程师,AI算法,自动化技术,系统与运维,traditional,2,2,0
大模型算法工程师,AI算法,软件工程,软件工程,traditional,2,2,0
大模型算法工程师,AI算法,软件测试,软件测试,traditional,2,2,0
大模型算法工程师,AI算法,通信技术,通信与网络,traditional,2,2,0
大模型算法工程师,AI算法,AI测试,AI,new,1,0,1
大模型算法工程师,AI算法,CI/CD,系统与运维,traditional,1,1,0
大模型算法工程师,AI算法,ISP算法,硬件与芯片,traditional,1,1,0
大模型算法工程师,AI算法,JavaScript,编程语言,traditional,1,1,0
大模型算法工程师,AI算法,MCP协议,软件开发,new,1,1,0
大模型算法工程师,AI算法,MoE模型,大模型,new,1,1,0
大模型算法工程师,AI算法,RISC-V,系统与运维,traditional,1,1,0
大模型算法工程师,AI算法,Redis,数据工程,traditional,1,1,0
大模型算法工程师,AI算法,SIMD,硬件与芯片,traditional,1,1,0
大模型算法工程师,AI算法,SRE,系统与运维,traditional,1,1,0
大模型算法工程师,AI算法,TypeScript,编程语言,traditional,1,1,0
大模型算法工程师,AI算法,Unix,系统与运维,traditional,1,1,0
大模型算法工程师,AI算法,harness工程,软件工程,traditional,1,1,0
大模型算法工程师,AI算法,人机交互,交互体验,traditional,1,1,0
大模型算法工程师,AI算法,信息论,算法与数学,traditional,1,1,0
大模型算法工程师,AI算法,内存管理,软件工程,traditional,1,1,0
大模型算法工程师,AI算法,冷启动优化,软件工程,traditional,1,1,0
大模型算法工程师,AI算法,分布式存储,数据工程,traditional,1,1,0
大模型算法工程师,AI算法,动作识别,计算机视觉与图形,new,1,1,0
大模型算法工程师,AI算法,动态分析,软件工程,traditional,1,1,0
大模型算法工程师,AI算法,反馈学习,AI,new,1,1,0
大模型算法工程师,AI算法,国产化适配,系统与运维,traditional,1,1,0
大模型算法工程师,AI算法,多源异构知识处理,知识图谱,new,1,1,0
大模型算法工程师,AI算法,多租户架构,系统与运维,traditional,1,1,0
大模型算法工程师,AI算法,多语言开发,软件开发,traditional,1,1,0
大模型算法工程师,AI算法,工业自动化,工业与物联网,traditional,1,0,1
大模型算法工程师,AI算法,感知算法,AI,new,1,1,0
大模型算法工程师,AI算法,手写识别,计算机视觉与图形,traditional,1,1,0
大模型算法工程师,AI算法,汇编语言,编程语言,traditional,1,1,0
大模型算法工程师,AI算法,流式计算,数据工程,traditional,1,1,0
大模型算法工程师,AI算法,流程自动化,软件工程,traditional,1,1,0
大模型算法工程师,AI算法,研发效能,软件工程,traditional,1,1,0
大模型算法工程师,AI算法,空间智能,AI,new,1,1,0
大模型算法工程师,AI算法,端到端定位,机器人与自动驾驶,new,1,1,0
大模型算法工程师,AI算法,算子开发,硬件与芯片,new,1,1,0
大模型算法工程师,AI算法,设备安全,安全,traditional,1,1,0
大模型算法工程师,AI算法,软件开发,软件开发,traditional,1,1,0
大模型算法工程师,AI算法,高性能通信,通信与网络,traditional,1,1,0
大模型应用工程师,AI应用,Python,编程语言,traditional,317,317,0
大模型应用工程师,AI应用,Agent,大模型,new,281,18,263
大模型应用工程师,AI应用,LLM,大模型,new,244,6,238
大模型应用工程师,AI应用,Go,编程语言,traditional,208,208,0
大模型应用工程师,AI应用,Java,编程语言,traditional,207,207,0
大模型应用工程师,AI应用,RAG,大模型,new,188,1,187
大模型应用工程师,AI应用,C/C++,编程语言,traditional,159,159,0
大模型应用工程师,AI应用,prompt工程,大模型,new,108,1,107
大模型应用工程师,AI应用,LangChain,大模型,new,103,0,103
大模型应用工程师,AI应用,Machine Learning,AI,new,102,22,80
大模型应用工程师,AI应用,软件开发,软件开发,traditional,75,75,0
大模型应用工程师,AI应用,Ai coding,AI,new,73,16,57
大模型应用工程师,AI应用,分布式系统,软件工程,traditional,69,69,0
大模型应用工程师,AI应用,NLP,大模型,new,68,68,0
大模型应用工程师,AI应用,机器学习,AI,traditional,67,0,67
大模型应用工程师,AI应用,数据工程,数据工程,traditional,60,60,0
大模型应用工程师,AI应用,PyTorch,AI,traditional,58,0,58
大模型应用工程师,AI应用,MCP,大模型,new,53,0,53
大模型应用工程师,AI应用,多模态,大模型,new,53,0,53
大模型应用工程师,AI应用,LangGraph,大模型,new,52,0,52
大模型应用工程师,AI应用,TypeScript,编程语言,traditional,49,49,0
大模型应用工程师,AI应用,消息队列,数据工程,traditional,49,49,0
大模型应用工程师,AI应用,Linux,系统与运维,traditional,47,47,0
大模型应用工程师,AI应用,Function Calling,大模型,new,44,0,44
大模型应用工程师,AI应用,React,编程语言,traditional,44,44,0
大模型应用工程师,AI应用,大模型应用,大模型,new,42,24,18
大模型应用工程师,AI应用,Multi-Agent,大模型,new,41,0,41
大模型应用工程师,AI应用,AIGC,AI,new,39,4,35
大模型应用工程师,AI应用,大模型训练,大模型,new,39,1,38
大模型应用工程师,AI应用,MySQL,数据工程,traditional,38,38,0
大模型应用工程师,AI应用,Redis,数据工程,traditional,37,37,0
大模型应用工程师,AI应用,SFT,大模型,new,37,0,37
大模型应用工程师,AI应用,SRE,系统与运维,traditional,37,37,0
大模型应用工程师,AI应用,JavaScript,编程语言,traditional,35,35,0
大模型应用工程师,AI应用,上下文工程,大模型,new,34,34,0
大模型应用工程师,AI应用,Transformer,大模型,new,33,0,33
大模型应用工程师,AI应用,Kubernetes,系统与运维,traditional,32,32,0
大模型应用工程师,AI应用,Tool Use,大模型,new,32,32,0
大模型应用工程师,AI应用,云计算,云计算,traditional,32,32,0
大模型应用工程师,AI应用,Node.js,编程语言,traditional,31,31,0
大模型应用工程师,AI应用,知识图谱,知识图谱,new,31,25,6
大模型应用工程师,AI应用,AutoGen,大模型,new,30,0,30
大模型应用工程师,AI应用,深度学习,AI,traditional,30,0,30
大模型应用工程师,AI应用,计算机视觉,计算机视觉与图形,new,30,11,19
大模型应用工程师,AI应用,Context Engineering,大模型,new,29,29,0
大模型应用工程师,AI应用,Spark,数据工程,traditional,28,28,0
大模型应用工程师,AI应用,TensorFlow,AI,traditional,28,0,28
大模型应用工程师,AI应用,操作系统,系统与运维,traditional,27,27,0
大模型应用工程师,AI应用,模型训练,大模型,new,26,9,17
大模型应用工程师,AI应用,VLM,大模型,new,25,1,24
大模型应用工程师,AI应用,大模型微调,大模型,new,25,10,15
大模型应用工程师,AI应用,Docker,系统与运维,traditional,24,24,0
大模型应用工程师,AI应用,性能优化,软件工程,traditional,24,24,0
大模型应用工程师,AI应用,模型评测,大模型,new,24,18,6
大模型应用工程师,AI应用,向量数据库,数据工程,new,23,0,23
大模型应用工程师,AI应用,模型压缩,大模型,new,23,8,15
大模型应用工程师,AI应用,Elasticsearch,数据工程,traditional,22,22,0
大模型应用工程师,AI应用,Memory,大模型,new,22,22,0
大模型应用工程师,AI应用,DPO,大模型,new,20,0,20
大模型应用工程师,AI应用,RLHF,大模型,new,20,0,20
大模型应用工程师,AI应用,AI应用开发,AI,new,19,0,19
大模型应用工程师,AI应用,软件工程,软件工程,traditional,19,19,0
大模型应用工程师,AI应用,编程语言,编程语言,traditional,16,16,0
大模型应用工程师,AI应用,Flink,数据工程,traditional,15,15,0
大模型应用工程师,AI应用,分布式训练,大模型,new,15,15,0
大模型应用工程师,AI应用,模型微调,大模型,new,15,0,15
大模型应用工程师,AI应用,AI算法,AI,new,14,0,14
大模型应用工程师,AI应用,CI/CD,系统与运维,traditional,14,14,0
大模型应用工程师,AI应用,Embedding,大模型,new,14,0,14
大模型应用工程师,AI应用,Hadoop,数据工程,traditional,14,14,0
大模型应用工程师,AI应用,PPO,大模型,new,14,14,0
大模型应用工程师,AI应用,Vue.js,编程语言,traditional,14,14,0
大模型应用工程师,AI应用,Hive,数据工程,traditional,13,13,0
大模型应用工程师,AI应用,Kafka,数据工程,traditional,13,13,0
大模型应用工程师,AI应用,Kotlin,编程语言,traditional,13,13,0
大模型应用工程师,AI应用,图像图形技术,计算机视觉与图形,traditional,13,9,4
大模型应用工程师,AI应用,AI工作流设计,AI,new,12,12,0
大模型应用工程师,AI应用,DeepSpeed,大模型,new,12,0,12
大模型应用工程师,AI应用,LoRA微调,大模型,new,12,0,12
大模型应用工程师,AI应用,信息安全,安全,traditional,12,12,0
大模型应用工程师,AI应用,大模型安全,大模型,new,12,3,9
大模型应用工程师,AI应用,Megatron,大模型,new,11,0,11
大模型应用工程师,AI应用,Rust,编程语言,traditional,11,11,0
大模型应用工程师,AI应用,Spring Boot,软件开发,traditional,11,11,0
大模型应用工程师,AI应用,TCP/IP,系统与运维,traditional,11,11,0
大模型应用工程师,AI应用,TTS,大模型,new,11,10,1
大模型应用工程师,AI应用,系统开发,系统与运维,traditional,11,11,0
大模型应用工程师,AI应用,网络编程,软件工程,traditional,11,11,0
大模型应用工程师,AI应用,AIops,系统与运维,new,10,0,10
大模型应用工程师,AI应用,Android,软件开发,traditional,10,10,0
大模型应用工程师,AI应用,网络技术,通信与网络,traditional,10,10,0
大模型应用工程师,AI应用,AI工具,大模型,new,9,0,9
大模型应用工程师,AI应用,GRPO,大模型,new,9,9,0
大模型应用工程师,AI应用,Ray,AI,traditional,9,9,0
大模型应用工程师,AI应用,AI安全,安全,new,8,0,8
大模型应用工程师,AI应用,Shell脚本,编程语言,traditional,8,8,0
大模型应用工程师,AI应用,在线服务,软件开发,traditional,8,8,0
大模型应用工程师,AI应用,网络协议,系统与运维,traditional,8,8,0
大模型应用工程师,AI应用,计算机网络,通信与网络,traditional,8,8,0
大模型应用工程师,AI应用,ASR,大模型,new,7,7,0
大模型应用工程师,AI应用,CSS,编程语言,traditional,7,7,0
大模型应用工程师,AI应用,DevOps,系统与运维,traditional,7,7,0
大模型应用工程师,AI应用,PHP,编程语言,traditional,7,7,0
大模型应用工程师,AI应用,Swift,编程语言,traditional,7,7,0
大模型应用工程师,AI应用,iOS,软件开发,traditional,7,7,0
大模型应用工程师,AI应用,推理优化,大模型,new,7,0,7
大模型应用工程师,AI应用,模型调优,大模型,new,7,7,0
大模型应用工程师,AI应用,模型部署,大模型,new,7,0,7
大模型应用工程师,AI应用,计算机体系结构,硬件与芯片,traditional,7,7,0
大模型应用工程师,AI应用,HTML,编程语言,traditional,6,6,0
大模型应用工程师,AI应用,TensorRT,大模型,new,6,6,0
大模型应用工程师,AI应用,世界模型,大模型,new,6,6,0
大模型应用工程师,AI应用,模型安全,大模型,new,6,6,0
大模型应用工程师,AI应用,算法工程,算法与数学,traditional,6,6,0
大模型应用工程师,AI应用,高性能计算,硬件与芯片,new,6,6,0
大模型应用工程师,AI应用,Diffusion,大模型,new,5,0,5
大模型应用工程师,AI应用,Lua,编程语言,traditional,5,5,0
大模型应用工程师,AI应用,MongoDB,数据工程,traditional,5,5,0
大模型应用工程师,AI应用,Objective-C,编程语言,traditional,5,5,0
大模型应用工程师,AI应用,大模型评测,大模型,new,5,0,5
大模型应用工程师,AI应用,大模型预训练,大模型,new,5,0,5
大模型应用工程师,AI应用,模型推理,大模型,new,5,5,0
大模型应用工程师,AI应用,模型服务化,大模型,new,5,5,0
大模型应用工程师,AI应用,特征工程,数据工程,traditional,5,5,0
大模型应用工程师,AI应用,ClickHouse,数据工程,traditional,4,4,0
大模型应用工程师,AI应用,Flutter,软件开发,traditional,4,4,0
大模型应用工程师,AI应用,MyBatis,软件开发,traditional,4,4,0
大模型应用工程师,AI应用,PostgreSQL,数据工程,traditional,4,4,0
大模型应用工程师,AI应用,React Native,软件开发,traditional,4,4,0
大模型应用工程师,AI应用,SGLang,大模型,new,4,4,0
大模型应用工程师,AI应用,Spring,软件开发,traditional,4,4,0
大模型应用工程师,AI应用,Unix,系统与运维,traditional,4,4,0
大模型应用工程师,AI应用,信息检索,AI,traditional,4,4,0
大模型应用工程师,AI应用,偏好学习,AI,new,4,4,0
大模型应用工程师,AI应用,内存管理,软件工程,traditional,4,4,0
大模型应用工程师,AI应用,分布式存储,数据工程,traditional,4,4,0
大模型应用工程师,AI应用,因果推断,算法与数学,new,4,4,0
大模型应用工程师,AI应用,大模型强化,大模型,new,4,3,1
大模型应用工程师,AI应用,异常检测,软件工程,new,4,4,0
大模型应用工程师,AI应用,微服务架构,软件工程,traditional,4,4,0
大模型应用工程师,AI应用,数字人技术,AI,new,4,4,0
大模型应用工程师,AI应用,深度学习框架,AI,traditional,4,0,4
大模型应用工程师,AI应用,自动化测试,软件开发,traditional,4,4,0
大模型应用工程师,AI应用,调试工具,软件工程,traditional,4,4,0
大模型应用工程师,AI应用,音视频技术,音视频技术,traditional,4,4,0
大模型应用工程师,AI应用,Diffusion模型,大模型,new,3,3,0
大模型应用工程师,AI应用,MCP协议,软件开发,new,3,3,0
大模型应用工程师,AI应用,Multimodal AI,大模型,new,3,3,0
大模型应用工程师,AI应用,NoSQL,数据工程,traditional,3,3,0
大模型应用工程师,AI应用,TensorRT-LLM,大模型,new,3,0,3
大模型应用工程师,AI应用,Unreal Engine,软件开发,traditional,3,3,0
大模型应用工程师,AI应用,多租户架构,系统与运维,traditional,3,3,0
大模型应用工程师,AI应用,机器人与自动驾驶,机器人与自动驾驶,new,3,2,1
大模型应用工程师,AI应用,模型对齐,大模型,new,3,3,0
大模型应用工程师,AI应用,模型工程,大模型,new,3,3,0
大模型应用工程师,AI应用,科学计算,科学计算与仿真,traditional,3,3,0
大模型应用工程师,AI应用,自然语言处理,AI,traditional,3,0,3
大模型应用工程师,AI应用,设备安全,安全,traditional,3,3,0
大模型应用工程师,AI应用,跨语言技术,软件开发,traditional,3,3,0
大模型应用工程师,AI应用,软件测试,软件测试,traditional,3,3,0
大模型应用工程师,AI应用,AI基础设施,AI,new,2,0,2
大模型应用工程师,AI应用,Attention机制,大模型,new,2,2,0
大模型应用工程师,AI应用,CUDA,硬件与芯片,new,2,2,0
大模型应用工程师,AI应用,Triton,大模型,new,2,2,0
大模型应用工程师,AI应用,仓储自动化,工业与物联网,traditional,2,2,0
大模型应用工程师,AI应用,仿真技术,科学计算与仿真,traditional,2,2,0
大模型应用工程师,AI应用,信息论,算法与数学,traditional,2,2,0
大模型应用工程师,AI应用,分布式计算,数据工程,traditional,2,2,0
大模型应用工程师,AI应用,可解释AI,AI,new,2,2,0
大模型应用工程师,AI应用,国产化适配,系统与运维,traditional,2,2,0
大模型应用工程师,AI应用,多语言开发,软件开发,traditional,2,2,0
大模型应用工程师,AI应用,大模型后训练,大模型,new,2,0,2
大模型应用工程师,AI应用,大模型调优,大模型,new,2,0,2
大模型应用工程师,AI应用,弱网优化,系统与运维,traditional,2,2,0
大模型应用工程师,AI应用,搜索算法,AI,traditional,2,2,0
大模型应用工程师,AI应用,游戏与图形开发,游戏与图形,traditional,2,2,0
大模型应用工程师,AI应用,研发效能,软件工程,traditional,2,2,0
大模型应用工程师,AI应用,硬件开发,硬件与芯片,traditional,2,2,0
大模型应用工程师,AI应用,自动化技术,系统与运维,traditional,2,2,0
大模型应用工程师,AI应用,跨平台开发,软件开发,traditional,2,2,0
大模型应用工程师,AI应用,身份认证,安全,traditional,2,2,0
大模型应用工程师,AI应用,通信技术,通信与网络,traditional,2,2,0
大模型应用工程师,AI应用,AI助手,AI,new,1,0,1
大模型应用工程师,AI应用,AI工程,AI,new,1,0,1
大模型应用工程师,AI应用,AI框架,AI,new,1,0,1
大模型应用工程师,AI应用,Ascend,硬件与芯片,new,1,1,0
大模型应用工程师,AI应用,GPU,系统与运维,traditional,1,1,0
大模型应用工程师,AI应用,HBase,数据工程,traditional,1,1,0
大模型应用工程师,AI应用,HIL测试,软件测试,traditional,1,1,0
大模型应用工程师,AI应用,OAuth,软件开发,traditional,1,1,0
大模型应用工程师,AI应用,Perl,编程语言,traditional,1,1,0
大模型应用工程师,AI应用,Webpack,软件开发,traditional,1,1,0
大模型应用工程师,AI应用,Web爬虫,数据工程,traditional,1,1,0
大模型应用工程师,AI应用,harness工程,软件工程,traditional,1,1,0
大模型应用工程师,AI应用,人机交互,交互体验,traditional,1,1,0
大模型应用工程师,AI应用,冷启动优化,软件工程,traditional,1,1,0
大模型应用工程师,AI应用,动画技术,计算机视觉与图形,traditional,1,1,0
大模型应用工程师,AI应用,即时通信,通信与网络,traditional,1,1,0
大模型应用工程师,AI应用,参数调优,算法与数学,traditional,1,1,0
大模型应用工程师,AI应用,增量学习,AI,new,1,1,0
大模型应用工程师,AI应用,多方安全计算,安全,new,1,1,0
大模型应用工程师,AI应用,多目标优化,算法与数学,traditional,1,1,0
大模型应用工程师,AI应用,引擎开发,软件开发,traditional,1,1,0
大模型应用工程师,AI应用,感知算法,AI,new,1,1,0
大模型应用工程师,AI应用,持续学习,AI,new,1,1,0
大模型应用工程师,AI应用,推荐算法,AI,traditional,1,1,0
大模型应用工程师,AI应用,时间序列算法,算法与数学,traditional,1,1,0
大模型应用工程师,AI应用,模式识别,AI,new,1,1,0
大模型应用工程师,AI应用,模拟电路设计,硬件与芯片,traditional,1,1,0
大模型应用工程师,AI应用,消融实验,科学计算与仿真,new,1,1,0
大模型应用工程师,AI应用,混沌工程,软件工程,traditional,1,1,0
大模型应用工程师,AI应用,神经元激活分析,AI,new,1,1,0
大模型应用工程师,AI应用,神经符号推理,AI,new,1,1,0
大模型应用工程师,AI应用,稀疏计算,硬件与芯片,new,1,1,0
大模型应用工程师,AI应用,算子开发,硬件与芯片,new,1,1,0
