standard_job,standard_category,month,month_index,skill,kg_display_skill,skill_stage,skill_trend_type,planned_jd_count,skill_probability,expected_skill_count
大模型算法工程师,AI算法,2026-02,15,RAG,大模型,new,先上升后稳定,3,0.5028,2
大模型算法工程师,AI算法,2026-03,16,RAG,大模型,new,先上升后稳定,3,0.5383,2
大模型算法工程师,AI算法,2026-04,17,RAG,大模型,new,先上升后稳定,3,0.6306,2
大模型算法工程师,AI算法,2026-05,18,RAG,大模型,new,先上升后稳定,5,0.6284,3
大模型算法工程师,AI算法,2026-06,19,RAG,大模型,new,先上升后稳定,4,0.6180,2
大模型算法工程师,AI算法,2026-07,20,RAG,大模型,new,先上升后稳定,4,0.5184,2
大模型算法工程师,AI算法,2024-12,1,VLM,大模型,new,持续上升,2,0.2461,0
大模型算法工程师,AI算法,2025-01,2,VLM,大模型,new,持续上升,1,0.2398,0
大模型算法工程师,AI算法,2025-02,3,VLM,大模型,new,持续上升,1,0.2715,0
大模型算法工程师,AI算法,2025-03,4,VLM,大模型,new,持续上升,1,0.2614,0
大模型算法工程师,AI算法,2025-04,5,VLM,大模型,new,持续上升,2,0.2714,1
大模型算法工程师,AI算法,2025-05,6,VLM,大模型,new,持续上升,2,0.3182,1
大模型算法工程师,AI算法,2025-06,7,VLM,大模型,new,持续上升,2,0.3389,1
大模型算法工程师,AI算法,2025-07,8,VLM,大模型,new,持续上升,2,0.3184,1
大模型算法工程师,AI算法,2025-08,9,VLM,大模型,new,持续上升,2,0.3751,1
大模型算法工程师,AI算法,2025-09,10,VLM,大模型,new,持续上升,2,0.3899,1
大模型算法工程师,AI算法,2025-10,11,VLM,大模型,new,持续上升,3,0.4006,1
大模型算法工程师,AI算法,2025-11,12,VLM,大模型,new,持续上升,3,0.4379,1
大模型算法工程师,AI算法,2025-12,13,VLM,大模型,new,持续上升,3,0.4091,1
大模型算法工程师,AI算法,2026-01,14,VLM,大模型,new,持续上升,4,0.4619,2
大模型算法工程师,AI算法,2026-02,15,VLM,大模型,new,持续上升,3,0.4509,1
大模型算法工程师,AI算法,2026-03,16,VLM,大模型,new,持续上升,3,0.4986,1
大模型算法工程师,AI算法,2026-04,17,VLM,大模型,new,持续上升,3,0.5432,2
大模型算法工程师,AI算法,2026-05,18,VLM,大模型,new,持续上升,5,0.5207,3
大模型算法工程师,AI算法,2026-06,19,VLM,大模型,new,持续上升,4,0.5190,2
大模型算法工程师,AI算法,2026-07,20,VLM,大模型,new,持续上升,4,0.5692,2
大模型算法工程师,AI算法,2024-12,1,知识图谱,知识图谱,new,先上升后稳定,2,0.1388,0
大模型算法工程师,AI算法,2025-01,2,知识图谱,知识图谱,new,先上升后稳定,1,0.1889,0
大模型算法工程师,AI算法,2025-02,3,知识图谱,知识图谱,new,先上升后稳定,1,0.2424,0
大模型算法工程师,AI算法,2025-03,4,知识图谱,知识图谱,new,先上升后稳定,1,0.2822,0
大模型算法工程师,AI算法,2025-04,5,知识图谱,知识图谱,new,先上升后稳定,2,0.3314,1
大模型算法工程师,AI算法,2025-05,6,知识图谱,知识图谱,new,先上升后稳定,2,0.3651,1
大模型算法工程师,AI算法,2025-06,7,知识图谱,知识图谱,new,先上升后稳定,2,0.4366,1
大模型算法工程师,AI算法,2025-07,8,知识图谱,知识图谱,new,先上升后稳定,2,0.4628,1
大模型算法工程师,AI算法,2025-08,9,知识图谱,知识图谱,new,先上升后稳定,2,0.4536,1
大模型算法工程师,AI算法,2025-09,10,知识图谱,知识图谱,new,先上升后稳定,2,0.5435,1
大模型算法工程师,AI算法,2025-10,11,知识图谱,知识图谱,new,先上升后稳定,3,0.6129,2
大模型算法工程师,AI算法,2025-11,12,知识图谱,知识图谱,new,先上升后稳定,3,0.5639,2
大模型算法工程师,AI算法,2025-12,13,知识图谱,知识图谱,new,先上升后稳定,3,0.5400,2
大模型算法工程师,AI算法,2026-01,14,知识图谱,知识图谱,new,先上升后稳定,4,0.6018,2
大模型算法工程师,AI算法,2026-02,15,知识图谱,知识图谱,new,先上升后稳定,3,0.5773,2
大模型算法工程师,AI算法,2026-03,16,知识图谱,知识图谱,new,先上升后稳定,3,0.5572,2
大模型算法工程师,AI算法,2026-04,17,知识图谱,知识图谱,new,先上升后稳定,3,0.5569,2
大模型算法工程师,AI算法,2026-05,18,知识图谱,知识图谱,new,先上升后稳定,5,0.5857,3
大模型算法工程师,AI算法,2026-06,19,知识图谱,知识图谱,new,先上升后稳定,4,0.6183,2
大模型算法工程师,AI算法,2026-07,20,知识图谱,知识图谱,new,先上升后稳定,4,0.5731,2
大模型算法工程师,AI算法,2024-12,1,模型微调,大模型,new,先上升后稳定,2,0.1220,0
大模型算法工程师,AI算法,2025-01,2,模型微调,大模型,new,先上升后稳定,1,0.1516,0
大模型算法工程师,AI算法,2025-02,3,模型微调,大模型,new,先上升后稳定,1,0.2078,0
大模型算法工程师,AI算法,2025-03,4,模型微调,大模型,new,先上升后稳定,1,0.2540,0
大模型算法工程师,AI算法,2025-04,5,模型微调,大模型,new,先上升后稳定,2,0.2723,1
大模型算法工程师,AI算法,2025-05,6,模型微调,大模型,new,先上升后稳定,2,0.3117,1
大模型算法工程师,AI算法,2025-06,7,模型微调,大模型,new,先上升后稳定,2,0.3680,1
大模型算法工程师,AI算法,2025-07,8,模型微调,大模型,new,先上升后稳定,2,0.3835,1
大模型算法工程师,AI算法,2025-08,9,模型微调,大模型,new,先上升后稳定,2,0.4425,1
大模型算法工程师,AI算法,2025-09,10,模型微调,大模型,new,先上升后稳定,2,0.4941,1
大模型算法工程师,AI算法,2025-10,11,模型微调,大模型,new,先上升后稳定,3,0.5024,2
大模型算法工程师,AI算法,2025-11,12,模型微调,大模型,new,先上升后稳定,3,0.5119,2
大模型算法工程师,AI算法,2025-12,13,模型微调,大模型,new,先上升后稳定,3,0.4857,1
大模型算法工程师,AI算法,2026-01,14,模型微调,大模型,new,先上升后稳定,4,0.4737,2
大模型算法工程师,AI算法,2026-02,15,模型微调,大模型,new,先上升后稳定,3,0.4242,1
大模型算法工程师,AI算法,2026-03,16,模型微调,大模型,new,先上升后稳定,3,0.4356,1
大模型算法工程师,AI算法,2026-04,17,模型微调,大模型,new,先上升后稳定,3,0.4898,1
大模型算法工程师,AI算法,2026-05,18,模型微调,大模型,new,先上升后稳定,5,0.4278,2
大模型算法工程师,AI算法,2026-06,19,模型微调,大模型,new,先上升后稳定,4,0.4806,2
大模型算法工程师,AI算法,2026-07,20,模型微调,大模型,new,先上升后稳定,4,0.4545,2
大模型算法工程师,AI算法,2024-12,1,AI工作流设计,AI,new,稳定型,2,0.2519,1
大模型算法工程师,AI算法,2025-01,2,AI工作流设计,AI,new,稳定型,1,0.2449,0
大模型算法工程师,AI算法,2025-02,3,AI工作流设计,AI,new,稳定型,1,0.2680,0
大模型算法工程师,AI算法,2025-03,4,AI工作流设计,AI,new,稳定型,1,0.2702,0
大模型算法工程师,AI算法,2025-04,5,AI工作流设计,AI,new,稳定型,2,0.2180,0
大模型算法工程师,AI算法,2025-05,6,AI工作流设计,AI,new,稳定型,2,0.2214,0
大模型算法工程师,AI算法,2025-06,7,AI工作流设计,AI,new,稳定型,2,0.2181,0
大模型算法工程师,AI算法,2025-07,8,AI工作流设计,AI,new,稳定型,2,0.2491,0
大模型算法工程师,AI算法,2025-08,9,AI工作流设计,AI,new,稳定型,2,0.2409,0
大模型算法工程师,AI算法,2025-09,10,AI工作流设计,AI,new,稳定型,2,0.2221,0
大模型算法工程师,AI算法,2025-10,11,AI工作流设计,AI,new,稳定型,3,0.2334,1
大模型算法工程师,AI算法,2025-11,12,AI工作流设计,AI,new,稳定型,3,0.2058,1
大模型算法工程师,AI算法,2025-12,13,AI工作流设计,AI,new,稳定型,3,0.2437,1
大模型算法工程师,AI算法,2026-01,14,AI工作流设计,AI,new,稳定型,4,0.2114,1
大模型算法工程师,AI算法,2026-02,15,AI工作流设计,AI,new,稳定型,3,0.2735,1
大模型算法工程师,AI算法,2026-03,16,AI工作流设计,AI,new,稳定型,3,0.2326,1
大模型算法工程师,AI算法,2026-04,17,AI工作流设计,AI,new,稳定型,3,0.2767,1
大模型算法工程师,AI算法,2026-05,18,AI工作流设计,AI,new,稳定型,5,0.2795,1
大模型算法工程师,AI算法,2026-06,19,AI工作流设计,AI,new,稳定型,4,0.2655,1
大模型算法工程师,AI算法,2026-07,20,AI工作流设计,AI,new,稳定型,4,0.2262,1
大模型算法工程师,AI算法,2024-12,1,推理优化,大模型,new,持续上升,2,0.1208,0
大模型算法工程师,AI算法,2025-01,2,推理优化,大模型,new,持续上升,1,0.1410,0
大模型算法工程师,AI算法,2025-02,3,推理优化,大模型,new,持续上升,1,0.1572,0
大模型算法工程师,AI算法,2025-03,4,推理优化,大模型,new,持续上升,1,0.1731,0
大模型算法工程师,AI算法,2025-04,5,推理优化,大模型,new,持续上升,2,0.1821,0
大模型算法工程师,AI算法,2025-05,6,推理优化,大模型,new,持续上升,2,0.2205,0
大模型算法工程师,AI算法,2025-06,7,推理优化,大模型,new,持续上升,2,0.2377,0
大模型算法工程师,AI算法,2025-07,8,推理优化,大模型,new,持续上升,2,0.2376,0
大模型算法工程师,AI算法,2025-08,9,推理优化,大模型,new,持续上升,2,0.2673,1
大模型算法工程师,AI算法,2025-09,10,推理优化,大模型,new,持续上升,2,0.2842,1
大模型算法工程师,AI算法,2025-10,11,推理优化,大模型,new,持续上升,3,0.2896,1
大模型算法工程师,AI算法,2025-11,12,推理优化,大模型,new,持续上升,3,0.3262,1
大模型算法工程师,AI算法,2025-12,13,推理优化,大模型,new,持续上升,3,0.3247,1
大模型算法工程师,AI算法,2026-01,14,推理优化,大模型,new,持续上升,4,0.3440,1
大模型算法工程师,AI算法,2026-02,15,推理优化,大模型,new,持续上升,3,0.3624,1
大模型算法工程师,AI算法,2026-03,16,推理优化,大模型,new,持续上升,3,0.3831,1
大模型算法工程师,AI算法,2026-04,17,推理优化,大模型,new,持续上升,3,0.4012,1
大模型算法工程师,AI算法,2026-05,18,推理优化,大模型,new,持续上升,5,0.4204,2
大模型算法工程师,AI算法,2026-06,19,推理优化,大模型,new,持续上升,4,0.4458,2
大模型算法工程师,AI算法,2026-07,20,推理优化,大模型,new,持续上升,4,0.4835,2
大模型算法工程师,AI算法,2024-12,1,Tool Use,大模型,new,先上升后稳定,2,0.1400,0
大模型算法工程师,AI算法,2025-01,2,Tool Use,大模型,new,先上升后稳定,1,0.1698,0
大模型算法工程师,AI算法,2025-02,3,Tool Use,大模型,new,先上升后稳定,1,0.1867,0
大模型算法工程师,AI算法,2025-03,4,Tool Use,大模型,new,先上升后稳定,1,0.2220,0
大模型算法工程师,AI算法,2025-04,5,Tool Use,大模型,new,先上升后稳定,2,0.2682,1
大模型算法工程师,AI算法,2025-05,6,Tool Use,大模型,new,先上升后稳定,2,0.2957,1
大模型算法工程师,AI算法,2025-06,7,Tool Use,大模型,new,先上升后稳定,2,0.3018,1
大模型算法工程师,AI算法,2025-07,8,Tool Use,大模型,new,先上升后稳定,2,0.3663,1
大模型算法工程师,AI算法,2025-08,9,Tool Use,大模型,new,先上升后稳定,2,0.3881,1
大模型算法工程师,AI算法,2025-09,10,Tool Use,大模型,new,先上升后稳定,2,0.4242,1
大模型算法工程师,AI算法,2025-10,11,Tool Use,大模型,new,先上升后稳定,3,0.4541,1
大模型算法工程师,AI算法,2025-11,12,Tool Use,大模型,new,先上升后稳定,3,0.4466,1
大模型算法工程师,AI算法,2025-12,13,Tool Use,大模型,new,先上升后稳定,3,0.4462,1
大模型算法工程师,AI算法,2026-01,14,Tool Use,大模型,new,先上升后稳定,4,0.4824,2
大模型算法工程师,AI算法,2026-02,15,Tool Use,大模型,new,先上升后稳定,3,0.4664,1
大模型算法工程师,AI算法,2026-03,16,Tool Use,大模型,new,先上升后稳定,3,0.4759,1
大模型算法工程师,AI算法,2026-04,17,Tool Use,大模型,new,先上升后稳定,3,0.4226,1
大模型算法工程师,AI算法,2026-05,18,Tool Use,大模型,new,先上升后稳定,5,0.4872,2
大模型算法工程师,AI算法,2026-06,19,Tool Use,大模型,new,先上升后稳定,4,0.4327,2
大模型算法工程师,AI算法,2026-07,20,Tool Use,大模型,new,先上升后稳定,4,0.5051,2
大模型算法工程师,AI算法,2024-12,1,世界模型,大模型,new,先上升后稳定,2,0.1278,0
大模型算法工程师,AI算法,2025-01,2,世界模型,大模型,new,先上升后稳定,1,0.1652,0
大模型算法工程师,AI算法,2025-02,3,世界模型,大模型,new,先上升后稳定,1,0.1869,0
大模型算法工程师,AI算法,2025-03,4,世界模型,大模型,new,先上升后稳定,1,0.2079,0
大模型算法工程师,AI算法,2025-04,5,世界模型,大模型,new,先上升后稳定,2,0.2723,1
大模型算法工程师,AI算法,2025-05,6,世界模型,大模型,new,先上升后稳定,2,0.2718,1
大模型算法工程师,AI算法,2025-06,7,世界模型,大模型,new,先上升后稳定,2,0.2988,1
大模型算法工程师,AI算法,2025-07,8,世界模型,大模型,new,先上升后稳定,2,0.3605,1
大模型算法工程师,AI算法,2025-08,9,世界模型,大模型,new,先上升后稳定,2,0.3635,1
大模型算法工程师,AI算法,2025-09,10,世界模型,大模型,new,先上升后稳定,2,0.3981,1
大模型算法工程师,AI算法,2025-10,11,世界模型,大模型,new,先上升后稳定,3,0.3777,1
大模型算法工程师,AI算法,2025-11,12,世界模型,大模型,new,先上升后稳定,3,0.4322,1
大模型算法工程师,AI算法,2025-12,13,世界模型,大模型,new,先上升后稳定,3,0.4330,1
大模型算法工程师,AI算法,2026-01,14,世界模型,大模型,new,先上升后稳定,4,0.3717,1
大模型算法工程师,AI算法,2026-02,15,世界模型,大模型,new,先上升后稳定,3,0.3969,1
大模型算法工程师,AI算法,2026-03,16,世界模型,大模型,new,先上升后稳定,3,0.4147,1
大模型算法工程师,AI算法,2026-04,17,世界模型,大模型,new,先上升后稳定,3,0.3756,1
大模型算法工程师,AI算法,2026-05,18,世界模型,大模型,new,先上升后稳定,5,0.4159,2
大模型算法工程师,AI算法,2026-06,19,世界模型,大模型,new,先上升后稳定,4,0.4075,2
大模型算法工程师,AI算法,2026-07,20,世界模型,大模型,new,先上升后稳定,4,0.4341,2
大模型算法工程师,AI算法,2024-12,1,模型并行,大模型,new,持续下降,2,0.4441,1
大模型算法工程师,AI算法,2025-01,2,模型并行,大模型,new,持续下降,1,0.4634,0
大模型算法工程师,AI算法,2025-02,3,模型并行,大模型,new,持续下降,1,0.4118,0
大模型算法工程师,AI算法,2025-03,4,模型并行,大模型,new,持续下降,1,0.4379,0
大模型算法工程师,AI算法,2025-04,5,模型并行,大模型,new,持续下降,2,0.3777,1
大模型算法工程师,AI算法,2025-05,6,模型并行,大模型,new,持续下降,2,0.3898,1
大模型算法工程师,AI算法,2025-06,7,模型并行,大模型,new,持续下降,2,0.3659,1
大模型算法工程师,AI算法,2025-07,8,模型并行,大模型,new,持续下降,2,0.3670,1
大模型算法工程师,AI算法,2025-08,9,模型并行,大模型,new,持续下降,2,0.3195,1
大模型算法工程师,AI算法,2025-09,10,模型并行,大模型,new,持续下降,2,0.3069,1
大模型算法工程师,AI算法,2025-10,11,模型并行,大模型,new,持续下降,3,0.3159,1
大模型算法工程师,AI算法,2025-11,12,模型并行,大模型,new,持续下降,3,0.2601,1
大模型算法工程师,AI算法,2025-12,13,模型并行,大模型,new,持续下降,3,0.2525,1
大模型算法工程师,AI算法,2026-01,14,模型并行,大模型,new,持续下降,4,0.2586,1
大模型算法工程师,AI算法,2026-02,15,模型并行,大模型,new,持续下降,3,0.2348,1
大模型算法工程师,AI算法,2026-03,16,模型并行,大模型,new,持续下降,3,0.2268,1
大模型算法工程师,AI算法,2026-04,17,模型并行,大模型,new,持续下降,3,0.2012,1
大模型算法工程师,AI算法,2026-05,18,模型并行,大模型,new,持续下降,5,0.1718,1
大模型算法工程师,AI算法,2026-06,19,模型并行,大模型,new,持续下降,4,0.1614,1
大模型算法工程师,AI算法,2026-07,20,模型并行,大模型,new,持续下降,4,0.1391,1
大模型算法工程师,AI算法,2024-12,1,模型安全,大模型,new,持续下降,2,0.3681,1
大模型算法工程师,AI算法,2025-01,2,模型安全,大模型,new,持续下降,1,0.3614,0
大模型算法工程师,AI算法,2025-02,3,模型安全,大模型,new,持续下降,1,0.3320,0
大模型算法工程师,AI算法,2025-03,4,模型安全,大模型,new,持续下降,1,0.3375,0
大模型算法工程师,AI算法,2025-04,5,模型安全,大模型,new,持续下降,2,0.3112,1
大模型算法工程师,AI算法,2025-05,6,模型安全,大模型,new,持续下降,2,0.2964,1
大模型算法工程师,AI算法,2025-06,7,模型安全,大模型,new,持续下降,2,0.2798,1
大模型算法工程师,AI算法,2025-07,8,模型安全,大模型,new,持续下降,2,0.2404,0
大模型算法工程师,AI算法,2025-08,9,模型安全,大模型,new,持续下降,2,0.2281,0
大模型算法工程师,AI算法,2025-09,10,模型安全,大模型,new,持续下降,2,0.2414,0
大模型算法工程师,AI算法,2025-10,11,模型安全,大模型,new,持续下降,3,0.2033,1
大模型算法工程师,AI算法,2025-11,12,模型安全,大模型,new,持续下降,3,0.1918,1
大模型算法工程师,AI算法,2025-12,13,模型安全,大模型,new,持续下降,3,0.1770,1
大模型算法工程师,AI算法,2026-01,14,模型安全,大模型,new,持续下降,4,0.1650,1
大模型算法工程师,AI算法,2026-02,15,模型安全,大模型,new,持续下降,3,0.1698,1
大模型算法工程师,AI算法,2026-03,16,模型安全,大模型,new,持续下降,3,0.1518,0
大模型算法工程师,AI算法,2026-04,17,模型安全,大模型,new,持续下降,3,0.1499,0
大模型算法工程师,AI算法,2026-05,18,模型安全,大模型,new,持续下降,5,0.1348,1
大模型算法工程师,AI算法,2026-06,19,模型安全,大模型,new,持续下降,4,0.1089,0
大模型算法工程师,AI算法,2026-07,20,模型安全,大模型,new,持续下降,4,0.1018,0
大模型算法工程师,AI算法,2024-12,1,Python,编程语言,traditional,稳定型,2,0.3349,1
大模型算法工程师,AI算法,2025-01,2,Python,编程语言,traditional,稳定型,1,0.3308,0
大模型算法工程师,AI算法,2025-02,3,Python,编程语言,traditional,稳定型,1,0.2944,0
大模型算法工程师,AI算法,2025-03,4,Python,编程语言,traditional,稳定型,1,0.3026,0
大模型算法工程师,AI算法,2025-04,5,Python,编程语言,traditional,稳定型,2,0.3319,1
大模型算法工程师,AI算法,2025-05,6,Python,编程语言,traditional,稳定型,2,0.2649,1
大模型算法工程师,AI算法,2025-06,7,Python,编程语言,traditional,稳定型,2,0.2575,1
大模型算法工程师,AI算法,2025-07,8,Python,编程语言,traditional,稳定型,2,0.2473,0
大模型算法工程师,AI算法,2025-08,9,Python,编程语言,traditional,稳定型,2,0.2808,1
大模型算法工程师,AI算法,2025-09,10,Python,编程语言,traditional,稳定型,2,0.2555,1
大模型算法工程师,AI算法,2025-10,11,Python,编程语言,traditional,稳定型,3,0.3359,1
大模型算法工程师,AI算法,2025-11,12,Python,编程语言,traditional,稳定型,3,0.3043,1
大模型算法工程师,AI算法,2025-12,13,Python,编程语言,traditional,稳定型,3,0.2573,1
大模型算法工程师,AI算法,2026-01,14,Python,编程语言,traditional,稳定型,4,0.2777,1
大模型算法工程师,AI算法,2026-02,15,Python,编程语言,traditional,稳定型,3,0.2670,1
大模型算法工程师,AI算法,2026-03,16,Python,编程语言,traditional,稳定型,3,0.2799,1
大模型算法工程师,AI算法,2026-04,17,Python,编程语言,traditional,稳定型,3,0.2897,1
大模型算法工程师,AI算法,2026-05,18,Python,编程语言,traditional,稳定型,5,0.3367,2
大模型算法工程师,AI算法,2026-06,19,Python,编程语言,traditional,稳定型,4,0.2688,1
大模型算法工程师,AI算法,2026-07,20,Python,编程语言,traditional,稳定型,4,0.2849,1
大模型算法工程师,AI算法,2024-12,1,C/C++,编程语言,traditional,后期突增,2,0.2175,0
大模型算法工程师,AI算法,2025-01,2,C/C++,编程语言,traditional,后期突增,1,0.1823,0
大模型算法工程师,AI算法,2025-02,3,C/C++,编程语言,traditional,后期突增,1,0.1591,0
大模型算法工程师,AI算法,2025-03,4,C/C++,编程语言,traditional,后期突增,1,0.2220,0
大模型算法工程师,AI算法,2025-04,5,C/C++,编程语言,traditional,后期突增,2,0.1928,0
大模型算法工程师,AI算法,2025-05,6,C/C++,编程语言,traditional,后期突增,2,0.1879,0
大模型算法工程师,AI算法,2025-06,7,C/C++,编程语言,traditional,后期突增,2,0.1664,0
大模型算法工程师,AI算法,2025-07,8,C/C++,编程语言,traditional,后期突增,2,0.2015,0
大模型算法工程师,AI算法,2025-08,9,C/C++,编程语言,traditional,后期突增,2,0.2161,0
大模型算法工程师,AI算法,2025-09,10,C/C++,编程语言,traditional,后期突增,2,0.2473,0
大模型算法工程师,AI算法,2025-10,11,C/C++,编程语言,traditional,后期突增,3,0.2040,1
大模型算法工程师,AI算法,2025-11,12,C/C++,编程语言,traditional,后期突增,3,0.2619,1
大模型算法工程师,AI算法,2025-12,13,C/C++,编程语言,traditional,后期突增,3,0.1853,1
大模型算法工程师,AI算法,2026-01,14,C/C++,编程语言,traditional,后期突增,4,0.2733,1
大模型算法工程师,AI算法,2026-02,15,C/C++,编程语言,traditional,后期突增,3,0.3027,1
大模型算法工程师,AI算法,2026-03,16,C/C++,编程语言,traditional,后期突增,3,0.3304,1
大模型算法工程师,AI算法,2026-04,17,C/C++,编程语言,traditional,后期突增,3,0.3140,1
大模型算法工程师,AI算法,2026-05,18,C/C++,编程语言,traditional,后期突增,5,0.3294,2
大模型算法工程师,AI算法,2026-06,19,C/C++,编程语言,traditional,后期突增,4,0.3937,2
大模型算法工程师,AI算法,2026-07,20,C/C++,编程语言,traditional,后期突增,4,0.3983,2
大模型算法工程师,AI算法,2024-12,1,PyTorch,AI,traditional,持续下降,2,0.3825,1
大模型算法工程师,AI算法,2025-01,2,PyTorch,AI,traditional,持续下降,1,0.3689,0
大模型算法工程师,AI算法,2025-02,3,PyTorch,AI,traditional,持续下降,1,0.3389,0
大模型算法工程师,AI算法,2025-03,4,PyTorch,AI,traditional,持续下降,1,0.3585,0
大模型算法工程师,AI算法,2025-04,5,PyTorch,AI,traditional,持续下降,2,0.3577,1
大模型算法工程师,AI算法,2025-05,6,PyTorch,AI,traditional,持续下降,2,0.3451,1
大模型算法工程师,AI算法,2025-06,7,PyTorch,AI,traditional,持续下降,2,0.3200,1
大模型算法工程师,AI算法,2025-07,8,PyTorch,AI,traditional,持续下降,2,0.3190,1
大模型算法工程师,AI算法,2025-08,9,PyTorch,AI,traditional,持续下降,2,0.3207,1
大模型算法工程师,AI算法,2025-09,10,PyTorch,AI,traditional,持续下降,2,0.2934,1
大模型算法工程师,AI算法,2025-10,11,PyTorch,AI,traditional,持续下降,3,0.3204,1
